configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
246,4,failed,integration error: simulation exceeded 1800 wall-clock seconds,14.06,0.749984649624638,1800.000242980197,15382,0,,0,,
246,1088,failed,integration error: simulation exceeded 1800 wall-clock seconds,14.172,0.9315960315123127,1800.000254072249,15509,0,,0,,
246,622,failed,integration error: model derivative became non-finite,14.168000000000001,0.1343527539732314,1141.4928073994815,9670,0,,0,,
246,620,failed,integration error: model derivative became non-finite,14.168000000000001,0.28822332847714144,1240.83130046539,10632,0,,0,,
