configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,optimizer,stlsq_threshold,alpha,nu,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
26,35.0,,,sr3,0.1,0.05,0.1,1,2,5,20.0,20.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00046787597239017487,,,
27,35.0,,,sr3,0.1,0.05,1.0,1,2,5,20.0,20.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0004561860114336014,,,
28,35.0,,,sr3,0.1,0.05,10.0,1,2,5,20.0,20.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0004430711269378662,,,
29,35.0,,,sr3,0.1,0.05,0.01,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0004980806261301041,,,
30,35.0,,,sr3,0.1,0.05,0.1,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00047515518963336945,,,
31,35.0,,,sr3,0.1,0.05,1.0,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0005093254148960114,,,
32,35.0,,,sr3,0.1,0.05,10.0,1,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0004577506333589554,,,
33,35.0,,,sr3,0.1,0.05,0.01,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0005178842693567276,,,
34,35.0,,,sr3,0.1,0.05,0.1,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.00045735202729701996,,,
35,35.0,,,sr3,0.1,0.05,1.0,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0004903785884380341,,,
36,35.0,,,sr3,0.1,0.05,10.0,1,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,6,,0.0005499627441167831,,,
37,35.0,,,sr3,0.1,0.05,0.01,1,4,1,4.0,12.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0014437828212976456,,,
38,35.0,,,sr3,0.1,0.05,0.1,1,4,1,4.0,12.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0014591552317142487,,,
39,35.0,,,sr3,0.1,0.05,1.0,1,4,1,4.0,12.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009593069553375244,,,
40,35.0,,,sr3,0.1,0.05,10.0,1,4,1,4.0,12.0,0,0.0,finite_difference,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.000912785530090332,,,
41,35.0,,,sr3,0.1,0.05,0.01,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009278673678636551,,,
42,35.0,,,sr3,0.1,0.05,0.1,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,failed,SR3.__init__() got an unexpected keyword argument 'threshold',0,20,,0.0009228307753801346,,,
