configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,stlsq_threshold,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
11,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,16,20,80.0,0.1439337097108364,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 432.94510594619044, -727.4410582084071, 400.03046227689805, -106.61402588984195], [0.0, 125.01152976940753, 0.02540887942492354, -125.07095799049353, 0.03512588032002896], [0.0, -0.0793489678265547, 125.18406156897535, -0.1306800353527503, -124.97415469961669], [0.0, 106.54120338920146, -399.8298865215438, 727.2434660769458, -432.8745799130537]]",(x0)' =  432.945 x0 + -727.441 x1 +  400.030 x2 + -106.614 x3 | (x1)' =  125.012 x0 +  0.025 x1 + -125.071 x2 +  0.035 x3 | (x2)' = -0.079 x0 +  125.184 x1 + -0.131 x2 + -124.974 x3 | (x3)' =  106.541 x0 + -399.830 x1 +  727.243 x2 + -432.875 x3
12,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,16,20,80.0,0.13882404938340187,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 444.44512071799636, -752.075508049636, 416.5887809085039, -109.7304050516641], [0.0, 125.48852955580395, -1.225715432102217, -123.91016097157232, -0.3479807106823699], [0.0, 0.5250150272106248, 123.28451606001505, 1.9693321543173632, -125.78231232029943], [0.0, 110.28492044110065, -418.2488417525832, 753.7969418710546, -445.059079304794]]",(x0)' =  444.445 x0 + -752.076 x1 +  416.589 x2 + -109.730 x3 | (x1)' =  125.489 x0 + -1.226 x1 + -123.910 x2 + -0.348 x3 | (x2)' =  0.525 x0 +  123.285 x1 +  1.969 x2 + -125.782 x3 | (x3)' =  110.285 x0 + -418.249 x1 +  753.797 x2 + -445.059 x3
13,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,2,8.0,24.0,0,0.0,finite_difference,success,,16,20,80.0,0.13133698143064976,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 169.1728821584892, -265.7927596060327, 128.96512920439014, -36.42826935922709], [0.0, 56.61514049623512, 32.773790580531056, -107.59701182742452, 19.274719518669748], [0.0, -19.268480162092033, 107.57610965815203, -32.747548156727326, -56.62635318027149], [0.0, 36.407661313405896, -128.9090897330212, 265.74333494574233, -169.16155278394083]]",(x0)' =  169.173 x0 + -265.793 x1 +  128.965 x2 + -36.428 x3 | (x1)' =  56.615 x0 +  32.774 x1 + -107.597 x2 +  19.275 x3 | (x2)' = -19.268 x0 +  107.576 x1 + -32.748 x2 + -56.626 x3 | (x3)' =  36.408 x0 + -128.909 x1 +  265.743 x2 + -169.162 x3
14,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,16,20,80.0,0.13791615888476372,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 170.31014725602958, -267.8243773758158, 130.24262661648947, -36.701471550514384], [0.0, 56.41094846748904, 33.06426682753209, -107.66413786237669, 19.222495553251434], [0.0, -19.214369409292548, 107.63857750902042, -33.03258059248576, -56.42477242618194], [0.0, 36.68047942998483, -130.18630565450428, 267.7744928011906, -170.2981157195951]]",(x0)' =  170.310 x0 + -267.824 x1 +  130.243 x2 + -36.701 x3 | (x1)' =  56.411 x0 +  33.064 x1 + -107.664 x2 +  19.222 x3 | (x2)' = -19.214 x0 +  107.639 x1 + -33.033 x2 + -56.425 x3 | (x3)' =  36.680 x0 + -130.186 x1 +  267.774 x2 + -170.298 x3
15,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,16,20,80.0,0.14030730351805687,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 179.86437032991736, -284.79762591428954, 140.41073961245885, -38.50668361089683], [0.0, 54.6567437048351, 35.579102828024176, -108.22092225278905, 18.744043909444372], [0.0, -18.7365560525173, 108.15528510887232, -35.44208447177253, -54.7405376499808], [0.0, 38.51069013305019, -140.36587014354362, 284.70077039883523, -179.81324792633387]]",(x0)' =  179.864 x0 + -284.798 x1 +  140.411 x2 + -38.507 x3 | (x1)' =  54.657 x0 +  35.579 x1 + -108.221 x2 +  18.744 x3 | (x2)' = -18.737 x0 +  108.155 x1 + -35.442 x2 + -54.741 x3 | (x3)' =  38.511 x0 + -140.366 x1 +  284.701 x2 + -179.813 x3
16,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,5,20.0,60.0,0,0.0,finite_difference,success,,14,20,70.0,0.12220156379044056,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 21.108672706218492, -46.51522034016626, 14.368690719427564, 3.854756252586243], [0.0, 35.00475436641333, 0.0, -40.52015303875347, 7.856525461255964], [0.0, -7.839612830372078, 40.523290156737964, 0.0, -35.018173194825046], [0.0, -3.8621074131283915, -14.411088590853447, 46.575365993061396, -21.14087581524249]]",(x0)' =  21.109 x0 + -46.515 x1 +  14.369 x2 +  3.855 x3 | (x1)' =  35.005 x0 + -40.520 x2 +  7.857 x3 | (x2)' = -7.840 x0 +  40.523 x1 + -35.018 x3 | (x3)' = -3.862 x0 + -14.411 x1 +  46.575 x2 + -21.141 x3
17,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,14,20,70.0,0.133751068264246,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 21.447988300181613, -47.023456025136376, 14.772025882888451, 3.640913314335692], [0.0, 35.08836439558218, 0.0, -40.73870238639332, 8.025694230305055], [0.0, -8.009402225665724, 40.74204943087541, 0.0, -35.10122755453179], [0.0, -3.6479633201859065, -14.8145492226952, 47.082841134552694, -21.479579139293467]]",(x0)' =  21.448 x0 + -47.023 x1 +  14.772 x2 +  3.641 x3 | (x1)' =  35.088 x0 + -40.739 x2 +  8.026 x3 | (x2)' = -8.009 x0 +  40.742 x1 + -35.101 x3 | (x3)' = -3.648 x0 + -14.815 x1 +  47.083 x2 + -21.480 x3
18,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,14,20,70.0,0.13597063906490803,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 25.134458784173237, -52.20754681597755, 18.93145088481664, 1.2728219381236876], [0.0, 35.554690173602744, 0.0, -42.37434828693441, 9.398408791563252], [0.0, -9.385072723798887, 42.3798687170699, 0.0, -35.5661751902699], [0.0, -1.2793690565327918, -18.973532066112245, 52.265642085760874, -25.163597101452712]]",(x0)' =  25.134 x0 + -52.208 x1 +  18.931 x2 +  1.273 x3 | (x1)' =  35.555 x0 + -42.374 x2 +  9.398 x3 | (x2)' = -9.385 x0 +  42.380 x1 + -35.566 x3 | (x3)' = -1.279 x0 + -18.974 x1 +  52.266 x2 + -25.164 x3
19,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,6,1,4.0,20.0,0,0.0,finite_difference,success,,34,42,80.95238095238095,0.23299375921487808,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.0, 601.2207961132359, -1416.4437135189912, 1586.7711319366706, -1175.634770987122, 497.60303149270584, -93.80955397082174], [0.0, 125.26176431979908, -1.180744047357044, -122.60958601051982, -2.610743714650491, 1.4907131954900679, -0.35067839456282357], [0.0, -0.055641058117218166, 125.11741336123892, 0.0, -125.15986323820016, 0.12677442362539218, -0.028478843519761515], [0.0, -0.008992510773043213, -0.02693394810881247, 125.07086238792532, 0.0, -125.06256498203052, 0.02760308560072109], [0.0, -0.0942352248952201, 0.4137979013184091, -0.9147952485833213, 126.12598296277251, -0.7004433303778204, -124.83084810000055], [0.0, 93.34292868503023, -495.56006450620856, 1171.782837115555, -1582.865614394723, 1414.317243147989, -600.7242560699926]]",(x0)' =  601.221 x0 + -1416.444 x1 +  1586.771 x2 + -1175.635 x3 +  497.603 x4 + -93.810 x5 | (x1)' =  125.262 x0 + -1.181 x1 + -122.610 x2 + -2.611 x3 +  1.491 x4 + -0.351 x5 | (x2)' = -0.056 x0 +  125.117 x1 + -125.160 x3 +  0.127 x4 + -0.028 x5 | (x3)' = -0.009 x0 + -0.027 x1 +  125.071 x2 + -125.063 x4 +  0.028 x5 | (x4)' = -0.094 x0 +  0.414 x1 + -0.915 x2 +  126.126 x3 + -0.700 x4 + -124.831 x5 | (x5)' =  93.343 x0 + -495.560 x1 +  1171.783 x2 + -1582.866 x3 +  1414.317 x4 + -600.724 x5
20,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,34,42,80.95238095238095,0.254701079800725,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.0, 606.9524257314253, -1438.566932472907, 1622.6636538942807, -1206.1364398024716, 511.0804816384265, -96.26292632821671], [0.0, 125.29110417686375, -1.3778430738654972, -122.08819851202804, -3.2865949653453987, 1.9242688545059154, -0.4621227729606792], [0.0, -0.07500154866566981, 125.15938088224937, 0.0, -125.22450504008586, 0.18405839116857908, -0.04372846548866565], [0.0, 0.010945583150693577, -0.0966473067826778, 125.14558513567283, 0.0, -125.10788154816525, 0.04815254314230289], [0.0, -0.12267475854235646, 0.6009609733400606, -1.412350660040891, 126.78313183090415, -1.1316680660776188, -124.7177308357746], [0.0, 95.64792528396912, -508.38586371766024, 1201.061626621328, -1617.5352100158307, 1435.789256181016, -606.3079648373409]]",(x0)' =  606.952 x0 + -1438.567 x1 +  1622.664 x2 + -1206.136 x3 +  511.080 x4 + -96.263 x5 | (x1)' =  125.291 x0 + -1.378 x1 + -122.088 x2 + -3.287 x3 +  1.924 x4 + -0.462 x5 | (x2)' = -0.075 x0 +  125.159 x1 + -125.225 x3 +  0.184 x4 + -0.044 x5 | (x3)' =  0.011 x0 + -0.097 x1 +  125.146 x2 + -125.108 x4 +  0.048 x5 | (x4)' = -0.123 x0 +  0.601 x1 + -1.412 x2 +  126.783 x3 + -1.132 x4 + -124.718 x5 | (x5)' =  95.648 x0 + -508.386 x1 +  1201.062 x2 + -1617.535 x3 +  1435.789 x4 + -606.308 x5
