configuration_index,lowpass_hz,training_lfp_rms_uv,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
37,35.0,36.85636440989091,2,2,1,4.0,4.0,0,0.0,finite_difference,12,12,100.0,0.491191741079092,9,9,0,1.0,True,,True
38,35.0,36.85636440989091,2,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.12192550115287304,9,9,0,1.0,True,,True
39,35.0,36.85636440989091,2,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.11790379509329796,9,9,0,1.0,True,,True
40,35.0,36.85636440989091,2,2,2,8.0,8.0,0,0.0,finite_difference,12,12,100.0,0.10948617197573185,9,9,0,1.0,True,,True
41,35.0,36.85636440989091,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.11303048767149448,9,9,0,1.0,True,,True
42,35.0,36.85636440989091,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.11772036924958229,9,9,0,1.0,True,,True
43,35.0,36.85636440989091,2,2,5,20.0,20.0,0,0.0,finite_difference,12,12,100.0,0.10483070462942123,9,9,0,1.0,True,,True
44,35.0,36.85636440989091,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.11728862300515175,9,9,0,1.0,True,,True
45,35.0,36.85636440989091,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.11575215123593807,9,9,0,1.0,True,,True
46,35.0,36.85636440989091,2,4,1,4.0,12.0,0,0.0,finite_difference,60,60,100.0,0.3996555935591459,9,9,0,1.0,True,,True
47,35.0,36.85636440989091,2,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,59,60,98.33333333333333,0.4571202453225851,9,9,0,1.0,True,,True
48,35.0,36.85636440989091,2,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.3902577832341194,9,9,0,1.0,True,,True
49,35.0,36.85636440989091,2,4,2,8.0,24.0,0,0.0,finite_difference,59,60,98.33333333333333,0.43874381110072136,9,9,0,1.0,True,,True
50,35.0,36.85636440989091,2,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,59,60,98.33333333333333,0.4488309882581234,9,9,0,1.0,True,,True
51,35.0,36.85636440989091,2,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.3883168287575245,9,9,0,1.0,True,,True
52,35.0,36.85636440989091,2,4,5,20.0,60.0,0,0.0,finite_difference,60,60,100.0,0.3722288627177477,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
53,35.0,36.85636440989091,2,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.3859615698456764,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
54,35.0,36.85636440989091,2,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.3863221984356642,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
55,35.0,36.85636440989091,2,6,1,4.0,20.0,0,0.0,finite_difference,167,168,99.4047619047619,1.3589546047151089,9,9,0,1.0,True,,True
56,35.0,36.85636440989091,2,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,167,168,99.4047619047619,1.3125727660953999,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
57,35.0,36.85636440989091,2,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,168,168,100.0,1.1115854978561401,9,9,0,1.0,True,,True
58,35.0,36.85636440989091,2,6,2,8.0,40.0,0,0.0,finite_difference,167,168,99.4047619047619,1.19677066616714,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
59,35.0,36.85636440989091,2,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,168,168,100.0,1.0067647136747837,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
60,35.0,36.85636440989091,2,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,168,168,100.0,0.998888311907649,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
61,35.0,36.85636440989091,2,6,5,20.0,100.0,0,0.0,finite_difference,168,168,100.0,0.9870243798941374,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
