16.647507,2.4065347,-8.4235411,11.271872,-7.0602565,0.40437055
-1.7941306,-7.7527003,-1.5362122,-2.5246909,-2.0503032,-0.87523001
15.467444,-19.47649,3.6176629,-2.1100926,32.460453,10.21847
1.7907491,-6.2807879,16.789948,-1.7181531,8.4294701,-5.2282882
10.875993,5.7770591,-22.042824,1.1132772,9.8804188,6.8647757
7.7684803,8.5504551,7.0816717,-0.38694188,-2.4716249,-2.5289643
2.0179732,0.66567689,-1.7138826,-5.9738078,-2.7530873,-0.54840839
13.869026,4.6170816,-1.8164448,-23.200737,-9.8484163,10.794739
4.1971412,8.7900972,-16.30784,0.22840749,4.0432725,0.18118137
-8.8536482,1.2663913,-6.8884273,9.973608,-0.31257528,-18.718222
-6.4450951,-17.673046,-5.8160543,6.6135616,-6.5381784,5.3052988
6.027174,5.7460151,-3.7898657,-17.278893,10.053693,1.6998421
-9.5873079,-4.1002212,3.3511958,12.240608,-0.61563253,4.014154
0.10184889,0.19289318,16.88599,6.2388701,6.3372374,-2.110661
-13.913766,0.85778087,10.398561,-2.2829654,14.488085,-0.93020689
-3.5377533,-8.0543394,5.6753764,-14.877563,-8.7248039,13.233932
4.8174629,18.082211,1.2400765,-0.17339344,10.087873,10.43971
1.2619355,-5.9383287,-1.7971706,-7.0539627,-4.5571012,-9.7320843
4.7366867,-6.5413742,4.4222898,0.99225658,-4.1887116,-3.8785248
1.618927,6.4441519,-5.8204679,-1.1834593,-15.748652,14.47343
-14.909595,10.675685,4.9630079,-23.585077,2.2225788,9.6605968
-7.0321927,-4.6768551,-3.8928871,14.104856,-7.1478548,-0.54875499
-5.8886828,12.181367,-5.1304398,-5.1618786,12.396457,-16.839151
-13.017886,4.2224545,14.832436,10.798197,14.989542,-1.1059567
16.177095,-1.3194674,-1.3748308,-16.919825,-10.233957,20.906174
7.0393085,-1.532006,8.9021044,11.353995,-7.9465494,3.7931054
-4.1296358,-2.1039441,-10.47703,-21.611324,2.4363127,12.782368
10.068974,-3.1871152,8.1713743,13.241466,2.4463735,18.006712
