configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
58,622,success,,14.156,14.156,143.24874023534358,51511,3540,48.57313095122656,3540,60.85739863733619,60.8278442956623
58,778,success,,14.156,14.156,119.74667328596115,43830,3540,61.75881732711225,3540,68.25342175495291,68.17378356669364
58,1088,success,,14.16,14.16,160.91042943671346,58552,3541,35.52205093604748,3541,58.62174033993061,58.62867811306958
58,1244,success,,14.048,14.048,159.36605714075267,58427,3513,43.99185403248181,3513,56.203881870297224,56.19793887907982
59,2,failed,integration error: model derivative became non-finite,14.156,3.4497753229704156,66.36591394245625,25410,0,,0,,
59,3,failed,integration error: model derivative became non-finite,14.156,3.796014655400055,70.22390321083367,26821,0,,0,,
59,4,failed,integration error: model derivative became non-finite,14.048,3.1098842958419524,65.55785883590579,24736,0,,0,,
59,312,failed,integration error: model derivative became non-finite,14.156,2.7814460860323704,58.91113127395511,22477,0,,0,,
59,620,failed,integration error: model derivative became non-finite,14.156,3.5058721129283863,69.201232528314,26037,0,,0,,
59,622,failed,integration error: model derivative became non-finite,14.156,3.4202259874104426,67.7192134205252,25588,0,,0,,
59,778,failed,integration error: model derivative became non-finite,14.156,4.540765312935379,78.11629246361554,29864,0,,0,,
59,1088,failed,integration error: model derivative became non-finite,14.16,3.0288785648056984,63.348467787727714,24230,0,,0,,
59,1244,failed,integration error: model derivative became non-finite,14.048,2.2574153831936803,54.2316116373986,20774,0,,0,,
60,2,success,,14.156,14.156,124.10786364413798,47524,3540,64.74851700277685,3540,74.89469626276907,74.8379431766116
60,3,success,,14.156,14.156,124.66662653908134,47544,3540,77.26147546772772,3540,82.53249736773817,82.5168690317928
60,4,success,,14.048,14.048,124.78182716295123,47385,3513,56.00913430385719,3513,61.85283663939488,61.94263382237154
60,312,success,,14.156,14.156,136.3840577211231,52060,3540,59.73828155250228,3540,69.03599606038638,69.01610410124066
60,620,success,,14.156,14.156,125.4363543689251,47626,3540,54.93285402947173,3540,67.70936544369125,67.76775502002484
60,622,success,,14.156,14.156,117.64377425797284,44986,3540,63.57367691726431,3540,73.39451361075044,73.35636693004048
60,778,success,,14.156,14.156,108.690035212785,41270,3540,63.711758893408266,3540,73.37752045459438,73.32279666063978
60,1088,success,,14.16,14.16,134.32605836726725,51163,3541,57.08046756741017,3541,72.65230882118193,72.61510309178163
60,1244,success,,14.048,14.048,149.79450206272304,56920,3513,70.0362874349331,3513,79.37424773326666,79.45467116559668
61,2,success,,14.096,14.096,94.48841213807464,35566,3525,37.4845063898457,3525,54.99055959987338,57.37344169799308
61,3,failed,integration error: model derivative became non-finite,14.096,3.7409407516320767,59.05017087608576,22306,0,,0,,
61,4,success,,13.988,13.988,102.10420239344239,38456,3498,21.15265985153196,3498,34.76293615326499,38.97594411265947
61,312,success,,14.096,14.096,91.63060862757266,34593,3525,38.8726790563346,3525,50.55012844295537,51.88701112483005
61,620,success,,14.096,14.096,96.70833819545805,36151,3525,29.016856330297056,3525,48.876445378976676,52.33855981230129
61,622,success,,14.096,14.096,101.16518302820623,37757,3525,23.15937426793823,3525,43.14482770940768,47.790492598718664
61,778,success,,14.096,14.096,94.65627580322325,36062,3525,37.714571941115516,3525,51.073610037815065,52.81204217358482
61,1088,success,,14.1,14.1,91.49530850350857,34299,3526,25.5202707580926,3526,53.66923475497005,54.82613943001672
61,1244,success,,13.988,13.988,77.02033790946007,29295,3498,65.20680736577201,3498,76.38628792666792,74.94949766952021
62,2,success,,14.096,14.096,95.17710319533944,36637,3525,27.707053126582547,3525,48.901667448385034,51.549678246072254
62,3,failed,integration error: model derivative became non-finite,14.096,6.572705476462612,74.67315178737044,28716,0,,0,,
62,4,success,,13.988,13.988,98.13199107348919,37407,3498,18.352695883677523,3498,33.31311176270564,37.157187505115985
62,312,success,,14.096,14.096,97.42614038474858,37722,3525,31.24488243963396,3525,46.71572434106136,49.45286070958607
62,620,success,,14.096,14.096,99.16882767155766,37665,3525,23.310184576383218,3525,45.4930719926216,49.09854538276304
62,622,success,,14.096,14.096,104.05878686532378,39609,3525,21.000491077991327,3525,43.008223581667,47.892634515929565
62,778,success,,14.096,14.096,93.99662191793323,36357,3525,28.838451813281146,3525,45.22439428933265,47.50759949263267
62,1088,success,,14.1,14.1,93.28144157677889,35338,3526,22.336787184699247,3526,50.87507379549452,52.0110311650167
62,1244,success,,13.988,13.988,81.32707612402737,31378,3498,54.73129051441597,3498,68.36904209269589,68.47455841903964
63,2,success,,14.096,14.096,98.43898173607886,37004,3525,34.80384094562594,3525,52.28306640121052,56.03447299177613
63,3,failed,integration error: model derivative became non-finite,14.096,3.6710044127188084,59.88001889549196,22273,0,,0,,
63,4,success,,13.988,13.988,104.65039435587823,39382,3498,21.99122613059092,3498,33.799250996979744,38.290778822490374
63,312,success,,14.096,14.096,108.74735105969012,41113,3525,39.86684838527884,3525,50.40868364339425,55.07161584804921
63,620,success,,14.096,14.096,100.87260780669749,37540,3525,29.604888504768724,3525,49.448446162231036,53.146917731229365
63,622,success,,14.096,14.096,106.58016701228917,39946,3525,22.709450330627707,3525,43.98107713475197,47.80931474120548
63,778,success,,14.096,14.096,94.03613081946969,35549,3525,33.24119917777883,3525,47.36192587821617,48.59076252258226
63,1088,success,,14.1,14.1,95.156488455832,35657,3526,39.314221487886286,3526,59.17280257414709,58.59826025422273
63,1244,success,,13.988,13.988,104.91185524873435,39467,3498,72.81322249786241,3498,82.4830699875676,86.07544899329956
64,2,failed,integration error: model derivative became non-finite,14.168000000000001,6.670140384764802,231.570655612275,55761,0,,0,,
64,3,failed,integration error: model derivative became non-finite,14.168000000000001,7.867650666973134,253.42691648565233,58996,0,,0,,
64,4,failed,integration error: model derivative became non-finite,14.06,9.929694200462945,281.06635446101427,67105,0,,0,,
64,312,failed,integration error: model derivative became non-finite,14.168000000000001,10.11913638013599,289.85551311448216,68995,0,,0,,
64,620,failed,integration error: model derivative became non-finite,14.168000000000001,9.934509865733885,297.5010372772813,70264,0,,0,,
64,622,failed,integration error: model derivative became non-finite,14.168000000000001,5.445022127317504,196.77843477390707,46857,0,,0,,
64,778,failed,integration error: model derivative became non-finite,14.168000000000001,6.164001766807285,213.51114484481514,51008,0,,0,,
64,1088,failed,integration error: model derivative became non-finite,14.172,7.419623486176174,228.86567312292755,54531,0,,0,,
64,1244,failed,integration error: model derivative became non-finite,14.06,4.026718941702265,189.97835435718298,43821,0,,0,,
65,2,failed,integration error: model derivative became non-finite,14.168000000000001,5.237139515837252,244.436653804034,57324,0,,0,,
65,3,failed,integration error: model derivative became non-finite,14.168000000000001,5.245285715713187,262.59051575884223,61702,0,,0,,
65,4,failed,integration error: model derivative became non-finite,14.06,8.361486728069774,306.72377510741353,71266,0,,0,,
65,312,failed,integration error: model derivative became non-finite,14.168000000000001,8.264586493883547,300.08703646436334,70674,0,,0,,
65,620,failed,integration error: model derivative became non-finite,14.168000000000001,5.399607971886079,228.6003107931465,53278,0,,0,,
65,622,failed,integration error: model derivative became non-finite,14.168000000000001,7.2165899803173374,288.74060733802617,67758,0,,0,,
65,778,failed,integration error: model derivative became non-finite,14.168000000000001,6.414224306292442,259.7555976565927,61051,0,,0,,
65,1088,failed,integration error: model derivative became non-finite,14.172,5.795089713538137,249.10435242578387,58200,0,,0,,
65,1244,failed,integration error: model derivative became non-finite,14.06,13.603520223073852,422.6333149652928,99020,0,,0,,
66,2,failed,integration error: model derivative became non-finite,14.168000000000001,0.06522879811934555,60.47803119942546,14124,0,,0,,
66,3,failed,integration error: model derivative became non-finite,14.168000000000001,0.05904045168887691,60.030254911631346,14143,0,,0,,
66,4,failed,integration error: model derivative became non-finite,14.06,0.13803580328435497,62.69585790671408,14511,0,,0,,
66,312,failed,integration error: model derivative became non-finite,14.168000000000001,0.056362458914944805,104.62161942198873,24063,0,,0,,
66,620,failed,integration error: model derivative became non-finite,14.168000000000001,0.045560647658657305,61.40336154401302,14075,0,,0,,
66,622,failed,integration error: model derivative became non-finite,14.168000000000001,0.055539336981406416,61.04123980179429,14342,0,,0,,
66,778,failed,integration error: model derivative became non-finite,14.168000000000001,0.06441939430298309,102.70151786133647,23792,0,,0,,
66,1088,failed,integration error: model derivative became non-finite,14.172,0.06882095996858567,68.5549853593111,15929,0,,0,,
66,1244,failed,integration error: model derivative became non-finite,14.06,0.02111774620500117,60.98510670475662,14172,0,,0,,
67,2,failed,integration error: model derivative became non-finite,14.14,10.484648888329438,214.18859113752842,51019,0,,0,,
67,3,failed,integration error: model derivative became non-finite,14.14,13.048764706392884,305.10496684350073,72593,0,,0,,
67,4,success,,14.032,14.032,365.9547506161034,87286,3509,22.883647361881245,3509,33.99634332898489,33.982645070320245
67,312,failed,integration error: model derivative became non-finite,14.14,11.264861417611014,251.24234748259187,59690,0,,0,,
67,620,success,,14.14,14.14,269.2039900869131,63379,3536,40.93968261553693,3536,56.83475191494611,56.64661669786265
67,622,success,,14.14,14.14,372.39355924353004,87237,3536,23.4986056641437,3536,43.61243144560284,43.60203392369078
67,778,failed,integration error: model derivative became non-finite,14.14,11.31225168269373,215.48775332793593,51244,0,,0,,
67,1088,failed,integration error: model derivative became non-finite,14.144,11.314441245404259,221.09961541555822,52507,0,,0,,
67,1244,failed,integration error: model derivative became non-finite,14.032,10.429269981722047,268.4765557460487,63589,0,,0,,
68,2,success,,14.14,14.14,225.56532797962427,52757,3536,104.30555847512481,3536,112.84459078491024,112.37614630967242
68,3,success,,14.14,14.14,363.23610519990325,85050,3536,48.453893473215004,3536,56.61820246293813,56.53295711422939
68,4,success,,14.032,14.032,484.74534206464887,114439,3509,20.74202689281379,3509,33.2450949070522,33.21075602404636
68,312,success,,14.14,14.14,239.8784302715212,56224,3536,100.66297391361708,3536,104.22477957029317,103.99686583384617
68,620,success,,14.14,14.14,306.5840531606227,71181,3536,25.30283154119413,3536,47.461349991971936,47.41713585888568
68,622,success,,14.14,14.14,352.6270582098514,82600,3536,24.335124782092265,3536,44.202344201906925,44.249736892605696
68,778,failed,integration error: model derivative became non-finite,14.14,13.187390943938377,262.6272080279887,61583,0,,0,,
68,1088,success,,14.144,14.144,234.0197768062353,54938,3537,100.73115912426306,3537,112.65418503607958,112.22303605264148
68,1244,success,,14.032,14.032,295.8287041205913,69355,3509,73.68418065292228,3509,80.34999709992461,80.4538655818869
69,2,failed,integration error: model derivative became non-finite,14.14,3.330004975720779,109.67335375584662,26104,0,,0,,
69,3,failed,integration error: model derivative became non-finite,14.14,3.446788749581075,146.16618180647492,35090,0,,0,,
69,4,failed,integration error: model derivative became non-finite,14.032,7.514837188337549,247.70338379964232,58771,0,,0,,
69,312,failed,integration error: model derivative became non-finite,14.14,5.293784296933053,162.22303826734424,38663,0,,0,,
69,620,failed,integration error: model derivative became non-finite,14.14,4.190545062034954,162.63373821601272,38432,0,,0,,
69,622,failed,integration error: model derivative became non-finite,14.14,3.9884153522632997,166.54862597212195,39524,0,,0,,
69,778,failed,integration error: model derivative became non-finite,14.14,7.792352328261864,200.05742894113064,47833,0,,0,,
69,1088,failed,integration error: model derivative became non-finite,14.144,4.957501599350822,157.99906947650015,37442,0,,0,,
69,1244,failed,integration error: model derivative became non-finite,14.032,3.3699441957790595,131.9221139717847,31571,0,,0,,
70,2,success,,14.056000000000001,14.056000000000001,148.2036138428375,33251,3515,23.569149867230788,3515,43.33205381850951,43.17638803731658
70,3,success,,14.056000000000001,14.056000000000001,150.09910006728023,33450,3515,40.97447831662392,3515,52.48583727870094,51.3461641294326
70,4,success,,13.948,13.948,161.79126892611384,38852,3488,23.96937495697942,3488,36.34517636514758,38.94641818517988
70,312,failed,integration error: model derivative became non-finite,14.056000000000001,6.107629486220502,131.81217501778156,30072,0,,0,,
70,620,success,,14.056000000000001,14.056000000000001,156.28452620934695,36811,3515,37.62799686220396,3515,54.02836799614322,53.87443453893309
70,622,failed,integration error: model derivative became non-finite,14.056000000000001,6.341760047225522,127.90492866095155,30587,0,,0,,
