11.602473,17.377642,0,0,-13.478294,-0,12.886234,-0
11.194545,-0,0,0,8.7992926,-0,0,8.8975887
0,-0,0,0,-14.928592,0,16.606493,0
-14.026796,-17.547136,-8.4494638,-0,0,12.747678,0,15.422535
-23.069391,0,14.037633,-8.2772732,0,0,0,-0
0,-11.093732,8.1162033,0,-29.291611,18.430965,-17.268034,0
-0,10.286935,-13.189165,-0,0,-0,-0,-10.09424
-24.219471,0,13.620063,12.410789,-0,0,-0,-0
0,0,-9.6331577,26.3563,0,21.389589,0,0
-0,0,-0,0,15.629659,-0,0,0
-0,-0,8.019495,-0,8.4846659,9.7231779,13.81609,-0
-0,-0,17.653954,0,-8.2583055,0,-7.4193029,15.363652
0,0,-11.864209,-25.163124,9.208046,0,0,-11.638364
-0,13.71156,0,0,-18.813385,-9.7756968,10.190559,-25.777334
-9.8565607,-0,0,0,0,-0,0,-0
-0,0,-10.443147,15.626498,21.507441,-20.719057,0,-0
-18.315588,0,-0,11.649551,-21.914244,8.0001106,-0,-12.047449
-8.8715038,10.610104,11.149163,8.7686911,-15.207458,15.942161,-8.8485756,-0
-8.4842205,0,-8.9812422,-0,0,14.632539,12.566236,9.9024401
0,-0,-14.890364,20.98134,-10.823323,0,14.096664,0
-0,-0,0,10.456712,-0,-0,-10.26529,0
-0,14.495752,23.340397,0,-21.867636,0,0,17.867731
0,-0,-8.1198502,-8.8666191,14.812031,-0,-0,-0
0,0,0,-13.911653,0,-20.03882,0,-12.837509
0,15.063444,0,-0,-22.370155,12.430583,-9.1636753,-10.878252
-30.60939,0,0,-17.407907,0,-0,14.708992,0
-0,-9.0125885,-0,0,-9.4067774,-9.5789452,0,-0
12.280505,-0,-0,-10.982597,-10.82091,0,0,0
-0,0,-10.422636,0,-0,14.201496,0,-0
-0,-13.404745,9.644743,7.8149452,0,-0,8.2051678,-9.4419565
8.0120153,0,10.800767,0,0,10.694764,10.452819,0
0,-13.861346,13.41038,9.3686905,-11.145701,-0,0,13.551888
-14.124232,-0,22.11944,-11.446596,-0,-0,11.468718,-0
-14.878778,-0,-0,-0,0,14.52848,0,8.3575478
0,-0,9.2356844,11.55688,-0,-9.6790829,0,8.8767414
-11.246321,-8.505868,-0,-0,8.3188953,8.5141449,-0,0
-0,-0,14.057909,9.9678202,-0,-0,18.358709,-0
-0,0,12.342036,0,11.457856,-0,0,-0
8.4031782,8.032197,17.449633,-0,-0,10.171976,-0,0
-0,-12.385713,0,0,7.8689585,0,12.358581,-0
0,0,-0,0,-0,-0,-0,-0
0,-8.3441591,10.948264,15.348501,-11.120962,0,8.693058,-0
0,-26.983334,24.649689,-8.7152004,0,0,8.2903767,0
-17.079603,0,-0,7.8144503,-11.401113,0,17.921104,0
0,-0,-0,0,0,-0,-15.757875,0
