configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
102,3,35.0,8,1,9,0.05,4,False,integration error: simulation exceeded 60 wall-clock seconds,0.021139709019485243,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.0,4,False,integration error: simulation exceeded 60 wall-clock seconds,0.2960108390796124,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.05,1088,False,integration error: simulation exceeded 60 wall-clock seconds,0.03057530884451822,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.0,1088,False,integration error: simulation exceeded 60 wall-clock seconds,0.3530635819711407,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.05,622,False,integration error: simulation exceeded 60 wall-clock seconds,0.02386551452857496,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.0,622,False,integration error: simulation exceeded 60 wall-clock seconds,0.08159164868666342,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.05,620,False,integration error: simulation exceeded 60 wall-clock seconds,0.04134667033737744,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.0,620,False,integration error: simulation exceeded 60 wall-clock seconds,0.09576064098832726,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.05,2,False,integration error: simulation exceeded 60 wall-clock seconds,0.018010060654309476,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.0,2,False,integration error: simulation exceeded 60 wall-clock seconds,0.05524602008593837,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.05,3,False,integration error: simulation exceeded 60 wall-clock seconds,0.009012099425946446,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.0,3,False,integration error: simulation exceeded 60 wall-clock seconds,0.07335252275339359,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.05,1244,False,integration error: simulation exceeded 60 wall-clock seconds,0.0032950057022441666,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.0,1244,False,integration error: simulation exceeded 60 wall-clock seconds,0.024108533933515322,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.05,778,False,integration error: simulation exceeded 60 wall-clock seconds,0.00981387141382682,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.0,778,False,integration error: simulation exceeded 60 wall-clock seconds,0.049402391797164324,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.05,312,False,integration error: simulation exceeded 60 wall-clock seconds,0.016987892586908037,nan,nan,nan,nan,nan,nan
102,3,35.0,8,1,9,0.0,312,False,integration error: simulation exceeded 60 wall-clock seconds,0.22824608543577124,nan,nan,nan,nan,nan,nan
