configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
29,1,35.0,8,1,5,0.05,4,True,,2.0,4.556554999724785,-0.11220383324043481,6.368643286472879,9.45571447042952,0.056178084189682814,0.3333333333333333
29,1,35.0,8,1,5,0.0,4,True,,2.0,1.1804246209000921,-0.1320583920507856,0.9130452633319885,1.518220908666331,0.06286329636130158,0.18762475049900199
29,1,35.0,8,1,5,0.05,1088,True,,2.0,9.381823005438788,0.04090947569237978,8.189247239081196,11.612053667682224,0.16274090354710646,0.36926147704590817
29,1,35.0,8,1,5,0.0,1088,True,,2.0,2.0609255315065518,-0.016151533403339236,1.0053273109599867,1.6890684404009435,0.16133593835262502,0.1936127744510978
29,1,35.0,8,1,5,0.05,622,True,,2.0,6.802487256413413,0.06357359845398182,8.055725461533397,9.578654906087317,0.07374450735616349,0.3413173652694611
29,1,35.0,8,1,5,0.0,622,True,,2.0,1.622592536561019,0.05056806625766353,0.976302694726472,1.437143927811342,0.07522164441759446,0.16766467065868262
29,1,35.0,8,1,5,0.05,620,True,,2.0,1.2542739262584437,-0.028447388588205093,0.9273617477038246,1.162039018029142,0.214127019183488,0.24550898203592814
29,1,35.0,8,1,5,0.0,620,True,,2.0,0.9454154675658102,0.10180572164008886,0.15273553783591032,0.1792029203883382,0.22134376154346735,0.47305389221556887
29,1,35.0,8,1,5,0.05,2,True,,2.0,11.811710963931155,0.03255315991868926,15.380791140748306,13.639108976180552,0.02676986224665782,0.4251497005988024
29,1,35.0,8,1,5,0.0,2,True,,2.0,2.341896940323754,0.06629969585043001,1.6166224976100891,1.9415172366584923,0.026841912360488857,0.24550898203592814
29,1,35.0,8,1,5,0.05,3,True,,2.0,12.748898947292323,-0.1111266495180342,16.565217167075968,28.351293435210998,0.11367430553780501,0.4471057884231537
29,1,35.0,8,1,5,0.0,3,True,,2.0,2.5412771256148714,-0.0833693135185084,1.8204013439367988,4.133677205757261,0.11389694251026183,0.38922155688622756
29,1,35.0,8,1,5,0.05,1244,True,,2.0,12.153756082060498,-0.04189448060687997,10.55486433520498,17.701452746014322,0.4817724343511577,0.45109780439121755
29,1,35.0,8,1,5,0.0,1244,True,,2.0,2.7233956837135143,-0.05473763316735125,1.4510476385540274,2.794644503354647,0.4959817886642129,0.3213572854291417
29,1,35.0,8,1,5,0.05,778,True,,2.0,7.528952291649826,-0.11372329841252957,9.92783035279968,12.339643909492665,0.1659599422936642,0.35129740518962077
29,1,35.0,8,1,5,0.0,778,True,,2.0,1.6219171199057965,-0.006049662579527928,1.3366885084636557,1.8085431441672275,0.20093392742382032,0.18363273453093812
29,1,35.0,8,1,5,0.05,312,True,,2.0,4.298195939587027,0.06117768691184443,5.862384334651591,7.253257599349723,0.2541248060446533,0.2954091816367265
29,1,35.0,8,1,5,0.0,312,True,,2.0,1.1065227886337485,0.12447146864775671,0.7500877572115848,1.0601080886616399,0.24580422969267385,0.08183632734530938
