channel,excluded_fixation_trials,included_non_fixation_trials,n_delays,delay_samples_after_downsample,downsample,dt,train_trials,test_trials,min_train_embedded_samples,min_test_embedded_samples,threshold,degree,smooth_window,train_score_r2,test_score_r2,nonzero_terms
0,50,30,2,5,10,0.02,22,8,60,60,0.05,2,9,-0.10806193850171808,-0.05584264298273878,6
0,50,30,4,5,10,0.02,22,8,50,50,0.05,2,9,-0.0903786248597293,-0.0640622008238837,23
0,50,30,6,5,10,0.02,22,8,40,40,0.05,2,9,-0.104271992858267,-0.14432029151088008,49
0,50,30,8,5,10,0.02,22,8,30,30,0.05,2,9,-0.14704633532150185,-0.3669679789843443,143
0,50,30,10,5,10,0.02,22,8,20,20,0.05,2,9,-0.2170985627361543,-0.7510908771051357,267
0,50,30,12,5,10,0.02,22,8,10,10,0.05,2,9,-0.42719124424135996,-1.9998901166724004,531
