config_key,sweep_id,configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,x0_rmse_uv,trajectory_rmse_uv,rhs_evaluations
508ae1fc6da3,raw_grid_deg2357_t20000,12,4,failed,integration error: model derivative became non-finite,14.076,13.294800486180467,,,66026.0
508ae1fc6da3,raw_grid_deg2357_t20000,12,1088,failed,integration error: model derivative became non-finite,14.188,8.169258778105267,,,41867.0
508ae1fc6da3,raw_grid_deg2357_t20000,12,622,failed,integration error: model derivative became non-finite,14.184000000000001,10.828824496872546,,,49937.0
508ae1fc6da3,raw_grid_deg2357_t20000,12,620,failed,integration error: model derivative became non-finite,14.184000000000001,12.189494313418802,,,66708.0
45b4eae6d4bc,raw_grid_deg2357_t20000,13,4,failed,integration error: model derivative became non-finite,14.064,8.918878980091037,,,36235.0
45b4eae6d4bc,raw_grid_deg2357_t20000,13,1088,failed,integration error: model derivative became non-finite,14.176,0.8712249665406951,,,15355.0
45b4eae6d4bc,raw_grid_deg2357_t20000,13,622,failed,integration error: model derivative became non-finite,14.172,2.319109790906515,,,18886.0
45b4eae6d4bc,raw_grid_deg2357_t20000,13,620,failed,integration error: model derivative became non-finite,14.172,8.725379500286174,,,33445.0
e5b7b1b749df,raw_grid_deg2357_t20000,14,4,failed,integration error: model derivative became non-finite,14.064,10.631589821769468,,,42346.0
e5b7b1b749df,raw_grid_deg2357_t20000,14,1088,failed,integration error: model derivative became non-finite,14.176,1.4060570397755006,,,16902.0
e5b7b1b749df,raw_grid_deg2357_t20000,14,622,failed,integration error: model derivative became non-finite,14.172,3.2572704625280178,,,20928.0
e5b7b1b749df,raw_grid_deg2357_t20000,14,620,failed,integration error: model derivative became non-finite,14.172,10.623178051175616,,,39217.0
ce9fa31bb585,raw_grid_deg2357_t20000,15,4,failed,integration error: model derivative became non-finite,14.064,7.063565763132313,,,39278.0
ce9fa31bb585,raw_grid_deg2357_t20000,15,1088,failed,integration error: model derivative became non-finite,14.176,2.4750772489222053,,,20571.0
ce9fa31bb585,raw_grid_deg2357_t20000,15,622,failed,integration error: model derivative became non-finite,14.172,5.977802694312554,,,28554.0
