method,amp_100ms,amp_200ms,amp_20ms,amp_350ms,amp_50ms,corr_100ms,corr_200ms,corr_20ms,corr_350ms,corr_50ms,free_run_14s,free_run_1s,free_run_2s,n
delay nd2,0.8992722309622875,0.7233992697923348,0.8430632753185134,0.7420880571992976,0.9421367929601142,-0.42696475692187597,0.2352769491796218,0.5025057588061141,-0.029505011088235483,-0.2822452480482801,0.0641,0.227,0.168,224
delay nd4,1.1048320176762767,0.9215827179028248,1.0169787731482531,1.1163738658172857,1.0191070328798242,-0.40381784444773966,0.20202632406790466,0.683870284405747,0.17444754459525258,-0.41512284030204744,1.44,0.598,0.77,234
HAVOK r=3,0.6104453744157288,0.6233260233539293,0.5737098506989639,0.6649154867647306,0.6192302897557664,0.29802325135630214,0.21953109766544485,0.4886396179158633,0.058638046242294496,0.5191790486783462,0.0528,0.0536,0.0541,234
HAVOK r=12,0.8252975915493144,0.8934539965103171,0.7815403673110797,0.9679733666713553,0.894533022172227,0.3145731223751184,0.24549839751414199,0.5081116438488058,0.15272984995536054,0.351376366688594,0.322,0.325,0.308,234
AE q40_d12,1.8897732555258362,154.61566892132862,1.1237660842477866,158180.07845594615,0.7695475812965754,-0.09548417080985407,0.06344156973160174,0.3493061949763678,-0.02559101591762984,0.17596407223791766,,,,241
AE q160_d12,90.90114632871558,6838.881217561369,0.5648728692636636,3576805.408849175,6.204175885597282,0.01065084599624176,-0.03413917872032038,0.4665606909321565,-0.009529123741139959,0.04175142723034115,,,,232
AE lin_d12,2.0514570798348934,20.069638220117433,0.7534115752378376,609.9992147875901,1.0757809178442759,0.1553040900063919,0.2046934616671713,0.38977070349881615,-0.04226781065048793,0.46947824773976965,,,,234
