configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
187,4,success,,14.068,14.068,10.521693585440516,9714,3518,2.4954828095055004,3518,27.838538291891854,27.823005848660898
187,1088,success,,14.18,14.18,13.239915993064642,12385,3546,17.25760414384128,3546,49.06296438880085,49.128674006787264
187,622,success,,14.176,14.176,14.159339658915997,13181,3545,24.530226081798308,3545,44.19828992986359,44.39149377023707
187,620,success,,14.176,14.176,10.483741324394941,9610,3545,3.1714405449257574,3545,40.64581561457769,40.6086428924527
187,2,success,,14.176,14.176,14.43105873465538,13481,3545,30.53942766596645,3545,48.801651100200864,48.71312691178132
187,3,success,,14.176,14.176,13.559535713866353,12632,3545,19.870523624197983,3545,36.36203992871601,36.40128214696587
187,1244,success,,14.068,14.068,13.993094867095351,12967,3518,24.34360041741037,3518,44.07885101026002,44.02721505950811
187,778,success,,14.176,14.176,13.634683905169368,12452,3545,20.116054961354497,3545,40.954250155668994,40.87223224094463
187,312,success,,14.176,14.176,12.929081711918116,12011,3545,14.98050613091096,3545,37.582008957065064,37.64395036150966
