configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
172,4,success,,14.06,14.06,321.74789383169264,67406,3516,84.5880215073893,3516,88.28969095479943,88.32325028752692
172,1088,success,,14.172,14.172,282.4628379046917,58780,3544,64.46352469092932,3544,79.20725187493875,79.24097598020684
172,622,failed,integration error: model derivative became non-finite,14.168000000000001,9.659097285366498,325.93456969223917,68216,0,,0,,
172,620,success,,14.168000000000001,14.168000000000001,371.9331768080592,81592,3543,74.2901959089701,3543,83.06221285220842,83.06470912677591
172,2,success,,14.168000000000001,14.168000000000001,288.63020680006593,64413,3543,80.90289234779638,3543,90.27631568598687,90.31196819676163
172,3,success,,14.168000000000001,14.168000000000001,235.12519130297005,52751,3543,77.85504836430117,3543,81.85336499582584,81.7642332249065
172,1244,failed,integration error: model derivative became non-finite,14.06,13.338676263218737,367.6455486500636,81910,0,,0,,
172,778,failed,integration error: model derivative became non-finite,14.168000000000001,12.885795904870193,355.74287791829556,79488,0,,0,,
172,312,success,,14.168000000000001,14.168000000000001,244.44715981278569,55860,3543,51.465805662643035,3543,62.44633604083389,62.34525041707002
