configuration_index,test_trial_id,window_index,window_start_s,window_duration_s,simulation_status,failure_reason,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
272,4,0,0.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.08333737772616748,120.0001239720732,763,0,,0,,
272,4,1,2.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.1010339645793742,120.00013696588576,761,0,,0,,
272,4,2,4.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.18289109312898605,120.00015812925994,766,0,,0,,
272,4,3,6.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.10465613744696532,120.00014873407781,770,0,,0,,
272,4,4,8.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.11386540046828354,120.00015538744628,771,0,,0,,
272,4,5,10.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.14908437620443693,120.00014169886708,764,0,,0,,
272,4,6,12.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.11539923903181283,120.00014505721629,754,0,,0,,
272,4,7,14.0,0.068,success,,0.068,66.43803696520627,418,18,12.727877043374258,18,26.51206019667056,19.983067434410774
272,1088,0,0.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.1420414162469176,120.00012762844563,762,0,,0,,
272,1088,1,2.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.12458287954164603,120.00013103336096,755,0,,0,,
272,1088,2,4.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.01847945132820406,120.00012049078941,761,0,,0,,
272,1088,3,6.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.0953451496094606,120.00012905709445,751,0,,0,,
272,1088,4,8.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.15305268935252164,120.00014102086425,747,0,,0,,
272,1088,5,10.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.09494309667045742,120.00012674927711,753,0,,0,,
272,1088,6,12.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.061039625519648325,120.00022031739354,770,0,,0,,
272,1088,7,14.0,0.18,failed,integration error: simulation exceeded 120 wall-clock seconds,0.015151977160591093,120.00008340552449,762,0,,0,,
272,622,0,0.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.10934487515402079,120.00012245215476,767,0,,0,,
272,622,1,2.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.13200819877515368,120.00014749728143,771,0,,0,,
272,622,2,4.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.14947359106695585,120.00014634989202,770,0,,0,,
272,622,3,6.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.11642904855408612,120.0001421533525,771,0,,0,,
272,622,4,8.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.1292908662079541,120.00013463199139,773,0,,0,,
272,622,5,10.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.11469660461850396,120.00012900307775,767,0,,0,,
272,622,6,12.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.18408028973325552,120.00013811513782,769,0,,0,,
272,622,7,14.0,0.176,failed,integration error: simulation exceeded 120 wall-clock seconds,0.12740119574627948,120.00010569952428,769,0,,0,,
272,620,0,0.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.09183968616332552,120.00012281537056,768,0,,0,,
272,620,1,2.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.2283684853907682,120.00014181807637,771,0,,0,,
272,620,2,4.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.023388543217854666,120.00012478232384,772,0,,0,,
272,620,3,6.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.11532900509649757,120.00013832189143,765,0,,0,,
272,620,4,8.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.13643490242031325,120.00013000890613,763,0,,0,,
272,620,5,10.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.1810820457102525,120.00013541989028,766,0,,0,,
272,620,6,12.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.1500158803993252,120.0001510437578,776,0,,0,,
272,620,7,14.0,0.176,failed,integration error: simulation exceeded 120 wall-clock seconds,0.041192304330042416,120.00008500367403,781,0,,0,,
