configuration_index,test_trial_id,window_index,window_start_s,window_duration_s,simulation_status,failure_reason,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
285,4,0,0.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.03837685076492976,120.00017315987498,182,0,,0,,
285,4,1,2.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.036477751743381526,120.00012993533164,183,0,,0,,
285,4,2,4.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.04555992909939826,120.00014816317707,184,0,,0,,
285,4,3,6.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.0463823747039663,120.00014147814363,186,0,,0,,
285,4,4,8.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.03511357554233934,120.00012843403965,187,0,,0,,
285,4,5,10.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.04602122022987729,120.00012276228517,189,0,,0,,
285,4,6,12.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.0553373065483252,120.00014765188098,192,0,,0,,
285,4,7,14.0,0.032,success,,0.032,113.16582258697599,180,9,98.62171474997055,9,75.46675670019114,36.38693334724626
285,1088,0,0.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.03932340333236776,120.00022522173822,192,0,,0,,
285,1088,1,2.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.0338122465596092,120.00012951623648,191,0,,0,,
285,1088,2,4.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.026924920935378096,120.00011670589447,192,0,,0,,
285,1088,3,6.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.02779641462309034,120.00011432543397,196,0,,0,,
285,1088,4,8.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.02731703012149476,120.00011500250548,197,0,,0,,
285,1088,5,10.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.029962430199827514,120.00011562742293,198,0,,0,,
285,1088,6,12.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.03791814659304791,120.00011074915528,198,0,,0,,
285,1088,7,14.0,0.14400000000000002,failed,integration error: simulation exceeded 120 wall-clock seconds,0.032013126010750674,120.00009555742145,197,0,,0,,
285,622,0,0.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.03477665495433164,120.00013954378664,198,0,,0,,
285,622,1,2.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.057615546545483384,120.00011336803436,199,0,,0,,
285,622,2,4.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.050434774589042615,120.00011107418686,199,0,,0,,
285,622,3,6.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.04709464854695743,120.00014646630734,199,0,,0,,
285,622,4,8.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.04028783151415672,120.00010796356946,199,0,,0,,
285,622,5,10.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.02783664784249791,120.00010864716023,199,0,,0,,
285,622,6,12.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.030494618606542925,120.00010996498168,202,0,,0,,
285,622,7,14.0,0.14,failed,integration error: simulation exceeded 120 wall-clock seconds,0.04081422563674401,120.00010130461305,213,0,,0,,
285,620,0,0.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.04855272122927437,120.00013111252338,212,0,,0,,
285,620,1,2.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.05442755197673021,120.00011399481446,212,0,,0,,
285,620,2,4.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.07566981734155827,120.00011736433953,211,0,,0,,
285,620,3,6.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.030581142084267182,120.00012954510748,212,0,,0,,
285,620,4,8.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.030953410355348817,120.00010308716446,211,0,,0,,
285,620,5,10.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.033490267626287394,120.00010631326586,211,0,,0,,
285,620,6,12.0,1.996,failed,integration error: simulation exceeded 120 wall-clock seconds,0.033988479395254165,120.00011069979519,214,0,,0,,
285,620,7,14.0,0.14,failed,integration error: simulation exceeded 120 wall-clock seconds,0.05221732290436762,120.00009973533452,211,0,,0,,
