configuration_index,test_trial_id,window_index,window_start_s,window_duration_s,simulation_status,failure_reason,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
254,4,0,0.0,1.996,success,,1.996,14.673982633277774,4113,500,22.468542897339624,500,33.87547318311409,33.828658130878225
254,4,1,2.0,1.996,success,,1.996,10.786198731511831,2960,500,4.51166012008138,500,33.14803130430296,33.135072956108395
254,4,2,4.0,1.996,success,,1.996,12.346803605556488,3426,500,15.814179224841691,500,34.172715710261905,34.15673884009494
254,4,3,6.0,1.996,success,,1.996,15.70921691507101,4395,500,50.68121012934562,500,54.7827230646698,54.70955464067854
254,4,4,8.0,1.996,success,,1.996,14.665944339707494,4101,500,22.208554587500537,500,33.93716809567134,33.904844230874815
254,4,5,10.0,1.996,success,,1.996,11.18211710266769,3123,500,4.406705996716076,500,27.098383848444094,27.05036433018648
254,4,6,12.0,1.996,success,,1.996,15.450564166530967,4282,500,29.351673223043925,500,36.303030913355705,36.30039560669695
254,4,7,14.0,0.084,success,,0.084,0.6616452150046825,183,22,19.953167490176416,22,25.58582341274209,25.27448401769088
254,1088,0,0.0,1.996,success,,1.996,16.858495250344276,4583,500,43.13537010265784,500,62.526669608830495,62.567630090545784
254,1088,1,2.0,1.996,success,,1.996,10.827272944152355,3024,500,4.780801898942581,500,36.9229501296599,36.92711821016374
254,1088,2,4.0,1.996,success,,1.996,15.374967062845826,4330,500,32.93029409801422,500,45.656090333552896,45.626445249684764
254,1088,3,6.0,1.996,success,,1.996,17.06276065669954,4770,500,83.85341453272001,500,94.91372559440568,94.90468422666291
254,1088,4,8.0,1.996,success,,1.996,16.880199974402785,4711,500,84.93611796704522,500,122.19346609833705,122.14876567858369
254,1088,5,10.0,1.996,success,,1.996,12.088921962305903,3376,500,8.379150959917684,500,44.48933798437473,44.492739581643896
254,1088,6,12.0,1.996,success,,1.996,10.680759510025382,2905,500,6.082858816635089,500,36.40359547060842,36.409129508501806
254,1088,7,14.0,0.196,success,,0.196,1.733973702415824,475,50,38.508748742144824,50,44.162961871351435,44.17249066459152
254,622,0,0.0,1.996,failed,integration error: model derivative became non-finite,1.3690896700023643,79.30982172302902,22419,0,,0,,
254,622,1,2.0,1.996,success,,1.996,15.590583005920053,4341,500,39.86844937342503,500,66.68524891073396,66.64379966780734
254,622,2,4.0,1.996,success,,1.996,15.15063296444714,4276,500,27.450614300792473,500,41.368616528391875,41.402574325618644
254,622,3,6.0,1.996,success,,1.996,15.933566220104694,4485,500,46.68931194252301,500,56.87791990202822,56.883206557796825
254,622,4,8.0,1.996,success,,1.996,11.901088180020452,3334,500,14.833035259966884,500,37.33280571038983,37.32772918483618
254,622,5,10.0,1.996,success,,1.996,12.073810424655676,3393,500,14.67486440437754,500,37.921077421615564,37.912654006544976
254,622,6,12.0,1.996,success,,1.996,15.107146184891462,4235,500,30.335385563982516,500,49.54954129336428,49.50318609727997
254,622,7,14.0,0.192,success,,0.192,1.556320620700717,430,49,38.8472441833659,49,63.59393235278771,63.50432171387875
254,620,0,0.0,1.996,success,,1.996,12.821151437237859,3578,500,12.468138165181418,500,35.043266109548455,35.06104912291635
254,620,1,2.0,1.996,success,,1.996,15.115691749379039,4260,500,36.98124294224994,500,53.789002949973884,53.747076778640505
254,620,2,4.0,1.996,failed,integration error: model derivative became non-finite,1.040793902697587,68.02104814350605,19165,0,,0,,
254,620,3,6.0,1.996,success,,1.996,16.05576041713357,4509,500,52.682783106574774,500,62.577605416165845,62.59606184373916
254,620,4,8.0,1.996,success,,1.996,13.446376617997885,3638,500,15.883988578789353,500,42.29039298950709,42.27291123113199
254,620,5,10.0,1.996,success,,1.996,14.320742785930634,3835,500,22.07880114775375,500,56.75700850504575,56.771039251480516
254,620,6,12.0,1.996,success,,1.996,12.382266085594893,3364,500,12.409030603106297,500,37.5600594719092,37.5422654634919
254,620,7,14.0,0.192,success,,0.192,1.7746235188096762,465,49,46.34636412317308,49,50.934580226492734,50.72390650901505
