configuration_index,test_trial_id,window_index,window_start_s,window_duration_s,simulation_status,failure_reason,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
25,4,0,0.0,1.996,success,,1.996,11.579825245775282,4245,500,16.309738914872618,500,28.313904333212648,28.2880759557116
25,4,1,2.0,1.996,success,,1.996,10.589657226577401,3862,500,18.12010425611287,500,35.82440806036429,36.552992869893465
25,4,2,4.0,1.996,success,,1.996,9.582121987827122,3503,500,11.167936832117944,500,34.11371649955715,33.39674295405961
25,4,3,6.0,1.996,success,,1.996,12.268307756632566,4597,500,26.588875010229398,500,34.40298441791416,35.74827648674309
25,4,4,8.0,1.996,success,,1.996,13.183657594025135,4985,500,20.421604712090392,500,31.88774887031976,32.214392816438675
25,4,5,10.0,1.996,success,,1.996,11.481005445122719,4347,500,16.260702920948898,500,34.29306654051909,33.800041582912506
25,4,6,12.0,1.988,success,,1.988,11.722116026096046,4445,498,28.16566480264326,498,42.17182601426923,42.365890164633264
25,1088,0,0.0,1.996,success,,1.996,12.503463929519057,4731,500,24.44240279749775,500,48.60359267009047,48.229644436441674
25,1088,1,2.0,1.996,success,,1.996,12.357466774061322,4673,500,15.16947650301467,500,39.42162125356026,39.226447205967794
25,1088,2,4.0,1.996,success,,1.996,13.27164447400719,4982,500,17.736353437064242,500,40.13275355806516,40.174509086131934
25,1088,3,6.0,1.996,success,,1.996,11.871439062058926,4472,500,28.298124484747763,500,45.68925141717708,45.105620696306126
25,1088,4,8.0,1.996,success,,1.996,13.793002773076296,5238,500,29.14637681526807,500,87.03160001569915,86.94379044186647
25,1088,5,10.0,1.996,success,,1.996,8.759958948940039,3311,500,19.517318908582364,500,49.2312669502165,48.34078406242295
25,1088,6,12.0,1.996,success,,1.996,13.308391766622663,5038,500,22.331717683962136,500,40.76280605561069,42.88471260356061
25,1088,7,14.0,0.1,success,,0.1,0.6492924299091101,245,26,21.830077296157317,26,26.362121612089506,19.470183640118027
25,622,0,0.0,1.996,success,,1.996,12.949387294240296,4853,500,20.473526578602172,500,40.7335546984304,42.05264863943544
25,622,1,2.0,1.996,success,,1.996,8.495439852587879,3182,500,43.843439511175475,500,73.41660515148025,71.82146661549396
25,622,2,4.0,1.996,success,,1.996,11.529635795392096,4358,500,22.41787854733237,500,40.97688443607027,39.57388604345628
25,622,3,6.0,1.996,success,,1.996,10.528967490419745,3984,500,53.989563627561694,500,66.18058591326223,64.82247787940736
25,622,4,8.0,1.996,success,,1.996,10.261899119243026,3861,500,17.022358100874968,500,38.880530361013214,37.96439544233085
25,622,5,10.0,1.996,success,,1.996,12.46015659160912,4672,500,22.84606883356893,500,41.751572249282546,40.13840213346713
25,622,6,12.0,1.996,success,,1.996,11.326222442090511,4276,500,30.570026580393012,500,55.22456141188024,52.21577027711661
25,622,7,14.0,0.096,success,,0.096,0.4553811755031347,171,25,53.71804871604418,25,53.521859058312934,32.866643078655315
25,620,0,0.0,1.996,success,,1.996,8.248807624913752,3169,500,27.355972320462783,500,40.62536448379419,39.92536266518185
25,620,1,2.0,1.996,success,,1.996,11.702632309868932,4522,500,47.123631239636794,500,56.649815947464134,54.982545631128595
25,620,2,4.0,1.996,success,,1.996,9.953987564891577,3852,500,43.338448042502996,500,62.01055335381396,59.215642477224165
25,620,3,6.0,1.996,success,,1.996,13.040855632163584,4996,500,22.705795995286294,500,35.19603219455721,38.91917655981171
25,620,4,8.0,1.996,success,,1.996,13.708052733913064,5268,500,34.53794932699094,500,49.899707730114756,52.88988782418778
25,620,5,10.0,1.996,success,,1.996,10.960596250370145,4247,500,27.768926426863047,500,62.500754558430096,61.757909504129096
25,620,6,12.0,1.996,success,,1.996,10.64740694873035,4136,500,28.086939147448795,500,46.128156070967755,45.02524275747231
25,620,7,14.0,0.096,success,,0.096,0.5531715452671051,215,25,24.729322393280523,25,17.47200642859272,15.923968582414982
