trial,samples,trajectory_rmse_all_coordinates,x0_rmse,x0_correlation,measured_x0_max_abs,simulated_x0_max_abs
468,251,1.989775528860894,1.9902460988067279,0.07176628165306115,3.4149564573297777,1.964611801587824
623,251,1.5130076373923467,1.5218666782374901,-0.047727293910676295,3.9929406533302827,1.4065725294280655
1086,251,1.972830219593473,1.9809863063503483,0.023606214931134826,2.712027315720041,2.33784685876139
4,251,1.247884256854215,1.2473567847323304,-0.21626349999336175,1.8650254464014806,1.3027514756142844
2,251,1.8566604841288052,1.8576504535053708,-0.07485989827530475,2.5223519377997,1.8495001524314123
3,251,1.1342668767903046,1.132047703773874,0.1240938045085519,3.171685087902967,1.3181814823513451
934,251,1.0597460408498953,1.0671604211857715,0.17459844990909026,3.376705148628707,1.0532295016722215
624,251,1.4488172534136978,1.4515410470699253,-0.031436716511062224,3.941588750938818,0.7565317714565439
620,251,0.9376690239588567,0.9382895597790044,0.1607926055577278,2.5157880264696164,0.5299869911350109
776,251,1.3640450916481008,1.3682554871545334,-0.12556064180668933,2.362554238822498,1.321191474899843
1,251,0.8264649971372895,0.8229558635185628,0.17680044995021726,1.4386345341208562,0.9191780235426995
311,251,1.0228659987620299,1.0220102249413658,-0.09186693986468217,1.8104532892947933,0.775445233979092
