configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
82,4,success,,14.076,14.076,2.4232652243226767,1720,3520,5.179405921540585,3520,5.230670064821735,4.189927440426308
82,1088,success,,14.188,14.188,2.9550283029675484,2109,3548,1.0830490561942572,3548,1.630102414894415,3.5606530282170796
82,622,success,,14.184000000000001,14.184000000000001,2.519960444420576,1797,3547,5.181276708102416,3547,5.281600646779848,4.251228329973019
82,620,success,,14.184000000000001,14.184000000000001,2.4674898721277714,1763,3547,5.17746077122519,3547,5.286739875971649,4.260182125564752
82,2,success,,14.184000000000001,14.184000000000001,2.062418321147561,1486,3547,1.083685119639388,3547,1.4968730155643986,3.900162023097494
82,3,success,,14.184000000000001,14.184000000000001,2.291129359975457,1662,3547,1.0863684096529025,3547,1.3610490081651014,3.4699521417352277
82,1244,success,,14.076,14.076,2.0680456943809986,1500,3520,5.188297471230182,3520,5.27783582908823,4.244773857298902
82,778,success,,14.184000000000001,14.184000000000001,3.6930129565298557,2636,3547,1.085658690385072,3547,1.4372554415717747,2.0594366653757397
82,312,success,,14.184000000000001,14.184000000000001,2.614162677899003,1901,3547,1.0846858163734066,3547,1.421312190194618,3.478584240991174
