configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
138,4,success,,14.06,14.06,205.00748080015182,193198,3516,3958.5652697982523,3516,3958.5233361366536,5700.050659412403
138,1088,success,,14.172,14.172,211.19070441275835,196192,3544,2361.9550402152136,3544,2362.728974925741,3407.0735186619745
138,622,success,,14.168000000000001,14.168000000000001,204.49007184244692,192981,3543,3161.4021557783667,3543,3161.6146328568852,4547.214634124812
138,620,success,,14.168000000000001,14.168000000000001,200.83692132681608,189411,3543,2355.4757078079924,3543,2355.8114839731334,3391.5490325770766
