configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
23,4,failed,integration error: simulation exceeded 300 wall-clock seconds,14.048,0.1564388534435688,300.00019551441073,655,0,,0,,
23,1088,failed,integration error: simulation exceeded 300 wall-clock seconds,14.16,0.12238673816128154,300.00017846468836,653,0,,0,,
23,622,failed,integration error: simulation exceeded 300 wall-clock seconds,14.156,0.2194318637386426,300.0002024983987,645,0,,0,,
23,620,failed,integration error: simulation exceeded 300 wall-clock seconds,14.156,0.1611371600433756,300.0001887921244,644,0,,0,,
