configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
129,4,success,,14.068,14.068,109.03620687313378,146020,3518,8023.029552166056,3518,8023.186398142716,9058.9396726655
129,1088,success,,14.18,14.18,87.58781282417476,117259,3546,4227.441956799307,3546,4227.789178327315,4762.251134429647
129,622,success,,14.176,14.176,85.4697964284569,115660,3545,7540.952876112504,3545,7540.928981903527,8510.155350897563
129,620,success,,14.176,14.176,89.60891965217888,120017,3545,3628.1552041902382,3545,3628.2202702812992,4094.637690364122
129,2,success,,14.176,14.176,81.05479327589273,110816,3545,4032.4619966624778,3545,4032.946232047771,4549.041287971237
129,3,success,,14.176,14.176,82.15289800427854,111592,3545,3014.7969379928763,3545,3014.82345691696,3397.5566822074406
129,1244,success,,14.068,14.068,57.13737261854112,78346,3518,872.4987724744872,3518,872.6842605312476,970.0678577139641
129,778,success,,14.176,14.176,89.18780831247568,123305,3545,7709.278950413968,3545,7709.085918124777,8702.399596553427
129,312,success,,14.176,14.176,90.74341713637114,126305,3545,2921.1209716501853,3545,2921.4860080477733,3298.6208116162875
