-4.0635238,5.6800675,18.24235,4.8062072,1.1387323,-5.372117,-9.2767267,-1.7341874,24.413599,0.32747215,3.9936817,8.6855536
11.707528,-19.265198,-28.388536,12.864532,-18.401117,4.4190507,8.9746332,-7.5054903,-3.4735565,-3.1117773,-7.8353095,-2.2415559
-9.4434891,-13.210447,-13.364001,4.4428711,6.9853201,-9.5992622,4.8424859,-2.6337419,17.005219,-21.275297,-13.698398,5.9810834
12.669826,6.4056263,3.9036062,0.31298968,-3.2137144,5.6247115,5.5989499,7.863297,-7.5610466,-0.27409056,4.7845864,-2.3616216
16.059435,5.9912124,6.0752115,-12.37816,-16.704931,-12.673556,-9.4692268,-7.7075872,4.9642711,-6.1291046,0.48169866,-6.0483718
-0.86984855,13.329635,-11.030524,-1.9177021,-1.6800082,-0.29086375,-5.862319,-8.4351053,-0.19668195,-4.5176525,5.6363063,-15.113744
8.8626289,5.1784391,-18.991226,-12.690291,0.47956663,-7.6289253,4.6650405,18.103628,5.6344886,-9.7678947,8.9136105,4.5594754
9.685688,-13.932276,-1.3443444,-0.97546482,-0.7194249,-16.481468,-3.9833803,8.227684,19.603626,4.1565347,13.799646,-10.28812
0.30003455,-8.677227,-7.158917,-13.637933,5.1234927,3.9041846,19.031141,4.8677011,-4.8190017,-5.6513381,0.89767462,11.075475
3.9455957,2.450798,-1.5720531,1.5342729,9.3732815,-13.726871,-8.4365425,-4.1743546,16.392742,2.8527076,1.366318,-12.413654
6.3478165,8.8264647,-14.421399,-10.473724,-1.8605573,-6.1150374,8.7212143,-18.334322,3.3631661,-3.7233393,-7.3017964,-9.3201704
-15.354108,-16.36828,3.1045206,2.8884382,9.3379631,8.1563692,10.026289,-2.5269358,13.051581,10.334387,-11.427955,-7.7245493
6.4302878,2.6839511,-13.514346,-4.2719531,14.697088,-6.4389129,-6.4437866,-7.464921,-1.2566746,4.3678789,6.9205813,0.81408113
-1.0901891,5.5833931,18.83481,-5.9332142,29.401297,11.92558,11.240552,-19.957365,4.6055622,-2.0158424,13.115658,-0.046231393
-4.3144341,-9.102644,19.6488,1.1036314,26.800707,-6.8958802,16.959232,-12.496266,3.6571021,-3.371309,-2.9227521,-8.5347672
-6.9274907,13.517803,-4.934608,-7.1041479,16.893616,1.3844393,13.954273,0.13954113,3.5377712,-4.8483205,-2.6207006,4.2085376
4.6740503,-25.153837,-14.541411,-12.806498,-2.7885275,2.3097169,-4.2921686,-1.4306546,-12.291931,1.1279569,9.6316042,-1.8833133
11.882291,-4.3760891,-7.7421412,-20.776932,2.4431512,-15.384082,-21.925772,6.9180188,6.3570523,4.1766257,-4.1407938,21.338116
16.068361,-14.149442,-16.439318,-5.427155,3.4744596,4.9570642,-12.351294,11.317997,-1.7033257,13.07036,-3.0964222,-4.4186492
-6.3230505,-5.7859249,8.6355734,-5.9553194,4.0185108,9.0058365,12.581631,4.9590964,4.0338435,13.197712,6.5530663,0.51159984
10.317447,7.4197421,9.4304514,-4.1266584,20.058073,-5.4731369,0.1779884,-10.26182,-12.540454,-5.4603982,6.7988863,-9.1362963
4.2170515,-3.9183941,-0.31875479,-0.19132906,-7.5712872,-6.1874266,-5.2136741,-10.4483,-0.016515562,15.457691,4.9294972,-1.0630257
-2.9030612,17.470472,-5.7134285,1.4447869,0.83485687,6.2280717,3.6520536,-20.0291,-11.104432,16.779509,-4.7059922,-2.2059906
2.1088421,2.9368021,-5.1489143,1.2471795,-11.92623,17.021667,-10.57454,10.03828,17.875792,-6.5253191,-5.1386576,-1.4555815
-11.293139,0.56672704,-7.2377548,-27.531487,4.746985,-5.4666896,0.96039277,0.48491186,-5.3623829,0.048651818,-6.9970717,11.956983
-8.7222595,-3.629849,-10.330153,-0.57467359,5.556581,14.776114,0.35806602,13.916618,-11.622218,-25.121729,-8.7635136,-7.1257992
-9.622385,-27.179441,13.694319,-1.6808512,-5.3596687,18.676926,-0.68741375,14.361502,7.6944571,-2.9867048,-13.610792,15.260736
-18.289476,6.9974427,14.390875,8.6416969,6.3763294,11.166349,7.199615,7.8189335,-20.572226,-9.5336676,-18.196976,19.551115
13.874037,-9.792285,-2.3666196,-1.5182096,10.185846,18.364386,-13.615696,6.6743088,-2.3193543,1.3093206,-5.4805212,15.983326
1.9417654,-2.8360016,-3.8724482,-21.188431,-5.3508978,-17.883522,2.831301,1.2086459,5.3472543,4.3592954,3.9110258,8.7152967
-6.3826289,11.627367,-7.9366298,8.1405659,-12.208493,-2.885669,0.56444299,-2.1001141,3.6350851,1.9619182,14.801213,12.006682
-14.298073,12.085004,7.469892,5.6002111,-2.8635151,-5.4163976,2.6061325,12.114479,-0.90890461,-5.4248934,-0.46404156,-6.3766427
