case,n_train,replicate,seed,nonzero_terms,n_completed,n_test,completed_trials,train_ids,psd_similarity,x0_correlation,collapse_std_ratio,x0_rmse
nd2,4,0,4000,4,9,9,0;1;2;3;4;5;6;7;8,621;469;933;1087,0.12186533891851031,-0.010103771251256164,0.86050902996938,48.40159765309909
nd2,4,1,4001,4,9,9,0;1;2;3;4;5;6;7;8,1;931;313;465,0.12785176231418177,0.016539752344551652,1.0666989518614032,49.98772099227743
nd2,4,2,4002,4,9,9,0;1;2;3;4;5;6;7;8,0;467;931;469,0.12806586707676432,-0.0003433763353101293,0.9677874632349217,48.99926960920369
nd2,4,3,4003,4,9,9,0;1;2;3;4;5;6;7;8,0;776;775;466,0.1390750271614365,0.027260642138292823,0.9238587231025291,46.51662407286805
nd2,4,4,4004,4,9,9,0;1;2;3;4;5;6;7;8,776;157;155;1085,0.1314597348941536,0.025205169565357628,1.1098097690867486,48.10530725682408
nd2,8,0,8000,4,9,9,0;1;2;3;4;5;6;7;8,0;934;775;1086;156;467;155;469,0.14065701187800211,0.025612353682521585,1.0997420761842998,50.035229399055794
nd2,8,1,8001,4,9,9,0;1;2;3;4;5;6;7;8,0;775;621;777;932;469;933;1085,0.12787182105388223,0.010466349824730275,0.9547738798290089,47.98400822144761
nd2,8,2,8002,4,9,9,0;1;2;3;4;5;6;7;8,1398;0;776;311;310;930;313;469,0.12961237507423096,-0.020237997911949496,1.0745787681038885,50.44199891996389
nd2,8,3,8003,4,9,9,0;1;2;3;4;5;6;7;8,776;934;1086;621;931;157;469;1085,0.11423518501239986,0.0060656222930594045,1.164505289252648,51.39370180317307
nd2,8,4,8004,4,9,9,0;1;2;3;4;5;6;7;8,1;311;310;621;932;469;465;466,0.12952292482716393,0.028279040172845993,1.0735200873799287,49.898775631359136
nd2,12,0,12000,4,9,9,0;1;2;3;4;5;6;7;8,0;934;775;310;621;777;931;313;314;155;1087;1085,0.12800014066480375,-6.081125910922284e-05,1.1551789118244102,50.06311939504794
nd2,12,1,12001,4,9,9,0;1;2;3;4;5;6;7;8,776;311;310;930;621;467;931;314;157;155;469;779,0.12645874314241765,-0.003496954548114595,1.1484464998017798,51.37594835328047
nd2,12,2,12002,4,9,9,0;1;2;3;4;5;6;7;8,1398;1086;621;777;467;931;314;157;155;469;1087;1085,0.13284849555036804,0.0009711329968300207,1.0895625280189944,49.26435766217858
nd2,12,3,12003,4,9,9,0;1;2;3;4;5;6;7;8,1398;0;776;934;156;621;467;313;932;465;933;1087,0.13009929389227506,0.0019561783427868924,0.9777453104923851,47.020025331986346
nd2,12,4,12004,4,9,9,0;1;2;3;4;5;6;7;8,0;775;1086;310;930;467;931;313;932;157;1087;466,0.13105526469035333,0.01855342229508734,1.0586714631215592,47.409257103426356
nd2,16,0,16000,4,9,9,0;1;2;3;4;5;6;7;8,1;776;934;775;311;310;156;930;158;467;932;157;779;1087;466;1085,0.12830721835232023,0.0160974680796247,1.2288644501789066,54.634324604987206
nd2,16,1,16001,4,9,9,0;1;2;3;4;5;6;7;8,1;0;776;934;775;311;1086;156;777;158;931;313;314;465;466;1085,0.12912684808517935,0.008829935845900775,1.0809416526003792,50.11503930282963
nd2,16,2,16002,4,9,9,0;1;2;3;4;5;6;7;8,0;776;934;775;311;310;156;930;621;158;931;313;779;933;466;1085,0.12814054996725088,0.006392208055353978,1.0819390205852126,48.99864464920221
nd2,16,3,16003,4,9,9,0;1;2;3;4;5;6;7;8,1398;934;775;1086;310;156;930;777;931;313;314;155;469;465;1087;466,0.12940685976566346,-0.02975731320699839,1.1120267670687578,51.3483026959433
nd2,16,4,16004,4,9,9,0;1;2;3;4;5;6;7;8,1;0;775;311;621;158;931;932;314;157;155;469;465;1087;466;1085,0.1282010358643812,0.00267581876038827,1.0481615358304976,48.4147564687209
