n_modes,explained_variance,x0_correlation,psd_similarity,x0_rmse
1,0.3850739198497376,0.5174077308252253,0.8713032735466755,31.647020722532638
2,0.5063372034353739,0.6711166754838691,0.9088753728582847,28.050213916878462
3,0.5735971025106141,0.6812127635006726,0.918073299128141,27.705177214744783
5,0.6935933685443778,0.7211112819750953,0.9335602705368912,26.4625461674237
8,0.8326768479845444,0.772955025440176,0.9570805488506509,25.107293279586575
12,0.9342452899727535,0.9059873102244926,0.9858317004583536,15.92504198157195
16,0.9788599401905606,0.9605623576766792,0.9933907655654871,10.135385906672205
20,0.9947151405204688,0.990483575937363,0.998702532914597,5.099817839424514
24,0.9991372536136295,0.9986988429348242,0.9998570427826047,1.8322607478992001
32,0.9999875667222322,0.9999946439109906,0.9999995915988847,0.11836124615749015
48,0.9999999937831829,0.9999999999484495,0.9999999999978672,0.00037271448377332864
80,1.0,1.0,1.0,3.465393312438459e-14
