n_modes,degree,threshold,explained_variance,nonzero_terms,n_completed,n_test,psd_similarity,x0_correlation,collapse_std_ratio,x0_rmse
12,1,0.0,0.9342452899727535,156,9,9,0.6393009282717401,0.06813321563437322,0.8788847723679486,47.80529212287119
12,1,100.0,0.9342452899727535,142,9,9,0.63841905724485,0.06805692502769319,0.8824662089211912,47.897976464420154
12,1,1000.0,0.9342452899727535,101,9,9,0.6313086261634956,0.06874743862119885,0.922170483086751,48.86456136953676
12,1,10000.0,0.9342452899727535,72,9,9,0.6341799060399975,0.06588269814632937,0.926408015170888,48.9003921347822
12,2,0.0,0.9342452899727535,1092,9,9,0.6236242637809875,0.03643987113990418,0.8623373249541996,48.11428216021395
12,2,100.0,0.9342452899727535,1055,9,9,0.6211087125214295,0.037013411642602786,0.8640544369204409,48.15047220481836
12,2,1000.0,0.9342452899727535,792,9,9,0.6346236478751799,0.03805393526878011,0.9170312393424404,49.66407534244617
12,2,10000.0,0.9342452899727535,158,9,9,0.6201974436852759,0.01441096105346706,0.9025908170615414,49.51452731239628
12,3,0.0,0.9342452899727535,5460,0,9,nan,nan,nan,nan
12,3,100.0,0.9342452899727535,5268,0,9,nan,nan,nan,nan
12,3,1000.0,0.9342452899727535,3669,0,9,nan,nan,nan,nan
12,3,10000.0,0.9342452899727535,460,0,9,nan,nan,nan,nan
