label,lead_s,skill,n_forecasts
delay nd4,0.0,1.0,112
delay nd4,0.004,0.9974350888457197,112
delay nd4,0.008,0.9794078648548842,112
delay nd4,0.012,0.9248692440575496,112
delay nd4,0.016,0.8139413347013984,112
delay nd4,0.02,0.6392963758368737,112
delay nd4,0.024,0.412759475614663,112
delay nd4,0.028,0.16576952696187194,112
delay nd4,0.032,-0.0583141057891454,112
delay nd4,0.036000000000000004,-0.22712311914760408,112
delay nd4,0.04,-0.33992784199412135,112
delay nd4,0.044,-0.41570759839011845,112
delay nd4,0.048,-0.46788310668445926,112
delay nd4,0.052000000000000005,-0.49625890652864546,112
delay nd4,0.056,-0.49667576904427513,112
delay nd4,0.06,-0.4747395568052767,112
delay nd4,0.064,-0.44943690558173355,112
delay nd4,0.068,-0.44064022803493436,112
delay nd4,0.07200000000000001,-0.4515616929844581,112
delay nd4,0.076,-0.47001285835908807,112
delay nd4,0.08,-0.48617878766482353,112
delay nd4,0.084,-0.5014268054290306,112
delay nd4,0.088,-0.5190579476015632,112
delay nd4,0.092,-0.5272312938946895,112
delay nd4,0.096,-0.50171826432638,112
delay nd4,0.1,-0.43334240228211085,112
delay nd4,0.10400000000000001,-0.3373521018626537,112
delay nd4,0.108,-0.23545919942618593,112
delay nd4,0.112,-0.14319646152586862,112
delay nd4,0.116,-0.06731245987349092,112
delay nd4,0.12,-0.0069240399665084435,112
delay nd4,0.124,0.041524185194617744,112
delay nd4,0.128,0.08037691728377275,112
delay nd4,0.132,0.11099075495825471,112
delay nd4,0.136,0.13352172430099787,112
delay nd4,0.14,0.14650910771307063,112
delay nd4,0.14400000000000002,0.15253833947085849,112
delay nd4,0.148,0.1616929396254408,112
delay nd4,0.152,0.18414012855510398,112
delay nd4,0.156,0.21917752895269846,112
delay nd4,0.16,0.24993435402340874,112
delay nd4,0.164,0.25283336300511655,112
delay nd4,0.168,0.21782491964819564,112
delay nd4,0.17200000000000001,0.15768915466087607,112
delay nd4,0.176,0.0959456353558559,112
delay nd4,0.18,0.05376090951718794,112
delay nd4,0.184,0.0441135831952918,112
delay nd4,0.188,0.0628571458800092,112
delay nd4,0.192,0.08887715611234125,112
delay nd4,0.196,0.10197178717198993,112
delay nd4,0.2,0.09339535340313275,112
delay nd4,0.20400000000000001,0.06512539235148487,112
delay nd4,0.20800000000000002,0.029236417582728692,112
delay nd4,0.212,-0.0007578671882413861,112
delay nd4,0.216,-0.023871269986251976,112
delay nd4,0.22,-0.04805405763842787,112
delay nd4,0.224,-0.07541569966364067,112
delay nd4,0.228,-0.09762096009271015,112
delay nd4,0.232,-0.10620887207006895,112
delay nd4,0.23600000000000002,-0.10367109042454546,112
delay nd4,0.24,-0.10112950479337322,112
delay nd4,0.244,-0.10648769970715166,112
delay nd4,0.248,-0.11623519890860261,112
delay nd4,0.252,-0.11985648631357224,112
delay nd4,0.256,-0.11373780900408582,112
delay nd4,0.26,-0.10874456684604865,112
delay nd4,0.264,-0.11741098314288838,112
delay nd4,0.268,-0.13848668271601763,112
delay nd4,0.272,-0.15888804344286517,112
delay nd4,0.276,-0.1658468299865655,112
delay nd4,0.28,-0.15847077333778453,112
delay nd4,0.28400000000000003,-0.14659161540351928,112
delay nd4,0.28800000000000003,-0.13264615474048982,112
delay nd4,0.292,-0.10337520551211994,112
delay nd4,0.296,-0.05123469864647975,112
delay nd4,0.3,0.007575312347995838,112
delay nd4,0.304,0.04430123171275254,112
delay nd4,0.308,0.03906258595767083,112
delay nd4,0.312,-0.00495711080646582,112
delay nd4,0.316,-0.062150174533683995,112
delay nd4,0.32,-0.10114355493238777,112
delay nd4,0.324,-0.10706672578660703,112
delay nd4,0.328,-0.08506011511179096,112
delay nd4,0.332,-0.04810851029091287,112
delay nd4,0.336,-0.008824145013144087,112
delay nd4,0.34,0.02355250056193054,112
delay nd4,0.34400000000000003,0.04357260182691311,112
delay nd4,0.34800000000000003,0.048602684113375226,112
delay nd4,0.352,0.03951023014735182,112
delay nd4,0.356,0.022020858012268413,112
delay nd4,0.36,0.0060802082533351525,112
delay nd4,0.364,0.0023822815834432056,112
delay nd4,0.368,0.011669331483324651,112
delay nd4,0.372,0.017478361464497473,112
delay nd4,0.376,0.004380497324495378,112
delay nd4,0.38,-0.019718845459505138,112
delay nd4,0.384,-0.03297824874516911,112
delay nd4,0.388,-0.02181197494465834,112
delay nd4,0.392,0.013200043415854786,112
delay nd4,0.396,0.06484820779926055,112
delay nd4,0.4,0.12197698275319412,112
delay nd4,0.404,0.1637382276125408,112
delay nd4,0.40800000000000003,0.1667973817301027,112
delay nd4,0.41200000000000003,0.1261442117235763,112
delay nd4,0.41600000000000004,0.06232133898172843,112
delay nd4,0.42,0.009715342703516162,112
delay nd4,0.424,-0.004709773346150503,112
delay nd4,0.428,0.019974428006262118,112
delay nd4,0.432,0.061455591329672175,112
delay nd4,0.436,0.09443827827186049,112
delay nd4,0.44,0.1054832457029592,112
delay nd4,0.444,0.0979286150527171,112
delay nd4,0.448,0.08851566251183884,112
delay nd4,0.452,0.0924471172300372,112
delay nd4,0.456,0.10848310913299136,112
delay nd4,0.46,0.12115581483732209,112
delay nd4,0.464,0.11538162386131828,112
delay nd4,0.468,0.09050381887290072,112
delay nd4,0.47200000000000003,0.06397479144800584,112
delay nd4,0.47600000000000003,0.056680986804961274,112
delay nd4,0.48,0.06891582522533442,112
delay nd4,0.484,0.07543620167845985,112
delay nd4,0.488,0.05022840174923901,112
delay nd4,0.492,-0.007895106813473112,112
delay nd4,0.496,-0.07563475778313716,112
delay nd4,0.5,-0.12687100891983108,112
delay nd4,0.504,-0.15324637590238807,112
delay nd4,0.508,-0.16283988213346567,112
delay nd4,0.512,-0.16286221102955575,112
delay nd4,0.516,-0.15201852812866232,112
delay nd4,0.52,-0.12713089153702622,112
delay nd4,0.524,-0.08986762310881478,112
delay nd4,0.528,-0.04696291728054893,112
delay nd4,0.532,-0.011255730484792233,112
delay nd4,0.536,0.00072080033114582,112
delay nd4,0.54,-0.021141660237765363,112
delay nd4,0.544,-0.07424864875704189,112
delay nd4,0.548,-0.1381682177322682,112
delay nd4,0.552,-0.17542524525457381,112
delay nd4,0.556,-0.1563111696198882,112
delay nd4,0.56,-0.0901107676987203,112
delay nd4,0.5640000000000001,-0.0154434610004262,112
delay nd4,0.5680000000000001,0.03985865997618841,112
delay nd4,0.5720000000000001,0.07812134656683345,112
delay nd4,0.5760000000000001,0.11681296407180097,112
delay nd4,0.58,0.16341015652126237,112
delay nd4,0.584,0.2052970875670477,112
delay nd4,0.588,0.22271436627576077,112
delay nd4,0.592,0.20577365406050835,112
delay nd4,0.596,0.16333626532084936,112
delay nd4,0.6,0.12216820872772503,112
delay nd4,0.604,0.10875518656721406,112
delay nd4,0.608,0.12701784862449778,112
delay nd4,0.612,0.15930057012444915,112
delay nd4,0.616,0.186331254370875,112
delay nd4,0.62,0.1976236028158904,112
delay nd4,0.624,0.18779045590595678,112
delay nd4,0.628,0.15319468323584473,112
delay nd4,0.632,0.09600682733451524,112
delay nd4,0.636,0.034217850393791195,112
delay nd4,0.64,-0.0013739823092447443,112
delay nd4,0.644,-0.002510255700807815,112
delay nd4,0.648,0.006829030906893916,112
delay nd4,0.652,0.00757983735352461,112
delay nd4,0.656,-0.00166911623385788,112
delay nd4,0.66,-0.021293109880972112,112
delay nd4,0.664,-0.06074175645342353,112
delay nd4,0.668,-0.12464155309895342,112
delay nd4,0.672,-0.19640851922887542,112
delay nd4,0.676,-0.24885626824766374,112
delay nd4,0.68,-0.2716346186186062,112
delay nd4,0.684,-0.27855465107561395,112
delay nd4,0.6880000000000001,-0.28610079240110087,112
delay nd4,0.6920000000000001,-0.29380039746993974,112
delay nd4,0.6960000000000001,-0.2893287432277565,112
delay nd4,0.7000000000000001,-0.26434715302337103,112
delay nd4,0.704,-0.22199238574138527,112
delay nd4,0.708,-0.17577227416819144,112
delay nd4,0.712,-0.14297263661642964,112
delay nd4,0.716,-0.1334314792072197,112
delay nd4,0.72,-0.14066324495939203,112
delay nd4,0.724,-0.14883339944113622,112
delay nd4,0.728,-0.14963174831121417,112
delay nd4,0.732,-0.14493689901880374,112
delay nd4,0.736,-0.13521465400961374,112
delay nd4,0.74,-0.11429252260288564,112
delay nd4,0.744,-0.07767680717585013,112
delay nd4,0.748,-0.028743606560176334,112
delay nd4,0.752,0.02845255406953245,112
delay nd4,0.756,0.09131798575924323,112
delay nd4,0.76,0.15183906415010015,112
delay nd4,0.764,0.19655387939260555,112
delay nd4,0.768,0.21500275215590825,112
delay nd4,0.772,0.20857243857525434,112
delay nd4,0.776,0.18754048810491775,112
delay nd4,0.78,0.15841739389988932,112
delay nd4,0.784,0.12390352330354214,112
delay nd4,0.788,0.09437044677246177,112
delay nd4,0.792,0.08370823502168874,112
delay nd4,0.796,0.0925160741288822,112
delay nd4,0.8,0.10773704947707234,112
delay nd4,0.804,0.11479663861482968,112
delay nd4,0.808,0.10624583762422639,112
delay nd4,0.812,0.08213125874813902,112
delay nd4,0.8160000000000001,0.043653061632833765,112
delay nd4,0.8200000000000001,-0.008487481190658383,112
delay nd4,0.8240000000000001,-0.06779703984225272,112
delay nd4,0.8280000000000001,-0.11991365689620924,112
delay nd4,0.8320000000000001,-0.15243670972917447,112
delay nd4,0.836,-0.16307144483971237,112
delay nd4,0.84,-0.15572742458758496,112
delay nd4,0.844,-0.13523214382301071,112
delay nd4,0.848,-0.10580132734991682,112
delay nd4,0.852,-0.0711673510999557,112
delay nd4,0.856,-0.0367821870630277,112
delay nd4,0.86,-0.012653728898698606,112
delay nd4,0.864,-0.010534177740952453,112
delay nd4,0.868,-0.035495699482271166,112
delay nd4,0.872,-0.0798541860060329,112
delay nd4,0.876,-0.12402802023434968,112
delay nd4,0.88,-0.14504640253797907,112
delay nd4,0.884,-0.12901058727675943,112
delay nd4,0.888,-0.08231038089479106,112
delay nd4,0.892,-0.0326522774486882,112
delay nd4,0.896,-0.00826771578025942,112
delay nd4,0.9,-0.013037487894668945,112
delay nd4,0.904,-0.026565924548449464,112
delay nd4,0.908,-0.030274744585414154,112
delay nd4,0.912,-0.027180910549523974,112
delay nd4,0.916,-0.0282223255308904,112
delay nd4,0.92,-0.03107005882791368,112
delay nd4,0.924,-0.023678295440731394,112
delay nd4,0.928,-0.0005004030057207514,112
delay nd4,0.932,0.03226850754079575,112
delay nd4,0.936,0.06512210648270707,112
delay nd4,0.9400000000000001,0.09179324821609505,112
delay nd4,0.9440000000000001,0.1090360857214197,112
delay nd4,0.9480000000000001,0.11726454061965062,112
delay nd4,0.9520000000000001,0.1206818105289825,112
delay nd4,0.9560000000000001,0.12250717731460382,112
delay nd4,0.96,0.11983633881785889,112
delay nd4,0.964,0.10485429289592164,112
delay nd4,0.968,0.07280242521476021,112
delay nd4,0.972,0.03151863012034562,112
delay nd4,0.976,0.002527207600535793,112
delay nd4,0.98,0.0018470222246049594,112
delay nd4,0.984,0.017962027512857155,112
delay nd4,0.988,0.022645082330463966,112
delay nd4,0.992,-3.0404861467540773e-06,112
delay nd4,0.996,-0.04311825485718229,112
delay nd4,1.0,-0.08773276551771944,112
delay nd4,1.004,-0.11882595787259646,112
delay nd4,1.008,-0.13293861692251258,112
delay nd4,1.012,-0.13528673009832504,112
delay nd4,1.016,-0.1325396692605626,112
delay nd4,1.02,-0.12654123555284985,112
delay nd4,1.024,-0.112304939428738,112
delay nd4,1.028,-0.08368196051180594,112
delay nd4,1.032,-0.04542081209567384,112
delay nd4,1.036,-0.014505044892956571,112
delay nd4,1.04,-0.002305022730055421,112
delay nd4,1.044,-0.0029521860417967755,112
delay nd4,1.048,0.002862809344532706,112
delay nd4,1.052,0.034965302995326984,112
delay nd4,1.056,0.09516856120794827,112
delay nd4,1.06,0.15921904125050806,112
delay nd4,1.064,0.19353728452228103,112
delay nd4,1.068,0.18334418083693188,112
delay nd4,1.072,0.1450609714257511,112
delay nd4,1.076,0.11040378593962216,112
delay nd4,1.08,0.10003696799767205,112
delay nd4,1.084,0.1113393565533395,112
delay nd4,1.088,0.1238988974348216,112
delay nd4,1.092,0.11874381140960644,112
delay nd4,1.096,0.1003744515948048,112
delay nd4,1.1,0.0921648428740588,112
delay nd4,1.104,0.10157948980917239,112
delay nd4,1.108,0.10842600832189146,112
delay nd4,1.112,0.0904422746160176,112
delay nd4,1.116,0.047969634224023915,112
delay nd4,1.12,0.0014911845921240301,112
delay nd4,1.124,-0.03171510631675692,112
delay nd4,1.1280000000000001,-0.05328879861085702,112
delay nd4,1.1320000000000001,-0.07674055865087413,112
delay nd4,1.1360000000000001,-0.10920457863151438,112
delay nd4,1.1400000000000001,-0.13764875458655274,112
delay nd4,1.1440000000000001,-0.13847605672364474,112
delay nd4,1.1480000000000001,-0.10273486323093414,112
delay nd4,1.1520000000000001,-0.043875190147980095,112
delay nd4,1.156,0.009961091752472355,112
delay nd4,1.16,0.030818421600656724,112
delay nd4,1.164,0.009291432392357492,112
delay nd4,1.168,-0.04112894591400539,112
delay nd4,1.172,-0.09981877065591244,112
delay nd4,1.176,-0.15267870421434446,112
delay nd4,1.18,-0.19097205270078466,112
delay nd4,1.184,-0.2072863112635831,112
delay nd4,1.188,-0.19932544452976989,112
delay nd4,1.192,-0.17529699452450168,112
delay nd4,1.196,-0.14629594227590978,112
delay nd4,1.2,-0.11520508392804288,112
delay nd4,1.204,-0.08013840984534162,112
delay nd4,1.208,-0.04692444610264242,112
delay nd4,1.212,-0.030087896742615784,112
delay nd4,1.216,-0.03615430241997036,112
delay nd4,1.22,-0.05142297872893872,112
delay nd4,1.224,-0.049704014263873844,112
delay nd4,1.228,-0.014260747459060683,112
delay nd4,1.232,0.04432529213890136,112
delay nd4,1.236,0.09522745547372675,112
delay nd4,1.24,0.11353207108292028,112
delay nd4,1.244,0.09858276327514506,112
delay nd4,1.248,0.06839571319483313,112
delay nd4,1.252,0.042064111066939205,112
delay nd4,1.256,0.031393352837690736,112
delay nd4,1.26,0.041197989387952334,112
delay nd4,1.264,0.06869844972943097,112
delay nd4,1.268,0.10168272435552973,112
delay nd4,1.272,0.12261382250362267,112
delay nd4,1.276,0.11886106756277835,112
delay nd4,1.28,0.0898167818636736,112
delay nd4,1.284,0.04270833515312313,112
delay nd4,1.288,-0.01696057407144609,112
delay nd4,1.292,-0.08127122485608321,112
delay nd4,1.296,-0.13550205467880255,112
delay nd4,1.3,-0.17037736456979088,112
delay nd4,1.304,-0.1866519891364133,112
delay nd4,1.308,-0.19048992414370128,112
delay nd4,1.312,-0.19000712116573878,112
delay nd4,1.316,-0.19016195295813948,112
delay nd4,1.32,-0.18778228689147586,112
delay nd4,1.324,-0.17516862484444423,112
delay nd4,1.328,-0.1512095271965041,112
delay nd4,1.332,-0.12724588127720685,112
delay nd4,1.336,-0.11778282570617488,112
delay nd4,1.34,-0.12459235783593632,112
delay nd4,1.344,-0.1353426663279843,112
delay nd4,1.348,-0.13655347230796863,112
delay nd4,1.352,-0.12509798625093355,112
delay nd4,1.356,-0.10921704784535306,112
delay nd4,1.36,-0.09713157999173473,112
delay nd4,1.364,-0.08720850590681423,112
delay nd4,1.368,-0.07442882303791296,112
delay nd4,1.372,-0.05843351333949221,112
delay nd4,1.3760000000000001,-0.03981985144488453,112
delay nd4,1.3800000000000001,-0.017187132038699145,112
delay nd4,1.3840000000000001,0.010400956572442088,112
delay nd4,1.3880000000000001,0.04142470805054569,112
delay nd4,1.3920000000000001,0.07093107140847697,112
delay nd4,1.3960000000000001,0.09005727393446579,112
delay nd4,1.4000000000000001,0.08986230172626297,112
delay nd4,1.4040000000000001,0.06919445669377176,112
delay nd4,1.408,0.03644158237468316,112
delay nd4,1.412,0.002730853723461973,112
delay nd4,1.416,-0.021390286950022444,112
delay nd4,1.42,-0.024628775595253477,112
delay nd4,1.424,0.0020401962175285743,112
delay nd4,1.428,0.05583888527279663,112
delay nd4,1.432,0.11635281587073111,112
delay nd4,1.436,0.1568681500365668,112
delay nd4,1.44,0.16751527261380417,112
delay nd4,1.444,0.16250940314551837,112
delay nd4,1.448,0.1595781926842375,112
delay nd4,1.452,0.1619414675042079,112
delay nd4,1.456,0.16160178324485971,112
delay nd4,1.46,0.15032940986850532,112
delay nd4,1.464,0.12577298009492494,112
delay nd4,1.468,0.09262546071292185,112
delay nd4,1.472,0.06210913676805748,112
delay nd4,1.476,0.045995121639921,112
delay nd4,1.48,0.0441983514401669,112
delay nd4,1.484,0.042246196472833564,112
delay nd4,1.488,0.02755253545184919,112
delay nd4,1.492,0.001957847563009197,112
delay nd4,1.496,-0.023406424048302347,112
delay nd4,1.5,-0.0385841325941899,112
delay nd4,1.504,-0.038338693490376136,112
delay nd4,1.508,-0.020250527974422405,112
delay nd4,1.512,0.013253799505348758,112
delay nd4,1.516,0.04904343640537872,112
delay nd4,1.52,0.06663636905361102,112
delay nd4,1.524,0.051668375273280734,112
delay nd4,1.528,0.00584412834030677,112
delay nd4,1.532,-0.0540569028837837,112
delay nd4,1.536,-0.10705661455322664,112
delay nd4,1.54,-0.13707677405014343,112
delay nd4,1.544,-0.13507774686345567,112
delay nd4,1.548,-0.10658960890550918,112
delay nd4,1.552,-0.07697606276256345,112
delay nd4,1.556,-0.06988101306449675,112
delay nd4,1.56,-0.08393314038046348,112
delay nd4,1.564,-0.1021176620451066,112
delay nd4,1.568,-0.11108720268597745,112
delay nd4,1.572,-0.1057475986665704,112
delay nd4,1.576,-0.08576773773267508,112
delay nd4,1.58,-0.05536373756248074,112
delay nd4,1.584,-0.02406518541188194,112
delay nd4,1.588,-0.004052987981656893,112
delay nd4,1.592,-0.006333887307538816,112
delay nd4,1.596,-0.03238612984244041,112
delay nd4,1.6,-0.06458789950705097,112
delay nd4,1.604,-0.07391568592030433,112
delay nd4,1.608,-0.04453980730511328,112
delay nd4,1.612,0.013797915170626437,112
delay nd4,1.616,0.0796130641350888,112
delay nd4,1.62,0.1356788984912108,112
delay nd4,1.624,0.17046639283011344,112
delay nd4,1.6280000000000001,0.17563676705463174,112
delay nd4,1.6320000000000001,0.149396604489354,112
delay nd4,1.6360000000000001,0.10104745610391833,112
delay nd4,1.6400000000000001,0.05007240058338833,112
delay nd4,1.6440000000000001,0.01424879103100903,112
delay nd4,1.6480000000000001,-0.0037498574918319667,112
delay nd4,1.6520000000000001,-0.010988821109640225,112
delay nd4,1.6560000000000001,-0.011767127045566565,112
delay nd4,1.6600000000000001,-0.0063369617302149375,112
delay nd4,1.6640000000000001,0.0009042604752732636,112
delay nd4,1.668,6.72177254759891e-05,112
delay nd4,1.672,-0.014966067921204688,112
delay nd4,1.676,-0.03970916863160067,112
delay nd4,1.68,-0.06304204229306869,112
delay nd4,1.684,-0.07542155667781515,112
delay nd4,1.688,-0.07169088162215621,112
