configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
126,4,failed,integration error: simulation exceeded 1800 wall-clock seconds,13.988,2.6183253721103568,1800.0004432369024,11442,0,,0,,
126,1088,failed,integration error: simulation exceeded 1800 wall-clock seconds,14.1,5.387372653330739,1800.0007063765079,11356,0,,0,,
126,622,failed,integration error: simulation exceeded 1800 wall-clock seconds,14.096,3.8977061867881897,1800.000588355586,11496,0,,0,,
126,620,failed,integration error: simulation exceeded 1800 wall-clock seconds,14.096,3.650239587204582,1800.000531932339,11484,0,,0,,
