lead_s,skill,persistence,amplitude_ratio,growth_factor
0.512,-0.167922,-0.110269,11073.2,16758.5
0.516,-0.152685,-0.106079,11840.4,17983.5
0.52,-0.141034,-0.102029,12725.7,19323.5
0.524,-0.138964,-0.100022,13795.6,20765.5
0.528,-0.146214,-0.0985092,15114.8,22317.6
0.532,-0.156269,-0.0937679,16633,23988.6
0.536,-0.160148,-0.0832814,18198.9,25787.9
0.54,-0.152317,-0.0684094,19710,27725.7
0.544,-0.134083,-0.0536833,21235.6,29812.8
0.548,-0.111507,-0.0437326,22949.9,32061.1
0.552,-0.0913666,-0.0411345,24938.1,34483.5
0.556,-0.0791939,-0.0459508,27070.8,37139.2
0.56,-0.0785539,-0.0562403,29140,39987.5
0.564,-0.0898955,-0.069393,31146.4,43025.8
0.568,-0.110247,-0.0831688,33313.9,46297.2
0.572,-0.134501,-0.095316,35817.4,49819.7
0.576,-0.157325,-0.103115,38594.6,53612.8
0.58,-0.175211,-0.104399,41430.1,57697.5
0.584,-0.188098,-0.0992385,44263.2,62096.6
0.588,-0.198252,-0.0900791,47303.7,66834.6
0.592,-0.206587,-0.080073,50722.2,71937.7
0.596,-0.211232,-0.0716163,54446.4,77434.7
0.6,-0.210644,-0.066071,58420.8,83356.1
0.604,-0.206615,-0.0643244,62769.4,89688
0.608,-0.203368,-0.0676337,67520.3,96416.9
0.612,-0.204701,-0.0776072,72459,103726
0.616,-0.211442,-0.0946851,77372,111698
0.62,-0.220898,-0.116698,82376.8,120283
0.624,-0.228935,-0.139279,87951.3,129531
0.628,-0.232433,-0.157323,94501.3,139611
0.632,-0.23066,-0.166434,102023,150488
0.636,-0.225532,-0.164586,110367,162217
0.64,-0.219604,-0.152766,119575,174865
0.644,-0.212879,-0.133799,129612,188504
0.648,-0.202939,-0.11207,140109,203211
0.652,-0.189429,-0.094499,150947,219068
0.656,-0.176966,-0.0886325,162612,236164
0.66,-0.172171,-0.0975961,175130,254596
0.664,-0.178772,-0.116822,187312,274467
0.668,-0.1956,-0.136704,198312,295889
0.672,-0.218003,-0.149709,209313,318980
0.676,-0.240306,-0.154006,222490,343573
0.68,-0.257198,-0.151412,239060,369944
0.684,-0.2648,-0.144733,258813,398364
0.688,-0.262336,-0.136936,281204,428992
0.692,-0.25287,-0.130773,306814,462086
0.696,-0.241599,-0.127914,337244,498294
0.7,-0.233218,-0.128323,372942,537337
0.704,-0.230311,-0.130374,411129,579430
0.708,-0.232498,-0.131929,446574,624810
0.712,-0.236736,-0.132353,476011,673727
0.716,-0.240021,-0.133735,502413,726452
0.72,-0.241913,-0.139398,533908,783277
0.724,-0.244157,-0.1513,578834,844516
0.728,-0.249001,-0.168766,641691,910507
0.732,-0.2572,-0.187964,719224,981611
0.736,-0.265814,-0.201595,796541,1.05795e+06
0.74,-0.269821,-0.202418,855422,1.1401e+06
0.744,-0.268337,-0.190361,896944,1.22859e+06
0.748,-0.264401,-0.171506,941203,1.32395e+06
0.752,-0.258658,-0.150956,1.00309e+06,1.42667e+06
0.756,-0.24849,-0.131461,1.08177e+06,1.53725e+06
0.76,-0.232892,-0.116191,1.16787e+06,1.65635e+06
0.764,-0.216228,-0.109526,1.25597e+06,1.78463e+06
0.768,-0.205861,-0.114711,1.35008e+06,1.92278e+06
0.772,-0.206769,-0.13167,1.45889e+06,2.07159e+06
0.776,-0.219001,-0.156877,1.58907e+06,2.23187e+06
0.78,-0.238396,-0.184402,1.74107e+06,2.40452e+06
0.784,-0.258333,-0.20725,1.90706e+06,2.59049e+06
0.788,-0.271952,-0.21937,2.07367e+06,2.79084e+06
0.792,-0.275403,-0.218738,2.23423e+06,3.00666e+06
0.796,-0.270063,-0.209102,2.39844e+06,3.23918e+06
0.8,-0.261128,-0.197778,2.58001e+06,3.4897e+06
0.804,-0.254652,-0.19207,2.77866e+06,3.75961e+06
0.808,-0.254783,-0.196513,2.98309e+06,4.05044e+06
0.812,-0.260901,-0.210369,3.18494e+06,4.36381e+06
0.816,-0.267141,-0.226895,3.3833e+06,4.7015e+06
0.82,-0.266446,-0.236629,3.58514e+06,5.0654e+06
0.824,-0.255666,-0.232727,3.80158e+06,5.45756e+06
0.828,-0.237308,-0.214414,4.03977e+06,5.88019e+06
0.832,-0.218306,-0.187754,4.31962e+06,6.33568e+06
0.836,-0.205908,-0.162364,4.69456e+06,6.82658e+06
0.84,-0.202212,-0.145363,5.20621e+06,7.35566e+06
0.844,-0.202572,-0.138553,5.79326e+06,7.92591e+06
0.848,-0.201343,-0.139982,6.30784e+06,8.54053e+06
0.852,-0.201048,-0.147598,6.72475e+06,9.20299e+06
0.856,-0.209993,-0.160669,7.19278e+06,9.91708e+06
0.86,-0.231313,-0.177281,7.8215e+06,1.06888e+07
0.864,-0.258013,-0.192064,8.56336e+06,1.15204e+07
0.868,-0.277159,-0.197944,9.29901e+06,1.24164e+07
0.872,-0.280123,-0.191156,1.00002e+07,1.33817e+07
0.876,-0.266977,-0.173146,1.07352e+07,1.44219e+07
0.88,-0.242973,-0.149488,1.15661e+07,1.55425e+07
0.884,-0.215328,-0.128912,1.25237e+07,1.67498e+07
0.888,-0.191105,-0.120297,1.36077e+07,1.8049e+07
0.892,-0.175007,-0.127967,1.47388e+07,1.94451e+07
0.896,-0.168034,-0.148935,1.57651e+07,2.09487e+07
0.9,-0.167947,-0.174989,1.66151e+07,2.25681e+07
0.904,-0.171415,-0.198549,1.73926e+07,2.43124e+07
0.908,-0.175802,-0.216077,1.82542e+07,2.61966e+07
0.912,-0.179843,-0.227607,1.9306e+07,2.82304e+07
0.916,-0.183799,-0.235461,2.06478e+07,3.04218e+07
0.92,-0.188715,-0.242263,2.23872e+07,3.27828e+07
0.924,-0.194978,-0.248555,2.45424e+07,3.53266e+07
0.928,-0.201361,-0.252353,2.69784e+07,3.80671e+07
0.932,-0.205556,-0.251411,2.95051e+07,4.10197e+07
0.936,-0.206186,-0.245911,3.20734e+07,4.41993e+07
0.94,-0.204104,-0.238342,3.48359e+07,4.76174e+07
0.944,-0.200723,-0.230319,3.7892e+07,5.12989e+07
0.948,-0.19574,-0.220635,4.10146e+07,5.52641e+07
0.952,-0.188062,-0.207727,4.38653e+07,5.95349e+07
0.956,-0.178222,-0.192749,4.64777e+07,6.41348e+07
0.96,-0.168156,-0.178446,4.92908e+07,6.90891e+07
0.964,-0.159352,-0.166237,5.28177e+07,7.44253e+07
0.968,-0.151903,-0.155176,5.73617e+07,8.01726e+07
0.972,-0.144984,-0.143439,6.28504e+07,8.63629e+07
0.976,-0.138478,-0.131639,6.89712e+07,9.30302e+07
0.98,-0.133647,-0.12451,7.56058e+07,1.00211e+08
0.984,-0.131177,-0.127809,8.2776e+07,1.07946e+08
0.988,-0.129493,-0.143511,9.00721e+07,1.16277e+08
0.992,-0.126199,-0.167784,9.65667e+07,1.2525e+08
0.996,-0.120456,-0.192666,1.01268e+08,1.34915e+08
1,-0.113562,-0.211015,1.04135e+08,1.45325e+08
