time_s,corr_median,corr_q25,corr_q75,amp_median,conc_sim_median,conc_measured_median
9.55,-0.06873,-0.09781,0.04075,1.236,0.6023,0.257
9.65,0.001249,-0.1236,0.09381,1.113,0.604,0.2601
9.75,-0.005738,-0.06721,0.1512,1.198,0.6034,0.3233
9.85,0.08544,-0.08923,0.1911,1.341,0.5996,0.2661
9.95,0.007861,-0.07238,0.07246,1.049,0.5965,0.2871
10.05,0.01485,-0.07282,0.07178,1.237,0.5954,0.2275
10.15,-0.07148,-0.104,0.05073,1.383,0.5963,0.2856
10.25,-0.1074,-0.1685,-0.005671,1.423,0.5958,0.3234
10.35,0.0402,-0.1164,0.05731,1.413,0.5946,0.3396
10.45,-0.01004,-0.1181,0.1009,1.499,0.5954,0.3073
10.55,-0.06822,-0.1599,0.06868,1.737,0.5954,0.1968
10.65,0.07573,-0.1226,0.111,1.628,0.5906,0.2432
10.75,0.02933,-0.03513,0.1302,1.515,0.5933,0.2464
10.85,0.0408,-0.05148,0.08705,1.485,0.5976,0.2659
10.95,0.136,0.07936,0.2335,1.6,0.5919,0.2945
11.05,0.2093,0.1742,0.2664,1.367,0.5935,0.2853
11.15,0.113,0.01687,0.1649,1.087,0.6016,0.3145
11.25,0.08021,0.04076,0.15,1.083,0.5937,0.4138
11.35,0.1196,0.0931,0.2415,1.199,0.5947,0.2992
11.45,0.05472,-0.0478,0.2172,1.632,0.5972,0.2702
11.55,0.06525,-0.06265,0.1668,1.747,0.5871,0.244
11.65,0.1168,-0.09669,0.2125,1.907,0.5892,0.2758
11.75,0.04664,-0.03194,0.07429,1.751,0.5941,0.2703
11.85,0.01435,-0.08399,0.2012,1.786,0.5856,0.2468
11.95,-0.02548,-0.1861,0.04637,1.32,0.5933,0.2286
12.05,-0.007622,-0.08603,0.146,1.357,0.5946,0.2577
12.15,-0.07101,-0.1536,0.1335,1.257,0.59,0.277
12.25,0.03893,-0.2127,0.2221,1.282,0.5916,0.2899
12.35,-0.07654,-0.1083,0.1296,1.158,0.5952,0.2558
12.45,-0.0645,-0.147,0.0695,1.245,0.591,0.3262
12.55,-0.06528,-0.1335,-0.04718,1.323,0.5951,0.2867
12.65,-0.1012,-0.1272,0.1158,1.334,0.5966,0.3539
12.75,-0.05108,-0.1707,0.04947,1.405,0.5938,0.3021
12.85,-0.03308,-0.1705,0.0924,1.597,0.5992,0.304
12.95,0.0635,-0.111,0.1277,1.761,0.5999,0.2668
13.05,-0.02066,-0.1807,0.1265,2.074,0.5909,0.2994
13.15,-0.08832,-0.1702,-0.005514,2.246,0.5962,0.3018
13.25,-0.2037,-0.238,-0.05811,1.985,0.5997,0.2355
13.35,0.02944,-0.04957,0.08061,1.863,0.5926,0.2919
13.45,0.008347,-0.05318,0.04954,1.946,0.596,0.3487
13.55,-0.08057,-0.129,0.02528,1.674,0.5906,0.3169
13.65,-0.04343,-0.1738,0.1296,1.727,0.5966,0.4156
13.75,-0.06182,-0.111,0.0423,1.745,0.6008,0.3138
