configuration_index,lowpass_hz,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
36,35.0,1,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,62,72,86.11111111111111,0.5361315533518791,9,9,0,1.0,True,,True
37,35.0,2,2,1,4.0,4.0,0,0.0,finite_difference,12,12,100.0,0.6828182870522141,9,9,0,1.0,True,,True
38,35.0,2,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.1352625386789441,9,9,0,1.0,True,,True
39,35.0,2,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.1269508535042405,9,9,0,1.0,True,,True
40,35.0,2,2,2,8.0,8.0,0,0.0,finite_difference,12,12,100.0,0.11285596527159214,9,9,0,1.0,True,,True
41,35.0,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.12243158463388681,9,9,0,1.0,True,,True
42,35.0,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.12716213893145323,9,9,0,1.0,True,,True
43,35.0,2,2,5,20.0,20.0,0,0.0,finite_difference,11,12,91.66666666666667,0.12470725830644369,9,9,0,1.0,True,,True
44,35.0,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,11,12,91.66666666666667,0.13190301414579153,9,9,0,1.0,True,,True
45,35.0,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.1221090778708458,9,9,0,1.0,True,,True
46,35.0,2,4,1,4.0,12.0,0,0.0,finite_difference,57,60,95.0,0.49758083559572697,9,9,0,1.0,True,,True
47,35.0,2,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,58,60,96.66666666666667,0.48536232858896255,9,9,0,1.0,True,,True
48,35.0,2,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,57,60,95.0,0.5632730973884463,9,9,0,1.0,True,,True
49,35.0,2,4,2,8.0,24.0,0,0.0,finite_difference,56,60,93.33333333333333,0.4707017783075571,9,9,0,1.0,True,,True
50,35.0,2,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,56,60,93.33333333333333,0.4821317670866847,9,9,0,1.0,True,,True
51,35.0,2,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,57,60,95.0,0.48510515317320824,9,9,0,1.0,True,,True
52,35.0,2,4,5,20.0,60.0,0,0.0,finite_difference,59,60,98.33333333333333,0.48403925634920597,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
53,35.0,2,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,59,60,98.33333333333333,0.4974130569025874,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
54,35.0,2,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,57,60,95.0,0.48895833268761635,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
55,35.0,2,6,1,4.0,20.0,0,0.0,finite_difference,158,168,94.04761904761905,1.5458811009302735,9,9,0,1.0,True,,True
56,35.0,2,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,159,168,94.64285714285714,1.4970513824373484,9,9,0,1.0,True,,True
57,35.0,2,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,157,168,93.45238095238095,1.652912720106542,9,0,9,0.0,False,integration error: model derivative became non-finite,True
58,35.0,2,6,2,8.0,40.0,0,0.0,finite_difference,162,168,96.42857142857143,1.384268019348383,9,9,0,1.0,True,,True
59,35.0,2,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,163,168,97.02380952380952,1.378008609637618,9,0,9,0.0,False,integration error: model derivative became non-finite,True
60,35.0,2,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,159,168,94.64285714285714,1.3210801910609007,9,9,0,1.0,True,,True
61,35.0,2,6,5,20.0,100.0,0,0.0,finite_difference,161,168,95.83333333333333,1.3256585635244846,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
62,35.0,2,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,159,168,94.64285714285714,1.3514801310375333,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
63,35.0,2,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,163,168,97.02380952380952,1.3183915885165334,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
64,35.0,2,8,1,4.0,28.0,0,0.0,finite_difference,335,360,93.05555555555556,3.9746783431619406,9,0,9,0.0,False,integration error: model derivative became non-finite,True
65,35.0,2,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,335,360,93.05555555555556,4.089090331457555,9,0,9,0.0,False,integration error: model derivative became non-finite,True
66,35.0,2,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,328,360,91.11111111111111,3.417793033644557,9,0,9,0.0,False,integration error: model derivative became non-finite,True
67,35.0,2,8,2,8.0,56.0,0,0.0,finite_difference,328,360,91.11111111111111,3.8532041301950812,9,3,6,0.3333333333333333,False,integration error: model derivative became non-finite,True
