lowpass_hz,degree,n_delays,delay_samples,configuration_smooth_0,configuration_smooth_5,configuration_smooth_9,coefficient_count,max_variance,max_standard_deviation,max_variance_equation_index,max_variance_feature_index,max_variance_feature_name,mean_coefficient_at_max_variance,mean_elementwise_variance,relative_rms_variability,mean_pairwise_cosine_similarity,minimum_pairwise_cosine_similarity
80.0,1,2,1,109,110,111,6,194.40305802293233,13.94284970954404,0,1,x0,213.34686941958344,117.63586010275047,0.061149150450598835,0.9999752773822417,0.9999516362170341
80.0,1,2,2,112,113,114,6,93.4516524088279,9.667039485221311,0,1,x0,92.5437088539377,55.10176507073902,0.09186017609809129,0.9998044111732726,0.9996293402529174
80.0,1,2,5,115,116,117,6,5.89459544064254,2.42787879447112,1,1,x0,34.31286340153114,3.272886828284219,0.07906785587287232,0.9997780264366272,0.9996141844054854
80.0,1,4,1,118,119,120,20,4491.7108612699185,67.02022725468721,0,2,x1,-462.27109389507365,697.7945629500257,0.1340703089647177,0.9965466943570065,0.9942660778085496
80.0,1,4,2,121,122,123,20,2010.7403924505986,44.84128000459619,0,2,x1,-158.98684197718399,401.18983343518585,0.2783572962350062,0.9692114657404817,0.9418456329004299
80.0,1,4,5,124,125,126,20,16.813972093143846,4.100484372991055,0,2,x1,-42.14300413962659,4.033571383145051,0.09209331663380294,0.9978205678093875,0.9964604031174167
80.0,1,6,1,127,128,129,42,17803.567051822985,133.4300080634899,5,4,x3,-554.8972587579484,2218.9006086609675,0.1988218963919462,0.9920938419003296,0.9875180362687881
80.0,1,6,2,130,131,132,42,1866.3737594454124,43.20154811399023,5,5,x4,157.89865854046184,192.44173788457508,0.2435851612746356,0.9586524689511493,0.9387905131020101
80.0,1,6,5,133,134,135,42,17.946668247976433,4.23635081738711,0,2,x1,-42.33960141740968,3.3316624875875256,0.09511983284681956,0.9975800278787589,0.9960944310302762
80.0,1,8,1,136,137,138,72,60264.377703872946,245.4880398387525,0,4,x3,-800.9956657666081,5607.934245796084,0.2706567009055189,0.9835453110413789,0.9794777567417374
80.0,1,8,2,139,140,141,72,2366.9281360541227,48.65108566161831,7,7,x6,161.70700686627123,237.97486226348585,0.31226539079466625,0.9162114486885938,0.8812941534198414
80.0,1,8,5,142,143,144,72,18.18954159730208,4.264919881697907,0,2,x1,-42.39133076882899,2.6995158387222244,0.09560882467069758,0.997600180933884,0.9961305958172311
80.0,2,2,1,145,146,147,12,195.22358939385603,13.972243534731852,1,2,x1,-213.5507865607536,69.61723552093643,0.066171085130768,0.9985722221388734,0.9972834772167479
80.0,2,2,2,148,149,150,12,190.75916584874562,13.811559138951171,0,0,1,-53.9104940610444,45.526651090912054,0.11217159390385106,0.9874730282248562,0.9766982894371179
80.0,2,2,5,151,152,153,12,181.6338707454688,13.477161078857401,1,0,1,-10.471492142930373,17.189460996638786,0.18234326911175702,0.9523143718185624,0.9232824948929653
80.0,2,4,1,154,155,156,60,4430.442063345634,66.56156596224005,0,2,x1,-460.4637556954438,237.8110637537366,0.13577360865890567,0.9947157457290446,0.990875318548661
