parameter,value,configurations,mean_utilization_percent,median_utilization_percent,minimum_utilization_percent,maximum_utilization_percent,fully_utilized_configurations
degree,1,72,78.39781746031746,80.0,60.0,88.88888888888889,0
degree,2,72,95.75727513227513,95.0,90.55555555555556,100.0,16
degree,3,72,95.53867043450379,95.03968253968254,90.75757575757575,100.0,13
lowpass_hz,35.0,108,90.35710945433169,93.1547619047619,66.66666666666667,100.0,14
lowpass_hz,80.0,108,89.43873256373256,93.61111111111111,60.0,100.0,15
n_delays,2,54,87.80864197530865,97.5,66.66666666666667,100.0,27
n_delays,4,54,90.55555555555557,95.71428571428572,60.0,100.0,2
n_delays,6,54,90.8472957084068,93.84920634920636,66.66666666666667,97.02380952380952,0
n_delays,8,54,90.38019079685745,91.32575757575756,70.83333333333333,95.55555555555556,0
delay_samples,1,72,90.62850729517396,93.69949494949495,66.66666666666667,100.0,13
delay_samples,2,72,89.08514710598044,93.0952380952381,60.0,100.0,11
delay_samples,5,72,89.98010862594197,92.95634920634922,66.66666666666667,100.0,5
smooth_window_samples,0,72,89.74642255892256,93.61111111111111,60.0,100.0,10
smooth_window_samples,5,72,89.56664862914863,93.19444444444444,60.0,100.0,9
smooth_window_samples,9,72,90.38069183902518,93.1547619047619,66.66666666666667,100.0,10
