lowpass_hz,degree,n_delays,smooth_window_samples,configuration_spacing_1,configuration_spacing_2,configuration_spacing_5,coefficient_count,relative_deviation_spacing_1,relative_deviation_spacing_2,relative_deviation_spacing_5,relative_rms_variability,mean_pairwise_cosine_similarity,minimum_pairwise_cosine_similarity
35.0,1,2,0,1,4,7,6,0.8772313565471399,0.11219334948919811,0.7650450650667223,0.6751336045954377,0.9826886950489625,0.9701606629500504
35.0,1,2,5,2,5,8,6,0.8757205615698784,0.11209735178927535,0.7636332162429498,0.6739406519825475,0.9828978248927362,0.9705386763313806
35.0,1,2,9,3,6,9,6,0.8619537977463548,0.11171168066001613,0.7502960134135975,0.6629197932353472,0.9850789737512002,0.9744222944035446
35.0,1,4,0,10,13,16,20,1.0861743429256279,0.23458477596581725,0.8661444146445668,0.8134311827816848,0.8814667873240243,0.7933526530913598
35.0,1,4,5,11,14,17,20,1.08404751376074,0.23323057625291,0.8652975054169949,0.8120540389799561,0.8830380433402892,0.7961171989056951
35.0,1,4,9,12,15,18,20,1.0635657635040834,0.22268001322181732,0.8553147234891558,0.7983987720856922,0.8997146882081696,0.824783300430503
35.0,1,6,0,19,22,25,42,1.4416040070235108,0.5044139337213389,0.9501663989751803,1.0385040066268305,0.7196566221253332,0.49611229213077257
35.0,1,6,5,20,23,26,42,1.4418748787497575,0.5039094546799201,0.9506481923048837,1.038694676026596,0.72007052668624,0.4972022934885537
35.0,1,6,9,21,24,27,42,1.5230174157174439,0.5927579081437097,0.9454227914694371,1.0900715941128836,0.7345378738899647,0.5289799683523376
35.0,1,8,0,28,31,34,72,1.6865578690195417,0.7079243393719175,0.9843870400332589,1.1992570144902694,0.5997287761345126,0.28706078382177325
35.0,1,8,5,29,32,35,72,1.6988918136666473,0.7181743528538345,0.9858637371671412,1.2074677502804145,0.595273172192453,0.2807045175179615
35.0,1,8,9,30,33,36,72,1.6250503779736498,0.6436047870560488,0.9861576542162095,1.158666298212875,0.5924492024508539,0.2915029682129721
35.0,2,2,0,37,40,43,12,0.8670459706118848,0.11611087419158561,0.7569790310656307,0.6678991200605325,0.8661632073649149,0.765178702990799
