channel,n_delays,delay_samples_after_downsample,downsample,dt,train_trials,test_trials,min_train_embedded_samples,min_test_embedded_samples,threshold,degree,smooth_window,train_score_r2,test_score_r2,nonzero_terms
0,2,5,10,0.02,22,8,60,60,0.05,2,9,-0.11170851105056956,-0.037808631060926357,6
0,4,5,10,0.02,22,8,50,50,0.05,2,9,-0.1365919489440659,-0.07542746136278378,16
0,6,5,10,0.02,22,8,40,40,0.05,2,9,-0.15092364987455828,-0.09107356334724226,36
0,8,5,10,0.02,22,8,30,30,0.05,2,9,-0.15591096957392467,-0.09572670692090723,60
0,10,5,10,0.02,22,8,20,20,0.05,2,9,-0.15600558127109576,-0.09630017022387483,87
0,12,5,10,0.02,22,8,10,10,0.05,2,9,-0.1541754267967912,-0.11138089425712311,124
