configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,threshold,nonzero_terms_alpha_0p05,subthreshold_count_alpha_0p05,subthreshold_terms_alpha_0p05,equations_alpha_0p05,nonzero_terms_alpha_0p0,subthreshold_count_alpha_0p0,subthreshold_terms_alpha_0p0,equations_alpha_0p0
29,1,35.0,8,1,5,1.0,58,19,(x1)': +0.7180 x1; (x1)': -0.6424 x4; (x1)': +0.1563 x5; (x2)': -0.3635 x6; (x2)': +0.0111 x7; (x3)': +0.1658 x0; (x3)': -0.5032 x1; (x3)': +0.1730 x3; (x3)': -0.7295 x5; (x3)': +0.7514 x6; (x3)': -0.2351 x7; (x4)': +0.3291 x0; (x4)': -0.5897 x7; (x5)': -0.0333 x0; (x5)': +0.0962 x1; (x5)': -0.1358 x2; (x5)': +0.0393 x3; (x5)': -0.2003 x5; (x6)': -0.2978 x2,(x0)' = +745.9306 x0 -2211.1424 x1 +3572.9006 x2 -4098.2987 x3 +3223.3249 x4 -1697.0329 x5 +546.4705 x6 -82.2511 x7 || (x1)' = +124.8445 x0 +0.7180 x1 -126.3001 x2 +1.2249 x3 -0.6424 x4 +0.1563 x5 || (x2)' = +125.3094 x1 -1.4311 x2 -122.1734 x3 -2.9241 x4 +1.5730 x5 -0.3635 x6 +0.0111 x7 || (x3)' = +0.1658 x0 -0.5032 x1 +125.3840 x2 +0.1730 x3 -125.0059 x4 -0.7295 x5 +0.7514 x6 -0.2351 x7 || (x4)' = +0.3291 x0 -1.7180 x1 +4.2245 x2 +118.2833 x3 +7.6167 x4 -130.9287 x5 +2.7815 x6 -0.5897 x7 || (x5)' = -0.0333 x0 +0.0962 x1 -0.1358 x2 +0.0393 x3 +125.1695 x4 -0.2003 x5 -124.9371 x6 || (x6)' = -0.2978 x2 +1.3674 x3 -2.8000 x4 +128.1142 x5 -1.8304 x6 -124.5539 x7 || (x7)' = +81.4795 x0 -542.1115 x1 +1685.5996 x2 -3205.3108 x3 +4079.8957 x4 -3560.7076 x5 +2206.2763 x6 -745.0223 x7,28,0,,(x0)' = +745.9306 x0 -2211.1424 x1 +3572.9006 x2 -4098.2987 x3 +3223.3249 x4 -1697.0329 x5 +546.4705 x6 -82.2511 x7 || (x1)' = +125.0127 x0 -125.0137 x2 || (x2)' = +125.0096 x1 -125.0093 x3 || (x3)' = +125.0152 x2 -125.0141 x4 || (x4)' = +125.0171 x3 -125.0169 x5 || (x5)' = +125.0131 x4 -125.0133 x6 || (x6)' = +125.0122 x5 -125.0115 x7 || (x7)' = +81.4795 x0 -542.1115 x1 +1685.5996 x2 -3205.3108 x3 +4079.8957 x4 -3560.7076 x5 +2206.2763 x6 -745.0223 x7
64,2,35.0,8,1,0,1.0,109,21,(x0)': -0.2464 x0 x4; (x0)': +0.9857 x1 x5; (x0)': +0.4437 x6 x7; (x1)': +0.3955 x1; (x1)': +0.7312 x3; (x1)': -0.3989 x4; (x1)': +0.1019 x5; (x2)': -0.6952 x2; (x2)': +0.6437 x5; (x2)': -0.1018 x6; (x2)': -0.0099 x7; (x3)': +0.3061 x0; (x3)': -0.3831 x7; (x4)': +0.2938 x0; (x4)': -0.5449 x7; (x5)': -0.1019 x0; (x5)': +0.4479 x1; (x5)': -0.9410 x2; (x5)': +0.2272 x5; (x6)': -0.1872 x2; (x6)': +0.8318 x3,(x0)' = +725.4653 x0 -2103.4161 x1 +3315.3769 x2 -3736.1522 x3 +2900.2629 x4 -1514.4731 x5 +486.0232 x6 -73.2033 x7 +5.7561 x0^2 -20.0776 x0 x1 +12.6217 x0 x2 -0.2464 x0 x4 +10.0761 x1^2 -17.1392 x1 x3 +0.9857 x1 x5 -2.6956 x2^2 +13.1214 x2 x3 +9.3109 x2 x4 -1.4986 x2 x6 -6.4725 x3^2 -8.2315 x3 x4 +1.6732 x3 x5 +7.6101 x4 x5 -6.9859 x4 x6 +2.7967 x4 x7 -1.0436 x5 x7 +0.4437 x6 x7 || (x1)' = +124.9225 x0 +0.3955 x1 -125.7511 x2 +0.7312 x3 -0.3989 x4 +0.1019 x5 || (x2)' = +125.1513 x1 -0.6952 x2 -123.6457 x3 -1.3414 x4 +0.6437 x5 -0.1018 x6 -0.0099 x7 || (x3)' = +0.3061 x0 -1.5090 x1 +128.4373 x2 -4.9663 x3 -119.8121 x4 -3.8775 x5 +1.8047 x6 -0.3831 x7 || (x4)' = +0.2938 x0 -1.6468 x1 +4.2922 x2 +117.9871 x3 +7.8670 x4 -130.9165 x5 +2.6670 x6 -0.5449 x7 || (x5)' = -0.1019 x0 +0.4479 x1 -0.9410 x2 +1.1170 x3 +124.2764 x4 +0.2272 x5 -125.0269 x6 || (x6)' = -0.1872 x2 +0.8318 x3 -1.6688 x4 +126.8335 x5 -1.0645 x6 -124.7453 x7 || (x7)' = +72.3254 x0 -480.8096 x1 +1499.8709 x2 -2875.7056 x3 +3709.5321 x4 -3296.8266 x5 +2095.7288 x6 -723.9987 x7 +18.4899 x0 x1 -47.6880 x0 x2 +39.1046 x0 x3 +1.2481 x0 x4 -13.6239 x0 x6 +3.4647 x0 x7 -77.1124 x1^2 +291.8546 x1 x2 -138.7654 x1 x3 -170.4589 x1 x4 +141.7223 x1 x5 +2.8573 x1 x7 -239.3148 x2^2 +156.8492 x2 x3 +340.6111 x2 x4 -111.2238 x2 x5 -121.7291 x2 x6 +8.9113 x3^2 -196.7793 x3 x4 -271.0382 x3 x5 +306.3069 x3 x6 +27.4081 x3 x7 +36.5711 x4^2 +227.8871 x4 x5 -34.3203 x4 x6 -169.4247 x4 x7 +35.6716 x5^2 -390.6761 x5 x6 +276.9936 x5 x7 +249.1006 x6^2 -219.4047 x6 x7 +36.5031 x7^2,316,24,(x0)': +0.9978 x1 x7; (x1)': +0.0929 x0 x4; (x1)': +0.4523 x7^2; (x2)': -0.0998 x1 x3; (x2)': +0.4341 x1 x6; (x2)': +0.5230 x1 x7; (x2)': -0.9474 x2 x3; (x2)': +0.8165 x5 x6; (x2)': +0.7817 x5 x7; (x2)': -0.3236 x7^2; (x3)': -0.2870 x0^2; (x3)': -0.8495 x7^2; (x4)': -0.8799 x0 x7; (x4)': -0.6324 x7^2; (x5)': +0.4628 x0 x7; (x5)': -0.0147 x2^2; (x5)': +0.5701 x2 x3; (x5)': -0.8871 x6 x7; (x5)': +0.2124 x7^2; (x6)': -0.5287 x0^2; (x6)': -0.1388 x1 x5; (x6)': +0.9107 x1 x7; (x6)': +0.6231 x3 x4; (x6)': +0.9807 x7^2,(x0)' = +725.4143 x0 -2103.3788 x1 +3315.9812 x2 -3738.1505 x3 +2903.2489 x4 -1516.9734 x5 +487.1817 x6 -73.4395 x7 -12.4641 x0^2 +83.9758 x0 x1 -138.5006 x0 x2 +145.8970 x0 x3 -89.6519 x0 x4 +20.2388 x0 x5 +11.2334 x0 x6 -3.3899 x0 x7 -77.7285 x1^2 +97.8574 x1 x2 -40.2061 x1 x3 -2.0994 x1 x4 +45.5535 x1 x5 -53.9076 x1 x6 +0.9978 x1 x7 +87.3983 x2^2 -167.0572 x2 x3 +25.8440 x2 x4 -17.5395 x2 x5 +35.1163 x2 x6 +39.3749 x2 x7 -23.1188 x3^2 +172.4231 x3 x4 -27.2161 x3 x5 +2.2880 x3 x6 -101.8534 x3 x7 -24.6839 x4^2 -156.1506 x4 x5 +3.7278 x4 x6 +143.0304 x4 x7 +97.0592 x5^2 +65.0193 x5 x6 -146.4512 x5 x7 -82.3914 x6^2 +107.0289 x6 x7 -19.6504 x7^2 || (x1)' = +125.0094 x0 -125.0101 x2 +1.8741 x0^2 -9.7231 x0 x1 +9.4630 x0 x2 -2.3103 x0 x3 +0.0929 x0 x4 -6.7691 x0 x5 +7.6532 x0 x6 -2.0977 x0 x7 +9.1604 x1^2 -8.7272 x1 x2 -15.0187 x1 x3 +21.3841 x1 x4 +5.3655 x1 x5 -14.3430 x1 x6 +2.5145 x1 x7 +3.6069 x2^2 -1.2851 x2 x3 -8.0229 x2 x4 -14.3325 x2 x5 +11.2902 x2 x6 +4.5706 x2 x7 +11.2720 x3^2 -1.9949 x3 x4 +4.3277 x3 x5 +11.5244 x3 x6 -17.3341 x3 x7 -9.8969 x4^2 +4.0801 x4 x5 -14.4916 x4 x6 +17.6007 x4 x7 +14.4198 x5^2 -17.1103 x5 x6 -3.2528 x5 x7 +8.8367 x6^2 -2.7793 x6 x7 +0.4523 x7^2 || (x2)' = +125.0078 x1 -125.0074 x3 +1.0125 x0^2 -4.9159 x0 x1 +16.0482 x0 x2 -32.6476 x0 x3 +37.3685 x0 x4 -27.1834 x0 x5 +11.9787 x0 x6 -2.5117 x0 x7 -4.2316 x1^2 +12.4306 x1 x2 -0.0998 x1 x3 +2.2938 x1 x4 -3.1618 x1 x5 +0.4341 x1 x6 +0.5230 x1 x7 -9.9338 x2^2 -0.9474 x2 x3 -17.6149 x2 x4 +17.1424 x2 x5 -3.4926 x2 x6 -1.0217 x2 x7 +19.9591 x3^2 -10.4411 x3 x4 +7.6392 x3 x5 -14.0077 x3 x6 +6.1637 x3 x7 -9.6591 x4^2 +9.4932 x4 x5 +7.6684 x4 x6 -4.8704 x4 x7 -4.2382 x5^2 +0.8165 x5 x6 +0.7817 x5 x7 -1.8603 x6^2 +1.4090 x6 x7 -0.3236 x7^2 || (x3)' = +125.0123 x2 -125.0116 x4 -0.2870 x0^2 +2.0381 x0 x1 +13.4033 x0 x2 -42.8161 x0 x3 +52.9514 x0 x4 -34.1662 x0 x5 +11.1448 x0 x6 -1.9057 x0 x7 -14.1866 x1^2 +25.2331 x1 x2 +9.8403 x1 x3 -12.4534 x1 x4 -9.5116 x1 x5 +14.9618 x1 x6 -2.2861 x1 x7 -14.3710 x2^2 -2.7864 x2 x3 -16.7564 x2 x4 +32.8328 x2 x5 -17.5081 x2 x6 -3.7469 x2 x7 +17.3289 x3^2 -9.4601 x3 x4 +12.0682 x3 x5 -27.5945 x3 x6 +22.3102 x3 x7 -8.7976 x4^2 +8.0104 x4 x5 +20.9125 x4 x6 -21.1835 x4 x7 -16.1814 x5^2 +16.2371 x5 x6 +3.7652 x5 x7 -10.7229 x6^2 +4.5331 x6 x7 -0.8495 x7^2 || (x4)' = +125.0131 x3 -125.0133 x5 -1.0956 x0^2 +6.1390 x0 x1 +5.3780 x0 x2 -30.5069 x0 x3 +40.8920 x0 x4 -24.9995 x0 x5 +6.0562 x0 x6 -0.8799 x0 x7 -14.7878 x1^2 +22.3827 x1 x2 +10.5382 x1 x3 -15.9906 x1 x4 -10.1962 x1 x5 +20.2659 x1 x6 -2.9876 x1 x7 -9.2369 x2^2 -3.2051 x2 x3 -7.0678 x2 x4 +27.1447 x2 x5 -22.1741 x2 x6 -5.1652 x2 x7 +5.8363 x3^2 -3.4002 x3 x4 +12.1805 x3 x5 -22.3397 x3 x6 +26.3301 x3 x7 -5.0404 x4^2 +2.5779 x4 x5 +18.5424 x4 x6 -26.2060 x4 x7 -16.7952 x5^2 +20.5341 x5 x6 +6.5259 x5 x7 -12.2528 x6^2 +3.6364 x6 x7 -0.6324 x7^2 || (x5)' = +125.0097 x4 -125.0102 x6 -1.0466 x0^2 +5.4439 x0 x1 -3.0705 x0 x2 -4.7418 x0 x3 +9.6283 x0 x4 -3.9791 x0 x5 -1.8585 x0 x6 +0.4628 x0 x7 -6.3696 x1^2 +6.3778 x1 x2 +5.1335 x1 x3 -10.7449 x1 x4 -5.9321 x1 x5 +15.2746 x1 x6 -1.5826 x1 x7 -0.0147 x2^2 +0.5701 x2 x3 +6.3266 x2 x4 +7.6298 x2 x5 -15.5762 x2 x6 -5.4546 x2 x7 -8.5715 x3^2 +1.4861 x3 x4 +5.2963 x3 x5 -4.7598 x3 x6 +19.0876 x3 x7 +2.3913 x4^2 -1.8305 x4 x5 +6.0387 x4 x6 -20.4382 x4 x7 -9.8494 x5^2 +12.8560 x5 x6 +8.5501 x5 x7 -6.0575 x6^2 -0.8871 x6 x7 +0.2124 x7^2 || (x6)' = +125.0093 x5 -125.0091 x7 -0.5287 x0^2 +2.1925 x0 x1 -8.5821 x0 x2 +19.0066 x0 x3 -22.3954 x0 x4 +18.8513 x0 x5 -10.0585 x0 x6 +1.9106 x0 x7 +4.2511 x1^2 -11.1245 x1 x2 +2.3245 x1 x3 -6.7677 x1 x4 -0.1388 x1 x5 +4.9077 x1 x6 +0.9107 x1 x7 +4.8521 x2^2 +8.0642 x2 x3 +16.4934 x2 x4 -8.0910 x2 x5 -2.4499 x2 x6 -6.1817 x2 x7 -18.7882 x3^2 +0.6231 x3 x4 -8.8647 x3 x5 +10.3340 x3 x6 +9.4752 x3 x7 +13.4236 x4^2 -2.5419 x4 x5 -3.7190 x4 x6 -11.8693 x4 x7 -4.1070 x5^2 +1.8450 x5 x6 +9.2081 x5 x7 +1.8596 x6^2 -5.3057 x6 x7 +0.9807 x7^2 || (x7)' = +72.5106 x0 -481.7355 x1 +1502.0454 x2 -2878.8271 x3 +3712.4939 x4 -3298.6840 x5 +2096.4422 x6 -724.1287 x7 +18.1051 x0^2 -103.5802 x0 x1 +106.7441 x0 x2 -20.4927 x0 x3 -54.3777 x0 x4 +72.0886 x0 x5 -40.6367 x0 x6 +5.1123 x0 x7 +116.4254 x1^2 -148.2006 x1 x2 -25.7278 x1 x3 +17.5535 x1 x4 -20.5752 x1 x5 +19.7877 x1 x6 +19.2968 x1 x7 -42.0682 x2^2 +184.6585 x2 x3 +111.1326 x2 x4 -69.4662 x2 x5 -6.8462 x2 x6 -64.3436 x2 x7 -79.9261 x3^2 -156.7510 x3 x4 -88.8026 x3 x5 +108.8116 x3 x6 +100.6074 x3 x7 +108.6551 x4^2 +136.4257 x4 x5 -39.9026 x4 x6 -161.5146 x4 x7 -76.1746 x5^2 -117.6114 x5 x6 +186.7485 x5 x7 +120.5920 x6^2 -140.5812 x6 x7 +24.8294 x7^2
