configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
172,4,success,,14.06,14.06,284.64715787395835,67406,3516,84.5880215073893,3516,88.28969095479943,88.32325028752692
172,1088,success,,14.172,14.172,250.2423405814916,58780,3544,64.46352469092932,3544,79.20725187493875,79.24097598020684
172,622,failed,integration error: model derivative became non-finite,14.168000000000001,9.659097285366498,288.91890655457973,68216,0,,0,,
172,620,success,,14.168000000000001,14.168000000000001,341.0657095108181,81592,3543,74.2901959089701,3543,83.06221285220842,83.06470912677591
