label,degree,threshold,nonzero_terms,n_trials_scored,n_completed,psd_similarity,autocorrelation_similarity,peak_frequency_error_hz,distribution_ks,collapse_std_ratio,x0_rmse,x0_correlation
flat_line,,,,9,9,nan,nan,nan,0.5176548967355097,0.0,35.40089167155028,nan
phase_surrogate,,,,9,9,0.9819076213249973,0.9970354525423303,0.0,0.0379746835443038,0.9999258474832592,49.56744982454427,-0.08773563540892385
deg2_thr1000,2,1000.0,12,9,9,0.13001457989902812,0.15501468061996537,3.90625,0.13657561625582945,0.9241223477801351,46.61249592461436,0.007905707681386452
deg2_thr10000,2,10000.0,9,9,9,0.13013417444107214,0.15629385993456474,3.90625,0.1072618254497002,0.7200638173137001,42.880016315438574,-0.0001752368163741607
deg2_thr20000,2,20000.0,7,9,9,0.129794819085778,0.1470642979592078,3.90625,0.14057295136575615,0.9201323742662034,47.259828991312126,0.00483252108474802
deg2_thr50000,2,50000.0,4,9,9,0.12903420774277197,0.13269703071301106,3.90625,0.17121918720852763,1.0694568634133768,50.67532074994446,-0.014423698099325996
deg3_thr1000,3,1000.0,20,9,9,0.13385560095123528,0.20139651376637577,3.90625,0.17921385742838108,1.0519980018177533,49.04731891201453,-0.026319728843617288
deg3_thr10000,3,10000.0,17,9,9,0.13382071451231312,0.19958090240184054,3.90625,0.1838774150566289,1.1072863677549016,49.70353343426771,-0.030770158168129648
deg3_thr20000,3,20000.0,11,9,9,0.13378643142501664,0.20358325374214364,4.8828125,0.14723517654896737,0.7884412912766818,44.7069217871293,-0.028910716266586315
deg3_thr50000,3,50000.0,6,9,9,0.1342267913684038,0.2042563681771898,3.90625,0.3157894736842105,0.018532612391758886,38.88683871570914,0.014257970842271747
deg5_thr1000,5,1000.0,41,9,9,0.13237700317298917,0.20626937132577172,4.8828125,0.15789473684210525,0.9538245675472274,47.68827782386555,-0.04086852266724004
deg5_thr10000,5,10000.0,20,9,9,0.13368810450563917,0.19936186869621014,4.8828125,0.18454363757495004,1.0922192970398048,50.513882824218854,-0.01790493570209817
deg5_thr20000,5,20000.0,16,9,9,0.13361800645318514,0.20532117605464317,4.8828125,0.17455029980013326,1.1010204677633106,50.96903740999917,-0.021710460766913416
deg5_thr50000,5,50000.0,6,9,9,0.13422678954185696,0.20425636913828676,3.90625,0.3157894736842105,0.018532613645470035,38.886838627143625,0.014257970842271747
deg7_thr1000,7,1000.0,69,9,9,0.13236133041275225,0.20628916407221934,4.8828125,0.16389073950699534,0.9725873265514533,48.7498712767617,-0.04160463050993958
deg7_thr10000,7,10000.0,21,9,9,0.13366392971240726,0.20175916249485523,4.8828125,0.17455029980013326,1.0828522185977278,50.63131191291224,-0.039165534871831185
deg7_thr20000,7,20000.0,12,9,9,0.13390947565948547,0.20190697282940465,3.90625,0.16855429713524317,0.99017218709398,47.75124607966188,-0.0339099487688461
deg7_thr50000,7,50000.0,6,9,9,0.13422678954185696,0.20425636913828676,3.90625,0.3157894736842105,0.018532613645470035,38.886838627143625,0.014257970842271747
deg9_thr1000,9,1000.0,100,9,9,0.13361177284660783,0.20309395896926521,4.8828125,0.18121252498334445,1.0849037591314357,49.23154903272983,-0.033151433194110055
deg9_thr10000,9,10000.0,20,9,9,0.13352733188583857,0.20578933376937059,4.8828125,0.16055962691538975,1.060319660484694,49.930114876034686,-0.028843246131388535
deg9_thr20000,9,20000.0,12,9,9,0.13390947565948547,0.20190697282940465,3.90625,0.16855429713524317,0.99017218709398,47.75124607966188,-0.0339099487688461
deg9_thr50000,9,50000.0,7,9,9,0.1334964565196263,0.20159003828962233,3.90625,0.1518987341772152,1.1515740847918965,53.19423350488089,-0.025823083653757493
