sweep,value,terms,r2_train,r2_test
smoothing,0,12,0.3074427584997708,0.29568157428040237
smoothing,5,12,0.31148266452773826,0.299401669666439
smoothing,9,12,0.3500035264100072,0.33453225717565277
smoothing,15,12,0.4245012290656526,0.39140878487427666
smoothing,25,12,-0.43023696807886036,-0.6003268408522335
smoothing,51,12,-12.86877578065905,-13.67124121386686
n_delays,2,12,0.3500035264100072,0.33453225717565277
n_delays,4,60,0.5671186547002264,0.5558972757398009
n_delays,6,168,0.626360559191847,0.6277969572123864
n_delays,8,360,0.6548207490256621,0.6603094656081818
n_delays,12,1092,0.6833014715297393,0.6874545661066026
n_delays,16,2448,0.6978232411155346,0.7003352030407268
