lead_s,skill,persistence,amplitude_ratio,growth_factor
0.46,-0.0569691,-0.0800945,2.71094e-07,0.00216187
0.464,-0.0325372,-0.0735108,2.44367e-07,0.00216187
0.468,-0.0689882,-0.0630577,2.16619e-07,0.00216244
0.472,-0.0142146,-0.0502127,2.11877e-07,0.00216417
0.476,-0.000436774,-0.0380151,1.97549e-07,0.00216417
0.48,0.0238805,-0.0308031,1.85706e-07,0.0021659
0.484,0.0123972,-0.0318742,1.81283e-07,0.00216705
0.488,0.0785536,-0.0418489,1.76343e-07,0.00216705
0.492,0.0846719,-0.0586496,1.68236e-07,0.00216763
0.496,0.0883132,-0.0780809,1.52292e-07,0.0021682
0.5,0.038699,-0.0951016,1.32885e-07,0.0021682
0.504,0.0713301,-0.106369,1.17771e-07,0.0021682
0.508,0.0402466,-0.111149,9.539e-08,0.00216935
0.512,-0.0107179,-0.110269,8.46714e-08,0.00216964
0.516,-0.0145022,-0.106079,7.43315e-08,0.00216935
0.52,-0.00360311,-0.102029,6.79265e-08,0.00216935
0.524,-0.0596659,-0.100022,6.82117e-08,0.00216993
0.528,-0.0775317,-0.0985092,7.09209e-08,0.00216993
0.532,-0.0372497,-0.0937679,6.47262e-08,0.00216993
0.536,-0.0289755,-0.0832814,6.65594e-08,0.00217108
0.54,-0.0406848,-0.0684094,6.26923e-08,0.00216993
0.544,-0.0923476,-0.0536833,6.17632e-08,0.00216993
0.548,-0.00679446,-0.0437326,6.33844e-08,0.00216993
0.552,0.0202227,-0.0411345,6.27256e-08,0.00216993
0.556,-0.0127402,-0.0459508,6.2543e-08,0.00217108
0.56,-0.0250834,-0.0562403,6.15035e-08,0.00217224
0.564,-0.0236761,-0.069393,5.22364e-08,0.00217224
0.568,-0.0359341,-0.0831688,4.79767e-08,0.00217224
0.572,-0.0139839,-0.095316,4.42598e-08,0.00217224
0.576,0.0253663,-0.103115,4.36863e-08,0.00217224
0.58,-0.0266978,-0.104399,4.23604e-08,0.00217224
0.584,-0.0697811,-0.0992385,4.06025e-08,0.00217224
0.588,-0.0345019,-0.0900791,3.76105e-08,0.00217339
0.592,0.0182202,-0.080073,3.71292e-08,0.00217339
0.596,-0.0519056,-0.0716163,3.75396e-08,0.00217339
0.6,-0.113769,-0.066071,3.86159e-08,0.00217339
0.604,-0.0480459,-0.0643244,3.73042e-08,0.00217339
0.608,-0.0601415,-0.0676337,3.41498e-08,0.00217339
0.612,-0.0429218,-0.0776072,3.15323e-08,0.00217339
0.616,-0.073221,-0.0946851,3.03146e-08,0.00217339
0.62,-0.040569,-0.116698,2.69625e-08,0.00217339
0.624,-0.105741,-0.139279,2.39394e-08,0.00217339
0.628,-0.0244127,-0.157323,2.23029e-08,0.00217339
0.632,-0.0315431,-0.166434,2.21406e-08,0.00217339
0.636,-0.0295381,-0.164586,2.20369e-08,0.00217339
