n_modes,degree,threshold,explained_variance,nonzero_terms,n_completed,n_test,psd_similarity,x0_correlation,collapse_std_ratio,x0_rmse
5,1,0.0,0.6935933685443776,30,9,9,0.6275312588032961,-0.07229610580618152,0.31850421905390375,46.99506407058529
5,1,100.0,0.6935933685443776,28,9,9,0.6273934531483831,-0.0723256300895764,0.3183272896758612,46.99480088365626
5,1,1000.0,0.6935933685443776,16,9,9,0.6222674294067713,-0.07278814992796444,0.32175018560690843,47.23755363163142
5,1,10000.0,0.6935933685443776,12,9,9,0.6219133798691286,-0.07281390452272657,0.3214164133940815,47.23933714909775
5,2,0.0,0.6935933685443776,105,9,9,0.6482226602035261,-0.028054609876568465,0.38252470150184426,46.42392088380199
5,2,100.0,0.6935933685443776,101,9,9,0.6483002351472377,-0.028260521154198002,0.3837034692516559,46.44293609374659
5,2,1000.0,0.6935933685443776,78,9,9,0.652014412151493,-0.032292608735169634,0.36593475917269624,45.79039598717587
5,2,10000.0,0.6935933685443776,16,9,9,0.6228544509197015,-0.054160352312129914,0.32279538294283755,47.44399280225769
5,3,0.0,0.6935933685443776,280,8,9,0.6775350788745756,-0.003024593566682281,0.26896833219657246,42.69327778392683
5,3,100.0,0.6935933685443776,274,8,9,0.6775644473363973,-0.004189090477444295,0.2693998093806987,42.703473317666806
5,3,1000.0,0.6935933685443776,226,8,9,0.6782643940101627,-0.006689438792553475,0.25549458500746064,42.5324600913882
5,3,10000.0,0.6935933685443776,49,9,9,0.6369655168286079,-0.03495328372015986,0.35501036653442514,46.09661931820069
