configuration_index,lowpass_hz,stlsq_threshold,training_lfp_rms_uv,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
12,80.0,100.0,37.49490932254601,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,17,20,85.0,0.16136040724813938,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.002001985571517773, 358.139214126214, -538.5918759392647, 232.62893159829818, -54.16619006428978], [0.0, 125.94850119257026, -2.9951764288842, -121.54095127204478, -1.4283682719455175], [0.0, 0.8682751617830231, 122.70925719208353, 2.1456999451190044, -125.71661633507881], [0.0, 54.00879632486934, -231.98920554944505, 537.532039546794, -357.5476026032837]]",(x0)' =  0.002 1 +  358.139 x0 + -538.592 x1 +  232.629 x2 + -54.166 x3 | (x1)' =  125.949 x0 + -2.995 x1 + -121.541 x2 + -1.428 x3 | (x2)' =  0.868 x0 +  122.709 x1 +  2.146 x2 + -125.717 x3 | (x3)' =  54.009 x0 + -231.989 x1 +  537.532 x2 + -357.548 x3
13,80.0,100.0,37.49490932254601,1,4,2,8.0,24.0,0,0.0,finite_difference,success,,16,20,80.0,0.14857275038957596,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 86.81187968216523, -112.76247566521427, 13.379384198318286, 2.5576220220721004], [0.0, 72.77426198367358, 4.875229583962692, -89.75777269589179, 14.77075466456783], [0.0, -14.04129707532535, 86.53292923234169, 0.0, -75.19488932542988], [-0.43353227888656604, -2.5859285544688757, -13.33526854946521, 112.76088371945526, -86.83391810969428]]",(x0)' =  86.812 x0 + -112.762 x1 +  13.379 x2 +  2.558 x3 | (x1)' =  72.774 x0 +  4.875 x1 + -89.758 x2 +  14.771 x3 | (x2)' = -14.041 x0 +  86.533 x1 + -75.195 x3 | (x3)' = -0.434 1 + -2.586 x0 + -13.335 x1 +  112.761 x2 + -86.834 x3
14,80.0,100.0,37.49490932254601,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,17,20,85.0,0.1551336981356144,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.6370076120032532, 103.8191159155319, -144.5012804680211, 39.05442514660511, -7.3647059785793125], [0.0, 70.32142970560666, 11.46549946532069, -97.88879289451182, 19.005999708612894], [0.0, -16.387742643152656, 89.29660492025563, 0.0, -75.90986959874539], [-0.5113321061850922, 7.31996623300445, -38.981307060451336, 144.4714570191404, -103.82112647059873]]",(x0)' = -0.637 1 +  103.819 x0 + -144.501 x1 +  39.054 x2 + -7.365 x3 | (x1)' =  70.321 x0 +  11.465 x1 + -97.889 x2 +  19.006 x3 | (x2)' = -16.388 x0 +  89.297 x1 + -75.910 x3 | (x3)' = -0.511 1 +  7.320 x0 + -38.981 x1 +  144.471 x2 + -103.821 x3
15,80.0,100.0,37.49490932254601,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,18,20,90.0,0.16593811847269535,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 149.2425897955523, -219.6967851458149, 84.29347888406488, -18.083853936143594], [0.35125186762477456, 59.89471810854174, 25.40766534659564, -100.68684235267672, 16.51119790416207], [-0.2066447508440642, -16.181419289485564, 99.84710442343562, -24.42336818606514, -60.38353953971567], [0.0, 17.97857718777351, -83.86327394828731, 219.05408089673193, -148.89761732888607]]",(x0)' =  149.243 x0 + -219.697 x1 +  84.293 x2 + -18.084 x3 | (x1)' =  0.351 1 +  59.895 x0 +  25.408 x1 + -100.687 x2 +  16.511 x3 | (x2)' = -0.207 1 + -16.181 x0 +  99.847 x1 + -24.423 x2 + -60.384 x3 | (x3)' =  17.979 x0 + -83.863 x1 +  219.054 x2 + -148.898 x3
16,80.0,100.0,37.49490932254601,1,4,5,20.0,60.0,0,0.0,finite_difference,success,,19,20,95.0,0.15372433699667454,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.372723952054665, 17.13909259387483, -39.00218845217545, 9.899668152737489, 5.13216971294069], [0.0, 30.924341082671837, 0.7901075899576985, -35.38137735822888, 5.495954399519404], [0.4929617204646471, -5.474375363133763, 35.3781939879962, -0.7956866433816481, -30.943488709960878], [-0.5554962652437806, -5.1316359270752026, -9.963093033925164, 39.0736865212055, -17.160100672356695]]",(x0)' = -0.373 1 +  17.139 x0 + -39.002 x1 +  9.900 x2 +  5.132 x3 | (x1)' =  30.924 x0 +  0.790 x1 + -35.381 x2 +  5.496 x3 | (x2)' =  0.493 1 + -5.474 x0 +  35.378 x1 + -0.796 x2 + -30.943 x3 | (x3)' = -0.555 1 + -5.132 x0 + -9.963 x1 +  39.074 x2 + -17.160 x3
17,80.0,100.0,37.49490932254601,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,19,20,95.0,0.16246317513287067,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[-0.3576115362300182, 17.543307489085763, -39.491751336135344, 10.186049818121564, 5.044235028532487], [0.0, 30.92780739169837, 0.8731225065059172, -35.584411243073546, 5.6253760494334495], [0.46895037545032836, -5.601043400428668, 35.576948114869296, -0.8732266412470443, -30.948477043158842], [-0.5034385186797118, -5.044561705355607, -10.250462539546234, 39.558648459440754, -17.56014523166517]]",(x0)' = -0.358 1 +  17.543 x0 + -39.492 x1 +  10.186 x2 +  5.044 x3 | (x1)' =  30.928 x0 +  0.873 x1 + -35.584 x2 +  5.625 x3 | (x2)' =  0.469 1 + -5.601 x0 +  35.577 x1 + -0.873 x2 + -30.948 x3 | (x3)' = -0.503 1 + -5.045 x0 + -10.250 x1 +  39.559 x2 + -17.560 x3
18,80.0,100.0,37.49490932254601,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,17,20,85.0,0.16229506023228168,"[""1"", ""x0"", ""x1"", ""x2"", ""x3""]","[[0.0, 22.67137857207667, -47.93507230342965, 15.27076945250578, 3.1031176414059347], [0.0, 33.703815710069364, 1.8054107010656935, -41.09673537867407, 8.017701266297616], [0.5116347094602408, -7.991381383881883, 41.10809545089167, -1.8349491264079256, -33.703616574600396], [0.0, -3.1190871568546688, -15.30874236058607, 47.98548536989391, -22.688139983719832]]",(x0)' =  22.671 x0 + -47.935 x1 +  15.271 x2 +  3.103 x3 | (x1)' =  33.704 x0 +  1.805 x1 + -41.097 x2 +  8.018 x3 | (x2)' =  0.512 1 + -7.991 x0 +  41.108 x1 + -1.835 x2 + -33.704 x3 | (x3)' = -3.119 x0 + -15.309 x1 +  47.985 x2 + -22.688 x3
19,80.0,100.0,37.49490932254601,1,6,1,4.0,20.0,0,0.0,finite_difference,success,,35,42,83.33333333333333,0.264356167986989,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.0, 304.1838000369016, -505.2726430290759, 367.2282711448493, -278.8365340084837, 147.80730066724664, -40.55506238558833], [0.0, 124.99378122351214, 0.0767051120691374, -125.11268434372177, 0.01595593667899484, 0.035297210227874784, -0.011540178083569374], [0.0, -0.04944467901657845, 125.09873159695191, 0.0, -125.08119948118483, 0.026654000934571268, 0.0077531615044147874], [0.0, 0.022099148506347366, -0.09232719139999984, 125.14429545903478, 0.0, -125.13701026144221, 0.06745359609210667], [0.0, 0.014209039745901406, -0.021243089044736804, -0.06671807882141394, 125.16691458409937, -0.11819004610429777, -124.97879863503645], [-0.10721891378229817, 40.53957194837697, -147.7899782748228, 278.8689497516816, -367.3497430372182, 505.44652032940076, -304.27785929463863]]",(x0)' =  304.184 x0 + -505.273 x1 +  367.228 x2 + -278.837 x3 +  147.807 x4 + -40.555 x5 | (x1)' =  124.994 x0 +  0.077 x1 + -125.113 x2 +  0.016 x3 +  0.035 x4 + -0.012 x5 | (x2)' = -0.049 x0 +  125.099 x1 + -125.081 x3 +  0.027 x4 +  0.008 x5 | (x3)' =  0.022 x0 + -0.092 x1 +  125.144 x2 + -125.137 x4 +  0.067 x5 | (x4)' =  0.014 x0 + -0.021 x1 + -0.067 x2 +  125.167 x3 + -0.118 x4 + -124.979 x5 | (x5)' = -0.107 1 +  40.540 x0 + -147.790 x1 +  278.869 x2 + -367.350 x3 +  505.447 x4 + -304.278 x5
20,80.0,100.0,37.49490932254601,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,36,42,85.71428571428571,0.2772693485021591,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.0, 385.9360825233182, -721.393794785153, 629.2039836638629, -476.497534833325, 239.01902399705025, -59.48433808347752], [0.0, 124.99932772203005, -0.0003596685461239218, -124.82204542009143, -0.4715953458006751, 0.42792585823223295, -0.1383306603545637], [0.0, -0.1180319654066255, 125.23418478904077, -0.050568781591707974, -125.13315447780624, 0.06444471300031511, 0.004652546781832976], [0.0, -0.09377773817874309, 0.3498153443442449, 124.23334062116143, 1.2194416642392678, -126.08867319295555, 0.3896847584684236], [0.0, 0.04136903003487563, -0.0090289655990461, -0.3203264392226903, 125.67394885349992, -0.5732046039407868, -124.81450265862523], [0.0, 59.5069996875877, -239.32753739141774, 477.44388124966656, -630.6488367085636, 722.5941365859586, -386.3648019863972]]",(x0)' =  385.936 x0 + -721.394 x1 +  629.204 x2 + -476.498 x3 +  239.019 x4 + -59.484 x5 | (x1)' =  124.999 x0 + -124.822 x2 + -0.472 x3 +  0.428 x4 + -0.138 x5 | (x2)' = -0.118 x0 +  125.234 x1 + -0.051 x2 + -125.133 x3 +  0.064 x4 +  0.005 x5 | (x3)' = -0.094 x0 +  0.350 x1 +  124.233 x2 +  1.219 x3 + -126.089 x4 +  0.390 x5 | (x4)' =  0.041 x0 + -0.009 x1 + -0.320 x2 +  125.674 x3 + -0.573 x4 + -124.815 x5 | (x5)' =  59.507 x0 + -239.328 x1 +  477.444 x2 + -630.649 x3 +  722.594 x4 + -386.365 x5
21,80.0,100.0,37.49490932254601,1,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,39,42,92.85714285714286,0.291197931393981,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5""]","[[0.2563288433683508, 416.66968070354125, -773.0608432714346, 664.4315929434148, -508.0841827266626, 264.7495444658119, -66.28618336225252], [0.4061752920659011, 125.76512217006716, -3.7159646081963613, -119.85098952537216, -0.8362204236708334, -3.165281692832552, 1.8271096526593176], [0.0, -0.42928265162716855, 126.08716804090446, -2.2042027451550776, -121.01002853655207, -3.803836366730729, 1.3734167015012069], [-0.3131285226847961, -1.5086859540794342, 5.356478608577427, 117.86036244762275, 3.7928874004534814, -124.9028095801524, -0.6143106647210064], [0.0, -0.5749643792118906, 1.8591392086632426, -0.9182990751065087, 122.20806906237154, 4.0310104650542895, -126.63013214249041], [0.0, 67.66626470396542, -268.4104635348654, 511.96997919065893, -666.6931919155419, 773.9646980797161, -416.9128692837972]]",(x0)' =  0.256 1 +  416.670 x0 + -773.061 x1 +  664.432 x2 + -508.084 x3 +  264.750 x4 + -66.286 x5 | (x1)' =  0.406 1 +  125.765 x0 + -3.716 x1 + -119.851 x2 + -0.836 x3 + -3.165 x4 +  1.827 x5 | (x2)' = -0.429 x0 +  126.087 x1 + -2.204 x2 + -121.010 x3 + -3.804 x4 +  1.373 x5 | (x3)' = -0.313 1 + -1.509 x0 +  5.356 x1 +  117.860 x2 +  3.793 x3 + -124.903 x4 + -0.614 x5 | (x4)' = -0.575 x0 +  1.859 x1 + -0.918 x2 +  122.208 x3 +  4.031 x4 + -126.630 x5 | (x5)' =  67.666 x0 + -268.410 x1 +  511.970 x2 + -666.693 x3 +  773.965 x4 + -416.913 x5
