configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,optimizer,stlsq_threshold,alpha,nu,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,80.0,,,stlsq,20000.0,0.05,1.0,3,2,1,4.0,4.0,0,0.0,finite_difference,success,,17,20,85.0,2.283050848171115,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[0.0, 196.9763006339356, -206.51522654787865, -0.1987388923500587, 0.4625663013250231, -0.23600155208686088, -0.0008126446516988166, -0.0027803656166904382, 0.007763160534712359, -0.003982799290570905], [0.0, 206.9775648913159, -197.4672181151224, -0.01709164465587085, 0.0, -0.007796151300328322, -0.0010964917101042167, 0.005898927675562658, -0.00850748510840101, 0.0035527283510180976]]",(x0)' =  196.976 x0 + -206.515 x1 + -0.199 x0^2 +  0.463 x0 x1 + -0.236 x1^2 + -0.001 x0^3 + -0.003 x0^2 x1 +  0.008 x0 x1^2 + -0.004 x1^3 | (x1)' =  206.978 x0 + -197.467 x1 + -0.017 x0^2 + -0.008 x1^2 + -0.001 x0^3 +  0.006 x0^2 x1 + -0.009 x0 x1^2 +  0.004 x1^3
2,80.0,,,stlsq,20000.0,0.05,1.0,3,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,16,20,80.0,0.6274858396500349,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[0.0, 212.10330263608083, -220.74215597835448, 0.03851080234352952, 0.0, -0.017996350095655138, 0.0010505180445737126, -0.007219228264676633, 0.010871886977520395, -0.004529057087768944], [0.0, 221.36903731255438, -212.7643551148809, -0.004788541038570848, 0.0, -0.017592637962834074, -0.0017921400930529113, 0.007858239456013374, -0.010390383055260221, 0.004179976484151623]]",(x0)' =  212.103 x0 + -220.742 x1 +  0.039 x0^2 + -0.018 x1^2 +  0.001 x0^3 + -0.007 x0^2 x1 +  0.011 x0 x1^2 + -0.005 x1^3 | (x1)' =  221.369 x0 + -212.764 x1 + -0.005 x0^2 + -0.018 x1^2 + -0.002 x0^3 +  0.008 x0^2 x1 + -0.010 x0 x1^2 +  0.004 x1^3
3,80.0,,,stlsq,20000.0,0.05,1.0,3,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,16,20,80.0,0.3440952878445387,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[0.0, 231.71961719124047, -238.23817483842527, 0.018025734480549248, 0.0, -0.004840817462819497, -0.0032363475310002604, 0.005965425821538513, -0.002280638310037377, -0.00028192948783058104], [0.0, 238.57084652624218, -232.0701469362552, 0.017118920985483985, 0.0, -0.029417502213811265, -0.002233377031712846, 0.010597543355435014, -0.014740282403392082, 0.006205664739978072]]",(x0)' =  231.720 x0 + -238.238 x1 +  0.018 x0^2 + -0.005 x1^2 + -0.003 x0^3 +  0.006 x0^2 x1 + -0.002 x0 x1^2 | (x1)' =  238.571 x0 + -232.070 x1 +  0.017 x0^2 + -0.029 x1^2 + -0.002 x0^3 +  0.011 x0^2 x1 + -0.015 x0 x1^2 +  0.006 x1^3
4,80.0,,,stlsq,20000.0,0.05,1.0,3,2,2,8.0,8.0,0,0.0,finite_difference,success,,11,20,55.0,0.35439534299075603,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[0.0, 81.98272932583002, -96.57381897877843, 0.0, 0.036789740204679656, 0.0, -0.0006764859098174015, 0.0, 0.001883917361649198, -0.0008688759343947339], [0.0, 96.21549402161237, -81.23342819463836, 0.0, -0.0443712426508176, 0.0, -0.00013828962373945856, 0.0, 0.0, -0.00011683509845451378]]",(x0)' =  81.983 x0 + -96.574 x1 +  0.037 x0 x1 + -0.001 x0^3 +  0.002 x0 x1^2 + -0.001 x1^3 | (x1)' =  96.215 x0 + -81.233 x1 + -0.044 x0 x1
5,80.0,,,stlsq,20000.0,0.05,1.0,3,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,12,20,60.0,0.34988692216575146,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[0.0, 91.23663160829342, -105.68439899853786, 0.0, 0.03589002108476354, 0.0, -0.0011242645122289234, 0.001626825530158574, 0.0, -0.00016624549400159896], [0.0, 104.7104703758526, -90.30882470335723, 0.0, -0.0393190339082215, 0.0, 0.00024195534302094498, 0.0, -0.001320083510670458, 0.0007758092918890381]]",(x0)' =  91.237 x0 + -105.684 x1 +  0.036 x0 x1 + -0.001 x0^3 +  0.002 x0^2 x1 | (x1)' =  104.710 x0 + -90.309 x1 + -0.039 x0 x1 + -0.001 x0 x1^2 +  0.001 x1^3
6,80.0,,,stlsq,20000.0,0.05,1.0,3,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,12,20,60.0,0.30105050280690193,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[0.0, 105.27960022284488, -117.45380023308228, 0.0, 0.0, 0.019901636221066592, -0.0012654765975941631, 0.001997710349944762, 0.0, -0.0003754337028193118], [0.0, 117.1131472442168, -105.09722349165365, 0.0, -0.023741254425765357, 0.0, 0.0005950066255857093, 0.0, -0.0023906792699313977, 0.0014546054402470574]]",(x0)' =  105.280 x0 + -117.454 x1 +  0.020 x1^2 + -0.001 x0^3 +  0.002 x0^2 x1 | (x1)' =  117.113 x0 + -105.097 x1 + -0.024 x0 x1 +  0.001 x0^3 + -0.002 x0 x1^2 +  0.001 x1^3
7,80.0,,,stlsq,20000.0,0.05,1.0,3,2,5,20.0,20.0,0,0.0,finite_difference,success,,10,20,50.0,0.28619976341724396,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[0.0, 16.452905922212878, -33.914462760968895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008551444867127302, -8.695436287185926e-05], [0.0, 34.55005379363177, -16.86777823997872, 0.10094397133038945, -0.12630854568224292, 0.0, 7.587882077125014e-05, -0.0007753950733275651, 0.0, 0.0]]",(x0)' =  16.453 x0 + -33.914 x1 +  0.001 x0 x1^2 | (x1)' =  34.550 x0 + -16.868 x1 +  0.101 x0^2 + -0.126 x0 x1 + -0.001 x0^2 x1
8,80.0,,,stlsq,20000.0,0.05,1.0,3,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,10,20,50.0,0.32994554564356804,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[0.0, 16.783356777471436, -34.16031445806611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008611277255943017, -9.09206345639877e-05], [0.0, 34.72686176752336, -17.174101326496988, 0.09950924619541347, -0.12414555570920181, 0.0, 8.686412701818266e-05, -0.0007860012979188569, 0.0, 0.0]]",(x0)' =  16.783 x0 + -34.160 x1 +  0.001 x0 x1^2 | (x1)' =  34.727 x0 + -17.174 x1 +  0.100 x0^2 + -0.124 x0 x1 + -0.001 x0^2 x1
9,80.0,,,stlsq,20000.0,0.05,1.0,3,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,11,20,55.0,0.2948020566254854,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3""]","[[0.0, 20.571105329348505, -39.17152826004201, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010145807098476535, -0.00017585570225368025], [0.0, 39.12009763138521, -20.830668388714585, 0.07802059559749487, -0.1008112373074559, 0.0, 0.00031366708419011685, -0.00111864298163987, 0.0, 6.23954013731942e-05]]",(x0)' =  20.571 x0 + -39.172 x1 +  0.001 x0 x1^2 | (x1)' =  39.120 x0 + -20.831 x1 +  0.078 x0^2 + -0.101 x0 x1 + -0.001 x0^2 x1
10,80.0,,,stlsq,20000.0,0.05,1.0,3,4,1,4.0,12.0,0,0.0,finite_difference,success,,76,140,54.285714285714285,2.3787220995873213,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2"", ""x0^3"", ""x0^2 x1"", ""x0^2 x2"", ""x0^2 x3"", ""x0 x1^2"", ""x0 x1 x2"", ""x0 x1 x3"", ""x0 x2^2"", ""x0 x2 x3"", ""x0 x3^2"", ""x1^3"", ""x1^2 x2"", ""x1^2 x3"", ""x1 x2^2"", ""x1 x2 x3"", ""x1 x3^2"", ""x2^3"", ""x2^2 x3"", ""x2 x3^2"", ""x3^3""]","[[0.0, 258.6941347523646, -373.83792091021036, 169.16199426919007, -61.76597782362051, -0.1519811158746723, 0.3694793773125353, 0.0, -0.09835476245091986, -0.17969111515077263, 0.0, 0.0674473497631555, 0.0, 0.0, 0.0, -0.000843081732574825, 0.0, -0.00028013106932186523, 0.00018590398399869292, 0.007920052758500986, 0.0, -0.005624989288533985, -0.012742109446340815, 0.018544641185432007, -0.005073414116392823, -0.017466594751398487, 0.03486843574614485, -0.007929051719543324, -0.017930669852317845, 0.007459714167633269, -0.0007704449973334253, 0.0, 0.0, 0.0, 0.0], [0.0, 124.99139277073763, 0.015911262903860347, -124.94639415649883, -0.04952627297951103, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.222907692156368e-05, 7.218884850251018e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0003142186050850962, 0.0002568254837527452, -5.201541618500696e-05, -0.00023049370727661888, 0.0, 0.0010341148123185402, 0.0, -0.0004559917970620402, -0.0010956856787720016, 0.0009058971925232694, -8.803482459340533e-05, 0.0], [0.0, -0.07913473722072872, 125.1333556152836, -0.042741968790874926, -124.99650677623258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.3649240541287054e-05, 0.00015838556997942524, -0.00015589592938649343, -6.061422888446023e-05, 0.0, 8.169048410485798e-05, 0.0, 0.0, 0.0, -3.7909242859299056e-05, 0.00018864107537803408, 0.0, -0.00016022802498436183, 0.0, 0.0, -7.253567194376572e-05, 0.0, 0.00015641203586624122, -7.445047899890343e-05], [0.0, 61.0182335954383, -165.12663377446214, 369.6911799349242, -257.9919169423097, 0.1758299514787884, -0.28523354893262337, 0.0, 0.0, 0.0, 0.2812573141583064, 0.0, -0.1924658437156731, 0.0, 0.014592996673855352, 0.0, 0.0, 0.005212744703580587, -0.0016511443323503998, 0.0, -0.013341064583746932, -0.0013396754206556247, 0.01415788265313318, -0.01687598355058482, 0.009284373245038453, 0.0, 0.007462839465621706, 0.012835428916459633, -0.018519642022224416, 0.0, -0.006997173220376652, 0.009117096065099682, -0.00038016657984888135, 0.0, 0.0007203804275240882]]",(x0)' =  258.694 x0 + -373.838 x1 +  169.162 x2 + -61.766 x3 + -0.152 x0^2 +  0.369 x0 x1 + -0.098 x0 x3 + -0.180 x1^2 +  0.067 x1 x3 + -0.001 x0^3 +  0.008 x0 x1^2 + -0.006 x0 x1 x3 + -0.013 x0 x2^2 +  0.019 x0 x2 x3 + -0.005 x0 x3^2 + -0.017 x1^3 +  0.035 x1^2 x2 + -0.008 x1^2 x3 + -0.018 x1 x2^2 +  0.007 x1 x2 x3 + -0.001 x1 x3^2 | (x1)' =  124.991 x0 +  0.016 x1 + -124.946 x2 + -0.050 x3 +  0.001 x1 x2^2 + -0.001 x2^3 +  0.001 x2^2 x3 | (x2)' = -0.079 x0 +  125.133 x1 + -0.043 x2 + -124.997 x3 | (x3)' =  61.018 x0 + -165.127 x1 +  369.691 x2 + -257.992 x3 +  0.176 x0^2 + -0.285 x0 x1 +  0.281 x1 x2 + -0.192 x2^2 +  0.015 x3^2 +  0.005 x0^2 x2 + -0.002 x0^2 x3 + -0.013 x0 x1 x2 + -0.001 x0 x1 x3 +  0.014 x0 x2^2 + -0.017 x0 x2 x3 +  0.009 x0 x3^2 +  0.007 x1^2 x2 +  0.013 x1^2 x3 + -0.019 x1 x2^2 + -0.007 x1 x3^2 +  0.009 x2^3 +  0.001 x3^3
