configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,stlsq_threshold,n_frequencies,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
11,80.0,0.00022397498597370244,37.49490932187706,1000.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,26,32,81.25,0.209987111389637,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[272.0884912037681, 59.31917254120135, -380.0349118533272, -79.68734403659225, 167.65820830274166, 19.742019212103365, -72.84342212410101, 0.0], [125.61741890515451, 29.098867675980614, 0.0, 0.0, -97.8523355665557, -33.177573428741226, -30.99706838953378, 4.13897206594295], [27.177396527056622, 0.5929804643752149, 102.27667587221767, 27.45382676543956, 0.0, 0.0, -126.80094639237048, -27.982699852955477], [73.48612256871675, 0.0, -169.39856780157754, -20.644214225186914, 380.16827336356386, 78.97957562844634, -271.3220447712629, -57.72457696738045]]",(x0)' =  272.088 sin(1 x0) +  59.319 cos(1 x0) + -380.035 sin(1 x1) + -79.687 cos(1 x1) +  167.658 sin(1 x2) +  19.742 cos(1 x2) + -72.843 sin(1 x3) | (x1)' =  125.617 sin(1 x0) +  29.099 cos(1 x0) + -97.852 sin(1 x2) + -33.178 cos(1 x2) + -30.997 sin(1 x3) +  4.139 cos(1 x3) | (x2)' =  27.177 sin(1 x0) +  0.593 cos(1 x0) +  102.277 sin(1 x1) +  27.454 cos(1 x1) + -126.801 sin(1 x3) + -27.983 cos(1 x3) | (x3)' =  73.486 sin(1 x0) + -169.399 sin(1 x1) + -20.644 cos(1 x1) +  380.168 sin(1 x2) +  78.980 cos(1 x2) + -271.322 sin(1 x3) + -57.725 cos(1 x3)
12,80.0,0.00022397498597370244,37.49490932187706,1000.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,26,32,81.25,0.21746424958109856,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[330.05314924728737, 17.784236365719995, -511.6682271051573, 0.0, 288.1352137563305, -18.990688936345517, -117.24444308592543, 0.0], [225.143602179642, 24.95056879701411, -279.0438329682421, 0.0, 189.1705849627554, -30.2913208928185, -138.43128191733825, 5.533696156795095], [134.54174000958656, 1.1774793948656632, -184.10865379703398, 21.19924461950355, 278.70919610886125, 0.0, -226.34449421976106, -22.18291929681432], [114.96015688098123, 0.0, -286.3685717741714, 18.74429104339958, 512.9291101733743, 0.0, -331.12008665504635, -17.437616388702686]]",(x0)' =  330.053 sin(1 x0) +  17.784 cos(1 x0) + -511.668 sin(1 x1) +  288.135 sin(1 x2) + -18.991 cos(1 x2) + -117.244 sin(1 x3) | (x1)' =  225.144 sin(1 x0) +  24.951 cos(1 x0) + -279.044 sin(1 x1) +  189.171 sin(1 x2) + -30.291 cos(1 x2) + -138.431 sin(1 x3) +  5.534 cos(1 x3) | (x2)' =  134.542 sin(1 x0) +  1.177 cos(1 x0) + -184.109 sin(1 x1) +  21.199 cos(1 x1) +  278.709 sin(1 x2) + -226.344 sin(1 x3) + -22.183 cos(1 x3) | (x3)' =  114.960 sin(1 x0) + -286.369 sin(1 x1) +  18.744 cos(1 x1) +  512.929 sin(1 x2) + -331.120 sin(1 x3) + -17.438 cos(1 x3)
13,80.0,0.00022397498597370244,37.49490932187706,1000.0,1,4,2,8.0,24.0,0,0.0,finite_difference,success,,22,32,68.75,0.19465864449739456,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[87.88475757069018, 15.864692085591681, -110.59422611308435, -23.871987581788296, 2.9601763398449847, 0.0, 0.0, 7.102306412765701], [85.21544111288098, 17.468048621182014, 0.0, 0.0, -87.5537651689469, -17.199327797089257, 2.573773534513158, 0.0], [-1.879686643430654, 0.0, 86.50617536660683, 17.57468960963499, 0.0, 0.0, -85.50337772135701, -17.328613199445837], [0.0, -9.357600707028961, -1.1642055105951272, 0.0, 106.99036937370451, 26.870866657866255, -85.89210062322773, -17.058445389404117]]",(x0)' =  87.885 sin(1 x0) +  15.865 cos(1 x0) + -110.594 sin(1 x1) + -23.872 cos(1 x1) +  2.960 sin(1 x2) +  7.102 cos(1 x3) | (x1)' =  85.215 sin(1 x0) +  17.468 cos(1 x0) + -87.554 sin(1 x2) + -17.199 cos(1 x2) +  2.574 sin(1 x3) | (x2)' = -1.880 sin(1 x0) +  86.506 sin(1 x1) +  17.575 cos(1 x1) + -85.503 sin(1 x3) + -17.329 cos(1 x3) | (x3)' = -9.358 cos(1 x0) + -1.164 sin(1 x1) +  106.990 sin(1 x2) +  26.871 cos(1 x2) + -85.892 sin(1 x3) + -17.058 cos(1 x3)
14,80.0,0.00022397498597370244,37.49490932187706,1000.0,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,22,32,68.75,0.20157607272267342,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[100.67710581659516, 17.27353899168236, -130.4664317750726, -25.205494823440457, 12.805416192799521, 0.0, 0.0, 7.1524483304346935], [85.56775940564303, 17.060991937093164, 0.0, 0.0, -88.9477265731263, -16.804518228042216, 3.960936724742703, 0.0], [-3.6223253129678965, 0.0, 88.25351629304718, 17.21639989356012, 0.0, 0.0, -85.84753040797048, -16.99908213134465], [0.0, -9.134569469272927, -11.177897283256527, 0.0, 126.92524694115183, 28.22091451852958, -98.5777553687212, -18.727223974806723]]",(x0)' =  100.677 sin(1 x0) +  17.274 cos(1 x0) + -130.466 sin(1 x1) + -25.205 cos(1 x1) +  12.805 sin(1 x2) +  7.152 cos(1 x3) | (x1)' =  85.568 sin(1 x0) +  17.061 cos(1 x0) + -88.948 sin(1 x2) + -16.805 cos(1 x2) +  3.961 sin(1 x3) | (x2)' = -3.622 sin(1 x0) +  88.254 sin(1 x1) +  17.216 cos(1 x1) + -85.848 sin(1 x3) + -16.999 cos(1 x3) | (x3)' = -9.135 cos(1 x0) + -11.178 sin(1 x1) +  126.925 sin(1 x2) +  28.221 cos(1 x2) + -98.578 sin(1 x3) + -18.727 cos(1 x3)
15,80.0,0.00022397498597370244,37.49490932187706,1000.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,25,32,78.125,0.2433722410351038,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[122.84515446488085, 18.60469106589173, -154.17760655191583, -19.907180327133602, 19.02883972776466, 0.0, -0.6935508779654219, 0.0], [84.49547476987344, 13.600140195856113, -13.780075908899349, 0.0, -58.873671202453004, -13.423009927469646, -13.895647008213963, 0.0], [13.313322905340842, 0.0, 57.977969823338164, 13.462769426002158, 16.388350480916667, 0.0, -86.26715882335982, -13.279063090558694], [2.682218834724051, -8.452205939906644, -22.493071992281322, 0.0, 156.02063810205559, 27.163972576121388, -123.22552428976641, -18.72613479566253]]",(x0)' =  122.845 sin(1 x0) +  18.605 cos(1 x0) + -154.178 sin(1 x1) + -19.907 cos(1 x1) +  19.029 sin(1 x2) + -0.694 sin(1 x3) | (x1)' =  84.495 sin(1 x0) +  13.600 cos(1 x0) + -13.780 sin(1 x1) + -58.874 sin(1 x2) + -13.423 cos(1 x2) + -13.896 sin(1 x3) | (x2)' =  13.313 sin(1 x0) +  57.978 sin(1 x1) +  13.463 cos(1 x1) +  16.388 sin(1 x2) + -86.267 sin(1 x3) + -13.279 cos(1 x3) | (x3)' =  2.682 sin(1 x0) + -8.452 cos(1 x0) + -22.493 sin(1 x1) +  156.021 sin(1 x2) +  27.164 cos(1 x2) + -123.226 sin(1 x3) + -18.726 cos(1 x3)
16,80.0,0.00022397498597370244,37.49490932187706,1000.0,1,4,5,20.0,60.0,0,0.0,finite_difference,success,,12,32,37.5,0.17380421608686447,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[18.30100229429112, 0.0, -48.45848762165088, 0.0, 9.795988863042973, 0.0, 8.359622230670409, 0.0], [42.72836506220582, 0.0, 0.0, 0.0, -42.49624631670969, 0.0, 0.0, 0.0], [0.0, 0.0, 42.74966014119744, 0.0, 0.0, 0.0, -42.46279053827708, 0.0], [-8.1556736762069, 0.0, -9.979612760209358, 0.0, 49.08895881773071, 0.0, -18.707741985671593, 0.0]]",(x0)' =  18.301 sin(1 x0) + -48.458 sin(1 x1) +  9.796 sin(1 x2) +  8.360 sin(1 x3) | (x1)' =  42.728 sin(1 x0) + -42.496 sin(1 x2) | (x2)' =  42.750 sin(1 x1) + -42.463 sin(1 x3) | (x3)' = -8.156 sin(1 x0) + -9.980 sin(1 x1) +  49.089 sin(1 x2) + -18.708 sin(1 x3)
17,80.0,0.00022397498597370244,37.49490932187706,1000.0,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,12,32,37.5,0.18379503674805164,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[18.73303822908518, 0.0, -48.90409852713289, 0.0, 10.095519614984537, 0.0, 8.26912152248922, 0.0], [42.65384779438997, 0.0, 0.0, 0.0, -42.49702510102262, 0.0, 0.0, 0.0], [0.0, 0.0, 42.67624056792821, 0.0, 0.0, 0.0, -42.45734642016759, 0.0], [-8.107168798640897, 0.0, -10.194318899737414, 0.0, 49.37036177417912, 0.0, -19.04802174991197, 0.0]]",(x0)' =  18.733 sin(1 x0) + -48.904 sin(1 x1) +  10.096 sin(1 x2) +  8.269 sin(1 x3) | (x1)' =  42.654 sin(1 x0) + -42.497 sin(1 x2) | (x2)' =  42.676 sin(1 x1) + -42.457 sin(1 x3) | (x3)' = -8.107 sin(1 x0) + -10.194 sin(1 x1) +  49.370 sin(1 x2) + -19.048 sin(1 x3)
18,80.0,0.00022397498597370244,37.49490932187706,1000.0,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,14,32,43.75,0.1920436080545187,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[23.94142064293734, 0.0, -57.618883200791394, 0.0, 14.973576165907824, 0.0, 6.48880124583489, 0.0], [45.24341625954678, 0.0, 0.0, 0.0, -50.47340396897464, 0.0, 8.14683489688706, 0.0], [-7.886457285504052, 0.0, 50.20905771909162, 0.0, 0.0, 0.0, -45.40946943305685, 0.0], [-6.389427568036095, 0.0, -14.829484122191, 0.0, 57.41383853462594, 0.0, -23.89542517521037, 0.0]]",(x0)' =  23.941 sin(1 x0) + -57.619 sin(1 x1) +  14.974 sin(1 x2) +  6.489 sin(1 x3) | (x1)' =  45.243 sin(1 x0) + -50.473 sin(1 x2) +  8.147 sin(1 x3) | (x2)' = -7.886 sin(1 x0) +  50.209 sin(1 x1) + -45.409 sin(1 x3) | (x3)' = -6.389 sin(1 x0) + -14.829 sin(1 x1) +  57.414 sin(1 x2) + -23.895 sin(1 x3)
19,80.0,0.00022397498597370244,37.49490932187706,1000.0,1,6,1,4.0,20.0,0,0.0,finite_difference,success,,49,72,68.05555555555556,0.42895062640309334,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)"", ""sin(1 x4)"", ""cos(1 x4)"", ""sin(1 x5)"", ""cos(1 x5)""]","[[225.01612776194438, 47.79423499116667, -278.35257914600186, -59.04638450139675, 61.96895707295426, 5.932614625897098, 0.0, 0.0, -24.61953730965004, 0.0, 0.0, 4.925288886858007], [130.36926504918162, 29.34958111882338, 0.0, 0.0, -116.63192721504828, -32.25974011849937, -7.7616471488376915, 2.8982456984487697, 0.0, 0.0, -10.920434646244596, 0.0], [22.023797887415096, 2.05713106028693, 105.78441049698162, 26.657787170173794, 0.0, 0.0, -110.37512335636339, -31.5099199701704, -5.793463472702815, 2.926567929200264, -13.211814160605641, 0.0], [14.415499458253123, 0.0, 1.2757740398342794, 2.1774513325104423, 113.43805608959856, 26.08978392673511, 0.0, 0.0, -103.53023207842276, -30.467911373497202, -24.697859271562287, 2.367506904872374], [11.949782317751167, 0.0, 0.0, 0.0, 3.25386122894726, 1.255306915558423, 120.58822737850029, 26.834200933571744, 0.0, 0.0, -131.19079353491975, -27.964653265573148], [-11.808566962322834, -5.883895913079005, 39.55032316052521, 0.0, 0.0, 0.0, -70.23162320995999, -8.006264347501283, 283.19065958437324, 61.9349001050801, -225.98236399970926, -47.882280438538686]]",(x0)' =  225.016 sin(1 x0) +  47.794 cos(1 x0) + -278.353 sin(1 x1) + -59.046 cos(1 x1) +  61.969 sin(1 x2) +  5.933 cos(1 x2) + -24.620 sin(1 x4) +  4.925 cos(1 x5) | (x1)' =  130.369 sin(1 x0) +  29.350 cos(1 x0) + -116.632 sin(1 x2) + -32.260 cos(1 x2) + -7.762 sin(1 x3) +  2.898 cos(1 x3) + -10.920 sin(1 x5) | (x2)' =  22.024 sin(1 x0) +  2.057 cos(1 x0) +  105.784 sin(1 x1) +  26.658 cos(1 x1) + -110.375 sin(1 x3) + -31.510 cos(1 x3) + -5.793 sin(1 x4) +  2.927 cos(1 x4) + -13.212 sin(1 x5) | (x3)' =  14.415 sin(1 x0) +  1.276 sin(1 x1) +  2.177 cos(1 x1) +  113.438 sin(1 x2) +  26.090 cos(1 x2) + -103.530 sin(1 x4) + -30.468 cos(1 x4) + -24.698 sin(1 x5) +  2.368 cos(1 x5) | (x4)' =  11.950 sin(1 x0) +  3.254 sin(1 x2) +  1.255 cos(1 x2) +  120.588 sin(1 x3) +  26.834 cos(1 x3) + -131.191 sin(1 x5) + -27.965 cos(1 x5) | (x5)' = -11.809 sin(1 x0) + -5.884 cos(1 x0) +  39.550 sin(1 x1) + -70.232 sin(1 x3) + -8.006 cos(1 x3) +  283.191 sin(1 x4) +  61.935 cos(1 x4) + -225.982 sin(1 x5) + -47.882 cos(1 x5)
20,80.0,0.00022397498597370244,37.49490932187706,1000.0,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,50,72,69.44444444444444,0.44541423954069614,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)"", ""sin(1 x4)"", ""cos(1 x4)"", ""sin(1 x5)"", ""cos(1 x5)""]","[[272.05517325949046, 55.335174950314034, -379.5493940061306, -71.59212534434816, 167.18427308769483, 11.780062564384563, -72.7424101534821, 0.0, 0.0, 0.0, 0.0, 4.3280335901912625], [129.25411936208457, 29.628295161133327, 0.0, 0.0, -121.01513566463974, -34.490740849083274, 11.33694486742461, 4.946747687347673, -24.152450901650457, 0.0, 0.0, 0.0], [36.78318738381914, 0.797718150711918, 81.04105641916186, 28.166864075986542, 0.0, 0.0, -87.03631276410617, -33.66218636275794, -19.461399818731483, 4.884715951344994, -12.593234007621367, 0.0], [14.05050329444898, 0.0, 14.149146677973159, 1.203458279070418, 90.72963452786033, 27.217528775435074, 0.0, 0.0, -78.73838374275736, -32.24915170454161, -39.563831694572485, 4.039909447652463], [9.426761539409625, -5.675018887720932, 7.729849231864727, 0.0, -3.3562331268645065, 10.27795258220707, 120.44837641165243, 21.02410851748388, 0.0, 0.0, -129.4959443725128, -25.869664960822558], [0.0, -5.272880451305678, 0.0, 0.0, 74.27170936482393, 0.0, -170.66476289782716, -10.99505640017645, 380.5849617600836, 69.10062215215233, -271.284377531555, -52.78339836377527]]",(x0)' =  272.055 sin(1 x0) +  55.335 cos(1 x0) + -379.549 sin(1 x1) + -71.592 cos(1 x1) +  167.184 sin(1 x2) +  11.780 cos(1 x2) + -72.742 sin(1 x3) +  4.328 cos(1 x5) | (x1)' =  129.254 sin(1 x0) +  29.628 cos(1 x0) + -121.015 sin(1 x2) + -34.491 cos(1 x2) +  11.337 sin(1 x3) +  4.947 cos(1 x3) + -24.152 sin(1 x4) | (x2)' =  36.783 sin(1 x0) +  0.798 cos(1 x0) +  81.041 sin(1 x1) +  28.167 cos(1 x1) + -87.036 sin(1 x3) + -33.662 cos(1 x3) + -19.461 sin(1 x4) +  4.885 cos(1 x4) + -12.593 sin(1 x5) | (x3)' =  14.051 sin(1 x0) +  14.149 sin(1 x1) +  1.203 cos(1 x1) +  90.730 sin(1 x2) +  27.218 cos(1 x2) + -78.738 sin(1 x4) + -32.249 cos(1 x4) + -39.564 sin(1 x5) +  4.040 cos(1 x5) | (x4)' =  9.427 sin(1 x0) + -5.675 cos(1 x0) +  7.730 sin(1 x1) + -3.356 sin(1 x2) +  10.278 cos(1 x2) +  120.448 sin(1 x3) +  21.024 cos(1 x3) + -129.496 sin(1 x5) + -25.870 cos(1 x5) | (x5)' = -5.273 cos(1 x0) +  74.272 sin(1 x2) + -170.665 sin(1 x3) + -10.995 cos(1 x3) +  380.585 sin(1 x4) +  69.101 cos(1 x4) + -271.284 sin(1 x5) + -52.783 cos(1 x5)
