configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,stlsq_threshold,n_frequencies,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,80.0,0.00022397498597370244,37.49490932187706,1000.0,2,2,1,4.0,4.0,0,0.0,finite_difference,success,,8,16,50.0,1.5714773628860712,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[202.79685816570841, 42.26919984589328, -216.28621877131928, -43.79483669937117, 0.0, 0.0, 0.0, 0.0], [214.4046852306769, 46.18222787364328, -201.1051008740806, -44.65898724571705, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  202.797 sin(1 x0) +  42.269 cos(1 x0) + -216.286 sin(1 x1) + -43.795 cos(1 x1) | (x1)' =  214.405 sin(1 x0) +  46.182 cos(1 x0) + -201.105 sin(1 x1) + -44.659 cos(1 x1)
2,80.0,0.00022397498597370244,37.49490932187706,1000.0,2,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,8,16,50.0,0.4275499489158392,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[218.36695852781594, 45.0074790703613, -230.45732709918974, -46.371251874804805, 0.0, 0.0, 0.0, 0.0], [228.64835894079138, 48.557600608717216, -216.7121746760287, -47.198939294103354, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  218.367 sin(1 x0) +  45.007 cos(1 x0) + -230.457 sin(1 x1) + -46.371 cos(1 x1) | (x1)' =  228.648 sin(1 x0) +  48.558 cos(1 x0) + -216.712 sin(1 x1) + -47.199 cos(1 x1)
3,80.0,0.00022397498597370244,37.49490932187706,1000.0,2,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,12,16,75.0,0.7597941793501377,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[303.2064796177387, 26.55008505879141, -313.5069099972386, -27.387243916207098, -55.618643486442345, 0.0, 57.538338164806, 0.0], [313.5851221504948, 26.194393941545005, -303.34459223070047, -25.366313873028393, -57.87195759127306, 0.0, 55.986156881721435, 0.0]]",(x0)' =  303.206 sin(1 x0) +  26.550 cos(1 x0) + -313.507 sin(1 x1) + -27.387 cos(1 x1) + -55.619 sin(2 x0) +  57.538 sin(2 x1) | (x1)' =  313.585 sin(1 x0) +  26.194 cos(1 x0) + -303.345 sin(1 x1) + -25.366 cos(1 x1) + -57.872 sin(2 x0) +  55.986 sin(2 x1)
4,80.0,0.00022397498597370244,37.49490932187706,1000.0,2,2,2,8.0,8.0,0,0.0,finite_difference,success,,12,16,75.0,0.3214893378317356,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[108.66179468240426, 10.418819288299426, -132.94983930431297, -12.620675948141136, -21.043151102377895, 0.0, 26.349040648524703, 0.0], [131.67330137695834, 13.89488737886043, -107.86245174972966, -11.762252598045436, -26.34642977523343, 0.0, 21.407858615950033, 0.0]]",(x0)' =  108.662 sin(1 x0) +  10.419 cos(1 x0) + -132.950 sin(1 x1) + -12.621 cos(1 x1) + -21.043 sin(2 x0) +  26.349 sin(2 x1) | (x1)' =  131.673 sin(1 x0) +  13.895 cos(1 x0) + -107.862 sin(1 x1) + -11.762 cos(1 x1) + -26.346 sin(2 x0) +  21.408 sin(2 x1)
5,80.0,0.00022397498597370244,37.49490932187706,1000.0,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,12,16,75.0,0.2567792907357216,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[119.97931211670384, 10.977261493886516, -143.64499765971863, -13.080902183599001, -23.07741842917436, 0.0, 28.123034443293935, 0.0], [142.48843052840357, 14.143818140594535, -119.24581184300672, -12.105669897831007, -28.14306104519431, 0.0, 23.438795062747683, 0.0]]",(x0)' =  119.979 sin(1 x0) +  10.977 cos(1 x0) + -143.645 sin(1 x1) + -13.081 cos(1 x1) + -23.077 sin(2 x0) +  28.123 sin(2 x1) | (x1)' =  142.488 sin(1 x0) +  14.144 cos(1 x0) + -119.246 sin(1 x1) + -12.106 cos(1 x1) + -28.143 sin(2 x0) +  23.439 sin(2 x1)
6,80.0,0.00022397498597370244,37.49490932187706,1000.0,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,12,16,75.0,0.2906565871089697,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[141.8720848138844, 11.223945176096464, -160.92203387692405, -12.64282128571665, -27.77893202985781, 0.0, 31.221199376289857, 0.0], [161.0890170958105, 11.142366086032965, -142.0929205725722, -9.735878925374857, -31.717147371518244, 0.0, 28.234201587221552, 0.0]]",(x0)' =  141.872 sin(1 x0) +  11.224 cos(1 x0) + -160.922 sin(1 x1) + -12.643 cos(1 x1) + -27.779 sin(2 x0) +  31.221 sin(2 x1) | (x1)' =  161.089 sin(1 x0) +  11.142 cos(1 x0) + -142.093 sin(1 x1) + -9.736 cos(1 x1) + -31.717 sin(2 x0) +  28.234 sin(2 x1)
7,80.0,0.00022397498597370244,37.49490932187706,1000.0,2,2,5,20.0,20.0,0,0.0,finite_difference,success,,6,16,37.5,0.21140875108540058,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[20.750274045784305, 0.0, -50.412672923427834, 0.0, 0.0, 0.0, 9.786535794955373, 0.0], [50.994078093740825, 0.0, -21.13456868577227, 0.0, -9.850383465041686, 0.0, 0.0, 0.0]]",(x0)' =  20.750 sin(1 x0) + -50.413 sin(1 x1) +  9.787 sin(2 x1) | (x1)' =  50.994 sin(1 x0) + -21.135 sin(1 x1) + -9.850 sin(2 x0)
8,80.0,0.00022397498597370244,37.49490932187706,1000.0,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,7,16,43.75,0.19998700357973576,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[21.134629283785518, 0.0, -50.646941253569565, 0.0, 0.0, 0.0, 9.709368775043991, 0.0], [52.94888467072511, 0.0, -27.17119564099352, 0.0, -11.151194202843243, 0.0, 7.223118388573153, 0.0]]",(x0)' =  21.135 sin(1 x0) + -50.647 sin(1 x1) +  9.709 sin(2 x1) | (x1)' =  52.949 sin(1 x0) + -27.171 sin(1 x1) + -11.151 sin(2 x0) +  7.223 sin(2 x1)
9,80.0,0.00022397498597370244,37.49490932187706,1000.0,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,8,16,50.0,0.34562056325376034,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[32.7166325088014, 0.0, -59.89239968176529, 0.0, -8.5850002599265, 0.0, 12.328226144580759, 0.0], [60.08271426301068, 0.0, -32.962295078076735, 0.0, -12.668453850145886, 0.0, 8.895526709460194, 0.0]]",(x0)' =  32.717 sin(1 x0) + -59.892 sin(1 x1) + -8.585 sin(2 x0) +  12.328 sin(2 x1) | (x1)' =  60.083 sin(1 x0) + -32.962 sin(1 x1) + -12.668 sin(2 x0) +  8.896 sin(2 x1)
10,80.0,0.00022397498597370244,37.49490932187706,1000.0,2,4,1,4.0,12.0,0,0.0,finite_difference,success,,37,64,57.8125,1.3760858215391636,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)"", ""sin(2 x2)"", ""cos(2 x2)"", ""sin(2 x3)"", ""cos(2 x3)""]","[[242.39131302420037, 48.0409931098926, -317.9660597288069, -64.5404895161348, 108.00140359124201, 15.296679045451034, -57.37387213801966, 0.0, 0.0, 0.0, -2.224665227593002, 0.0, 17.21702127762264, 0.0, 0.0, 0.0], [162.98948354783172, 19.938159197039173, 0.0, 0.0, -136.94826735278596, -21.89992977818774, -29.612488846339613, 1.810494803479362, -32.39760944142916, 0.0, 0.0, 0.0, 23.447924962538487, 0.0, 11.11259466338771, 0.0], [26.424536098976844, 2.2453704044639258, 140.37164909221747, 17.228319777081733, 0.0, 0.0, -164.0513749101633, -19.262588892012918, -10.818799748850337, 0.0, -23.612905398771314, 0.0, 0.0, 0.0, 32.83653567153229, 0.0], [61.87431205341943, 0.0, -115.49758123039611, -17.197815482434166, 320.0195761921437, 66.41227333590906, -241.42264231906748, -48.05833310093477, -2.903230018157648, 0.0, -13.100965411007316, 0.0, 0.8005983609395892, 0.0, 0.0, 0.0]]",(x0)' =  242.391 sin(1 x0) +  48.041 cos(1 x0) + -317.966 sin(1 x1) + -64.540 cos(1 x1) +  108.001 sin(1 x2) +  15.297 cos(1 x2) + -57.374 sin(1 x3) + -2.225 sin(2 x1) +  17.217 sin(2 x2) | (x1)' =  162.989 sin(1 x0) +  19.938 cos(1 x0) + -136.948 sin(1 x2) + -21.900 cos(1 x2) + -29.612 sin(1 x3) +  1.810 cos(1 x3) + -32.398 sin(2 x0) +  23.448 sin(2 x2) +  11.113 sin(2 x3) | (x2)' =  26.425 sin(1 x0) +  2.245 cos(1 x0) +  140.372 sin(1 x1) +  17.228 cos(1 x1) + -164.051 sin(1 x3) + -19.263 cos(1 x3) + -10.819 sin(2 x0) + -23.613 sin(2 x1) +  32.837 sin(2 x3) | (x3)' =  61.874 sin(1 x0) + -115.498 sin(1 x1) + -17.198 cos(1 x1) +  320.020 sin(1 x2) +  66.412 cos(1 x2) + -241.423 sin(1 x3) + -48.058 cos(1 x3) + -2.903 sin(2 x0) + -13.101 sin(2 x1) +  0.801 sin(2 x2)
