configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,stlsq_threshold,n_frequencies,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,2,1,4.0,4.0,0,0.0,finite_difference,success,,12,16,75.0,0.1373930349946022,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[300.9646459790651, 27.784025846214902, -311.7825517159009, -28.706119038159994, -54.98029323595953, 0.0, 57.09968670130311, 0.0], [311.5912625578902, 27.543308582777573, -300.8484537674676, -26.651215499181518, -57.37665740736112, 0.0, 55.29713111897564, 0.0]]",(x0)' =  300.965 sin(1 x0) +  27.784 cos(1 x0) + -311.783 sin(1 x1) + -28.706 cos(1 x1) + -54.980 sin(2 x0) +  57.100 sin(2 x1) | (x1)' =  311.591 sin(1 x0) +  27.543 cos(1 x0) + -300.848 sin(1 x1) + -26.651 cos(1 x1) + -57.377 sin(2 x0) +  55.297 sin(2 x1)
2,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,12,16,75.0,0.14180405624210835,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[301.79455258407205, 27.50398803069935, -312.49136894462396, -28.406340938235147, -55.19849355216712, 0.0, 57.28251467442112, 0.0], [312.335710459383, 27.145191702336213, -301.71171624711974, -26.273365437764976, -57.57264880120298, 0.0, 55.52643191005062, 0.0]]",(x0)' =  301.795 sin(1 x0) +  27.504 cos(1 x0) + -312.491 sin(1 x1) + -28.406 cos(1 x1) + -55.198 sin(2 x0) +  57.283 sin(2 x1) | (x1)' =  312.336 sin(1 x0) +  27.145 cos(1 x0) + -301.712 sin(1 x1) + -26.273 cos(1 x1) + -57.573 sin(2 x0) +  55.526 sin(2 x1)
3,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,12,16,75.0,0.14486410282552242,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[309.6327577647168, 24.61565656163868, -319.1977374954323, -25.337110695807755, -57.317449290209574, 0.0, 59.08250378289639, 0.0], [319.3071891814955, 23.237563919014313, -309.79580759904997, -22.54895585990499, -59.4773114660401, 0.0, 57.73651693113016, 0.0]]",(x0)' =  309.633 sin(1 x0) +  24.616 cos(1 x0) + -319.198 sin(1 x1) + -25.337 cos(1 x1) + -57.317 sin(2 x0) +  59.083 sin(2 x1) | (x1)' =  319.307 sin(1 x0) +  23.238 cos(1 x0) + -309.796 sin(1 x1) + -22.549 cos(1 x1) + -59.477 sin(2 x0) +  57.737 sin(2 x1)
4,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,2,2,8.0,8.0,0,0.0,finite_difference,success,,12,16,75.0,0.1331435665488243,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[140.87597313016735, 11.886617466056238, -161.12524340917477, -13.452389267391844, -27.561784408785456, 0.0, 31.425997611846242, 0.0], [161.07472630581822, 11.8727264909261, -140.95925262261585, -10.329008889923921, -31.788197028752368, 0.0, 27.977128509998266, 0.0]]",(x0)' =  140.876 sin(1 x0) +  11.887 cos(1 x0) + -161.125 sin(1 x1) + -13.452 cos(1 x1) + -27.562 sin(2 x0) +  31.426 sin(2 x1) | (x1)' =  161.075 sin(1 x0) +  11.873 cos(1 x0) + -140.959 sin(1 x1) + -10.329 cos(1 x1) + -31.788 sin(2 x0) +  27.977 sin(2 x1)
5,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,12,16,75.0,0.13968094065785408,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[141.37062553761348, 11.814074156383896, -161.42034814392812, -13.349224508034952, -27.668597875119417, 0.0, 31.47433223649274, 0.0], [161.39614937590267, 11.68844491170509, -141.47550320188378, -10.175511105111287, -31.8475183558838, 0.0, 28.090874986694985, 0.0]]",(x0)' =  141.371 sin(1 x0) +  11.814 cos(1 x0) + -161.420 sin(1 x1) + -13.349 cos(1 x1) + -27.669 sin(2 x0) +  31.474 sin(2 x1) | (x1)' =  161.396 sin(1 x0) +  11.688 cos(1 x0) + -141.476 sin(1 x1) + -10.176 cos(1 x1) + -31.848 sin(2 x0) +  28.091 sin(2 x1)
6,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,12,16,75.0,0.14550579525530338,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[145.99138058207973, 10.960593856229124, -164.1181022605712, -12.208227628417134, -28.67986909800164, 0.0, 31.941851818344034, 0.0], [164.28860330813038, 9.858140927346009, -146.2559540192383, -8.636146028994602, -32.399744366558224, 0.0, 29.16460630070263, 0.0]]",(x0)' =  145.991 sin(1 x0) +  10.961 cos(1 x0) + -164.118 sin(1 x1) + -12.208 cos(1 x1) + -28.680 sin(2 x0) +  31.942 sin(2 x1) | (x1)' =  164.289 sin(1 x0) +  9.858 cos(1 x0) + -146.256 sin(1 x1) + -8.636 cos(1 x1) + -32.400 sin(2 x0) +  29.165 sin(2 x1)
7,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,2,5,20.0,20.0,0,0.0,finite_difference,success,,8,16,50.0,0.13557256944477558,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[31.03750679092854, 0.0, -59.463774451819354, 0.0, -8.26334603186372, 0.0, 12.543528934331581, 0.0], [59.64422450553301, 0.0, -31.267040936928364, 0.0, -12.877470451813737, 0.0, 8.566939861150685, 0.0]]",(x0)' =  31.038 sin(1 x0) + -59.464 sin(1 x1) + -8.263 sin(2 x0) +  12.544 sin(2 x1) | (x1)' =  59.644 sin(1 x0) + -31.267 sin(1 x1) + -12.877 sin(2 x0) +  8.567 sin(2 x1)
8,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,8,16,50.0,0.13930811174213886,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[31.365891390256717, 0.0, -59.80408461892184, 0.0, -8.340495155857015, 0.0, 12.60502199924353, 0.0], [59.97977493190926, 0.0, -31.594286706882475, 0.0, -12.941408099232047, 0.0, 8.647601445011741, 0.0]]",(x0)' =  31.366 sin(1 x0) + -59.804 sin(1 x1) + -8.340 sin(2 x0) +  12.605 sin(2 x1) | (x1)' =  59.980 sin(1 x0) + -31.594 sin(1 x1) + -12.941 sin(2 x0) +  8.648 sin(2 x1)
9,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,8,16,50.0,0.144744660705328,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)""]","[[34.623309061499, 0.0, -62.7696598724767, 0.0, -9.081899197076723, 0.0, 13.11736694458397, 0.0], [62.933541938423595, 0.0, -34.85884500488665, 0.0, -13.480934539236475, 0.0, 9.424455848639134, 0.0]]",(x0)' =  34.623 sin(1 x0) + -62.770 sin(1 x1) + -9.082 sin(2 x0) +  13.117 sin(2 x1) | (x1)' =  62.934 sin(1 x0) + -34.859 sin(1 x1) + -13.481 sin(2 x0) +  9.424 sin(2 x1)
10,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,4,1,4.0,12.0,0,0.0,finite_difference,success,,38,64,59.375,0.42507348395884037,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)"", ""sin(2 x0)"", ""cos(2 x0)"", ""sin(2 x1)"", ""cos(2 x1)"", ""sin(2 x2)"", ""cos(2 x2)"", ""sin(2 x3)"", ""cos(2 x3)""]","[[327.8148395649427, 13.366661152823514, -468.2440199319791, 0.0, 243.21715437336997, -14.965217535760468, -119.92810147784365, 0.0, -12.385640678342346, 0.0, 0.0, 0.0, 0.0, 0.0, 20.93058843792537, 0.0], [305.24183985845497, 18.422347891433912, -420.2103550096912, 0.0, 313.45965802423626, -23.24363875758683, -203.13169377987708, 4.90591365002127, -50.70632040268345, 0.0, 58.93535836359842, 0.0, -42.662733147954754, 0.0, 36.39756425661212, 0.0], [201.08357710039644, 3.332383949670503, -314.70375710818524, 11.99614371677636, 428.1702194831201, 0.0, -310.3077093978366, -14.944265808105493, -36.7163673655204, 0.0, 43.62223191843561, 0.0, -60.43950049495561, 0.0, 51.475086489975396, 0.0], [123.4983854369498, 0.0, -256.0621448543325, 14.58579501405649, 483.3007389851717, 0.0, -333.79445568932834, -12.923510359057941, -21.031596263243923, 0.0, 0.0, 0.0, 0.0, 0.0, 12.359596026375186, 0.0]]",(x0)' =  327.815 sin(1 x0) +  13.367 cos(1 x0) + -468.244 sin(1 x1) +  243.217 sin(1 x2) + -14.965 cos(1 x2) + -119.928 sin(1 x3) + -12.386 sin(2 x0) +  20.931 sin(2 x3) | (x1)' =  305.242 sin(1 x0) +  18.422 cos(1 x0) + -420.210 sin(1 x1) +  313.460 sin(1 x2) + -23.244 cos(1 x2) + -203.132 sin(1 x3) +  4.906 cos(1 x3) + -50.706 sin(2 x0) +  58.935 sin(2 x1) + -42.663 sin(2 x2) +  36.398 sin(2 x3) | (x2)' =  201.084 sin(1 x0) +  3.332 cos(1 x0) + -314.704 sin(1 x1) +  11.996 cos(1 x1) +  428.170 sin(1 x2) + -310.308 sin(1 x3) + -14.944 cos(1 x3) + -36.716 sin(2 x0) +  43.622 sin(2 x1) + -60.440 sin(2 x2) +  51.475 sin(2 x3) | (x3)' =  123.498 sin(1 x0) + -256.062 sin(1 x1) +  14.586 cos(1 x1) +  483.301 sin(1 x2) + -333.794 sin(1 x3) + -12.924 cos(1 x3) + -21.032 sin(2 x0) +  12.360 sin(2 x3)
