held_out,lead_s,aesindy_skill,persistence_skill,n_forecasts
sequence,0.0,-0.23507725583186068,1.0,37
sequence,0.004,-0.17870732935727018,0.9823958725556584,37
sequence,0.008,-0.10164186184433137,0.934476768560005,37
sequence,0.012,0.019003359673096867,0.86831904860816,37
sequence,0.016,0.1503978900908513,0.7998466397501935,37
sequence,0.02,0.23666072037688807,0.7414986725300686,37
sequence,0.024,0.3634678138298071,0.6973682833634057,37
sequence,0.028,0.43530874849111434,0.6674748060549773,37
sequence,0.032,0.41205663791125974,0.6533578562319886,37
sequence,0.036000000000000004,0.23915878845253172,0.6544239933640668,37
sequence,0.04,0.07966993965558594,0.6578872197267908,37
sequence,0.044,-0.047826326241672955,0.6351954327510652,37
sequence,0.048,-0.2438888558105889,0.570368017851067,37
sequence,0.052000000000000005,-0.37916452482358887,0.4892668653824811,37
sequence,0.056,-0.3999748584686107,0.4251375303441995,37
sequence,0.06,-0.3328502975024059,0.38989973294161373,37
sequence,0.064,-0.18648793627441043,0.3809408134571464,37
sequence,0.068,-0.010736620309962175,0.3893853419487786,37
sequence,0.07200000000000001,0.146367357974375,0.40589835273634145,37
sequence,0.076,0.2275476136527962,0.42607072813397373,37
sequence,0.08,0.12501721321211437,0.44994882306996037,37
sequence,0.084,-0.05712673549984463,0.47854662620590876,37
sequence,0.088,-0.21301808816457699,0.5101195377810402,37
sequence,0.092,-0.27940735643530606,0.5370565023008994,37
sequence,0.096,-0.24418163626606443,0.5479353813389979,37
sequence,0.1,-0.16395021399445286,0.534804374813233,37
sequence,0.10400000000000001,-0.06566421973926635,0.498659621856058,37
sequence,0.108,0.049599491559118,0.449769044616811,37
sequence,0.112,0.15973998994891367,0.40188498225222175,37
sequence,0.116,0.21246590782052346,0.360079785949219,37
sequence,0.12,0.1408997708290012,0.3131078134248028,37
sequence,0.124,-0.002044077128075812,0.2423026237985684,37
sequence,0.128,-0.0584156193355432,0.14143925785101216,37
sequence,0.132,-0.03209375204092958,0.027491466522084996,37
sequence,0.136,0.004269367632230212,-0.06610384810846792,37
sequence,0.14,-0.004397374887505859,-0.11221039915623854,37
sequence,0.14400000000000002,-0.053807014580499725,-0.10734071214804786,37
sequence,0.148,-0.10853244600672203,-0.0668997746739334,37
sequence,0.152,-0.151730376099722,-0.014176614282979345,37
sequence,0.156,-0.1796446126638683,0.027962307335096682,37
sequence,0.16,-0.17601469033749217,0.04516016705009058,37
sequence,0.164,-0.10370559491428989,0.03496860749369698,37
sequence,0.168,0.018557240830283112,0.0059931387386729235,37
sequence,0.17200000000000001,0.09476467655515873,-0.022834842666345206,37
sequence,0.176,0.1028601682245494,-0.034132240401997874,37
sequence,0.18,0.05528269168210808,-0.025158147050582527,37
sequence,0.184,-0.04708255963897089,0.0015011209011589013,37
sequence,0.188,-0.15567631086199452,0.046604689544256096,37
sequence,0.192,-0.18620908436338637,0.11158045366612322,37
sequence,0.196,-0.13680950385276294,0.19157919356065906,37
sequence,0.2,-0.06405871192909568,0.2686834769840351,37
sequence,0.20400000000000001,-0.0011881004515461356,0.3158493813429553,37
sequence,0.20800000000000002,0.07688966920957183,0.3188095463069023,37
sequence,0.212,0.18810220847758063,0.28798821353435344,37
sequence,0.216,0.2804295754866407,0.24529084156601932,37
sequence,0.22,0.3167930753436017,0.21061976855265716,37
sequence,0.224,0.2876499070254886,0.19783455847879614,37
sequence,0.228,0.19580990623253527,0.21226206240544507,37
sequence,0.232,0.07017748830007932,0.24881197576233166,37
sequence,0.23600000000000002,-0.04575188728519125,0.2963060277625432,37
sequence,0.24,-0.1452844962972559,0.342033203463855,37
sequence,0.244,-0.2333332673827728,0.3730486110864085,37
sequence,0.248,-0.2806570263444888,0.38161106575366016,37
sequence,0.252,-0.2197235311236938,0.36797106830631043,37
sequence,0.256,-0.042084012343777295,0.334497464593465,37
sequence,0.26,0.11126575267842753,0.2827989259172371,37
sequence,0.264,0.144984019372566,0.2172794085416243,37
sequence,0.268,0.07644911918174033,0.14798328705386174,37
sequence,0.272,-0.0150173952699055,0.0891541444615116,37
sequence,0.276,-0.04327862499628784,0.05432692326353187,37
sequence,0.28,-0.038391309215354996,0.05071073898452035,37
sequence,0.28400000000000003,-0.09224426093521407,0.0741168860243865,37
sequence,0.28800000000000003,-0.18390318799556937,0.11056724764091733,37
sequence,0.292,-0.21911738358270888,0.14735172264070456,37
sequence,0.296,-0.10464089784646506,0.17924273628825074,37
sequence,0.3,0.1422546249186926,0.20621942309688956,37
sequence,0.304,0.3392955618527778,0.23047571639439107,37
sequence,0.308,0.3772963547856632,0.25424224698343406,37
sequence,0.312,0.2514550334999477,0.27591883318965504,37
sequence,0.316,-0.006193900593640412,0.2873046781070008,37
sequence,0.32,-0.24641658377313377,0.2800461073653661,37
sequence,0.324,-0.2753453424841292,0.2587050016084439,37
sequence,0.328,-0.16010707706090332,0.23777993811364784,37
sequence,0.332,-0.0525978979444303,0.2256939167038241,37
sequence,0.336,-0.007269127756231224,0.22032352582132203,37
sequence,0.34,-0.008467801589386455,0.21316606486750647,37
sequence,0.34400000000000003,0.0041237166786889535,0.19514544578296597,37
sequence,0.34800000000000003,0.05543978131918015,0.17039679798922916,37
sequence,0.352,0.10358303079474104,0.16269920898819126,37
sequence,0.356,0.13497864121009426,0.19157274658274304,37
sequence,0.36,0.16377497258022822,0.2571494854472672,37
sequence,0.364,0.1907584720133459,0.3411116951896851,37
sequence,0.368,0.18154286648392803,0.4140602863011781,37
sequence,0.372,0.11604976326825583,0.45216523572539175,37
sequence,0.376,0.011056571182828946,0.4472226047603781,37
sequence,0.38,-0.09122873707740721,0.40568165811110546,37
sequence,0.384,-0.11842617518087227,0.34246310875958114,37
sequence,0.388,-0.042117259255542897,0.27380337484487133,37
sequence,0.392,0.018339080513825563,0.2161554547761218,37
sequence,0.396,0.0034571954983999495,0.18069268096108043,37
sequence,0.4,-0.025465951978274053,0.16528969369681046,37
sequence,0.404,-0.021018275492863517,0.16085114276851797,37
sequence,0.40800000000000003,0.004614703328022929,0.16000946536722602,37
sequence,0.41200000000000003,-0.002016257173752639,0.16024923125853058,37
sequence,0.41600000000000004,-0.06464289128766677,0.16178473046850286,37
sequence,0.42,-0.13853889118563367,0.16233938882307944,37
sequence,0.424,-0.19669063937936507,0.15442010578773305,37
sequence,0.428,-0.2144638200430102,0.13247655386516655,37
sequence,0.432,-0.16780472909088026,0.10024846192300371,37
sequence,0.436,-0.10286379564708402,0.06371133079817763,37
sequence,0.44,-0.05863404183575059,0.027560875294004056,37
sequence,0.444,-0.001846457939662042,0.0007314578435128618,37
sequence,0.448,0.10747062494684845,-0.0026014896374754893,37
sequence,0.452,0.2518216399858229,0.024819476456247932,37
sequence,0.456,0.33433508668413453,0.07462666337846198,37
sequence,0.46,0.2819272992429066,0.13048933204838398,37
sequence,0.464,0.1747250709485453,0.17682114395441836,37
sequence,0.468,0.09797150719203716,0.20435296981638892,37
sequence,0.47200000000000003,0.09202270477097485,0.2123656016115362,37
sequence,0.47600000000000003,0.15389811081474122,0.20368248029795652,37
sequence,0.48,0.19002914083769099,0.18112178676858712,37
sequence,0.484,0.1440706707795196,0.14988290906829818,37
sequence,0.488,0.0510059018525557,0.11509382851735675,37
sequence,0.492,-0.027513115133088416,0.07717359146671088,37
sequence,0.496,-0.06820227770351255,0.03442039269484816,37
sequence,0.5,-0.005384390222127313,-0.010965803027142978,37
sequence,0.504,0.0678147369034375,-0.051232523069587886,37
sequence,0.508,0.11109420222173026,-0.07865581387785936,37
sequence,0.512,0.09157219849605001,-0.09080826863126223,37
sequence,0.516,0.041191912369380794,-0.09049972206629103,37
sequence,0.52,-0.052545198049676146,-0.08236268527247978,37
sequence,0.524,-0.11152174584955897,-0.06875135700133353,37
sequence,0.528,-0.09663798052670483,-0.04913582210590302,37
sequence,0.532,-0.029820632400506884,-0.023648641043575593,37
sequence,0.536,0.08824600782205043,0.006291798538567157,37
sequence,0.54,0.24677531615520906,0.03960424519391774,37
sequence,0.544,0.29638973171846444,0.07378759362332986,37
sequence,0.548,0.16270849630037515,0.10244446009210527,37
sequence,0.552,0.025348789234084207,0.11968806440223735,37
sequence,0.556,-0.006543128596511933,0.1261130603262919,37
sequence,0.56,-0.11167293774755524,0.12794379456111207,37
sequence,0.5640000000000001,-0.07814358275142352,0.1340292875352047,37
sequence,0.5680000000000001,-0.18961762924550227,0.1498825219171189,37
sequence,0.5720000000000001,-0.21334099893684136,0.16844897882742682,37
sequence,0.5760000000000001,-0.16588507034360425,0.17022308550994392,37
sequence,0.58,-0.008544848553679346,0.1382393814816208,37
sequence,0.584,0.15050450119396666,0.07217882568555797,37
sequence,0.588,0.23265758507487977,-0.012624264455625582,37
sequence,0.592,0.32632208465972307,-0.0955592507807375,37
sequence,0.596,0.324576702765685,-0.16089459576446388,37
sequence,0.6,0.1990584595003677,-0.2034300820647868,37
sequence,0.604,0.05788794097914517,-0.2279394734447242,37
sequence,0.608,0.009694543642622367,-0.24386014865170252,37
sequence,0.612,-0.27121236923112196,-0.25860033662364684,37
sequence,0.616,-0.24407672962205765,-0.27299630279254783,37
sequence,0.62,-0.22199421495195723,-0.2805925379757387,37
sequence,0.624,-0.19718659691254034,-0.270955472787195,37
sequence,0.628,-0.032247631832651516,-0.236175822391396,37
sequence,0.632,0.16867289265876206,-0.1763025409578279,37
sequence,0.636,0.3330505022512102,-0.10378313960349078,37
sequence,0.64,-0.11461753107398057,-0.044473247359801515,37
sequence,0.644,-0.021020171313585505,-0.02141218275224217,37
sequence,0.648,-0.27245824728608864,-0.0380788793036596,37
sequence,0.652,-0.25704768708867304,-0.08290608209559021,37
sequence,0.656,0.04273745005096209,-0.13873766983614946,37
sequence,0.66,0.007164276302360909,-0.18858734942014987,37
sequence,0.664,0.12562670033068504,-0.22090040514651083,37
sequence,0.668,0.11003229934492408,-0.23272882922718868,37
sequence,0.672,0.07239857238380103,-0.22896944818106252,37
sequence,0.676,0.025101631029976222,-0.21956872417546608,37
sequence,0.68,0.10112534911322946,-0.2159863876544854,37
sequence,0.684,0.06485180355251775,-0.22662231223545304,37
sequence,0.6880000000000001,-0.010025648131569951,-0.25371936700710995,37
sequence,0.6920000000000001,0.22772269083863153,-0.29218759947794387,37
sequence,0.6960000000000001,0.1699440104778087,-0.32897686717275193,37
sequence,0.7000000000000001,0.2543604794098742,-0.34570599937448804,37
sequence,0.704,0.06324568469563367,-0.3279672037278365,37
sequence,0.708,-0.12439894462810613,-0.2768222473454722,37
sequence,0.712,-0.05119732505651901,-0.20856876238112762,37
sequence,0.716,-0.07381224667402901,-0.14237768455727254,37
sequence,0.72,-0.14290608275288616,-0.09176611430913993,37
sequence,0.724,0.08890136664991248,-0.06323989082647662,37
sequence,0.728,0.058133804200041196,-0.05623703233552705,37
sequence,0.732,0.15684213156678917,-0.0652492164648865,37
sequence,0.736,-0.04654246316456714,-0.08460075705200913,37
sequence,0.74,0.2446964574563368,-0.11067414010287704,37
sequence,0.744,0.19370068165844095,-0.1417279233302715,37
sequence,0.748,0.19354435129891637,-0.177830310549577,37
sequence,0.752,0.06899948463026127,-0.2186380472339778,37
sequence,0.756,0.13332318271622076,-0.2592298341145113,37
sequence,0.76,0.14450023287215694,-0.28983936657280945,37
sequence,0.764,0.12611689196196652,-0.30413995083409895,37
sequence,0.768,0.1601410253416093,-0.30875602221160936,37
sequence,0.772,0.1070116258260503,-0.31909302457288286,37
sequence,0.776,0.0696150193122359,-0.3458929270073558,37
sequence,0.78,0.2221281849284468,-0.3870202609497355,37
sequence,0.784,0.15171780544499877,-0.4288406046077448,37
sequence,0.788,0.1825152474626184,-0.4579333775150063,37
sequence,0.792,0.18821666856648528,-0.4696195456596813,37
sequence,0.796,0.030892350782669675,-0.46324576986495586,37
sequence,0.8,-0.025946527994141377,-0.4357129314909243,37
sequence,0.804,0.2140948062147433,-0.38373751116109245,37
sequence,0.808,0.17333900762722693,-0.31046311369305063,37
sequence,0.812,0.12275090475462715,-0.2254922587356654,37
sequence,0.8160000000000001,0.09122250953975926,-0.14094264761815234,37
