lead_s,aesindy_skill,persistence_skill,n_forecasts
0.0,0.39455817625520495,1.0,234
0.004,0.37104968661831506,0.9752738694311341,234
0.008,0.3318949580878215,0.9136943325744702,234
0.012,0.2780393307103728,0.8265996757286783,234
0.016,0.21150187902189346,0.7211956092130319,234
0.02,0.13908503403112144,0.6106463573259923,234
0.024,0.07043516555119007,0.511264514111598,234
0.028,0.013448038939303578,0.43439597565133764,234
0.032,-0.027900171386132,0.38462066886819196,234
0.036000000000000004,-0.05683444848830224,0.3618182924328436,234
0.04,-0.0862170149593811,0.3621815616681066,234
0.044,-0.13178103724604043,0.3787187195191947,234
0.048,-0.19925017622998636,0.4030766769418773,234
0.052000000000000005,-0.27650559814056264,0.4270476432201618,234
0.056,-0.3362147495412456,0.4433554362196964,234
0.06,-0.35323218774580234,0.4488525588835255,234
0.064,-0.3257616893444012,0.4473068304286946,234
0.068,-0.2751004626931216,0.4454060822508921,234
0.07200000000000001,-0.22657457735807912,0.44640378387373447,234
0.076,-0.1949761892245571,0.4480857376796761,234
0.08,-0.18141176568985207,0.4457570130672189,234
0.084,-0.17802133732174466,0.4385484683920809,234
0.088,-0.17564940489710162,0.43175115110580453,234
0.092,-0.16869998839389092,0.430626680559745,234
0.096,-0.15582224240702724,0.4344846650966007,234
0.1,-0.1397034295166462,0.43830829023026724,234
0.10400000000000001,-0.12516781160184237,0.43757398388891783,234
0.108,-0.11589164112141254,0.43050537272965717,234
0.112,-0.11213749596599025,0.4184894198905052,234
0.116,-0.11063148483328014,0.40514452035810294,234
0.12,-0.10670925989379243,0.39376676650327413,234
0.124,-0.09638697896698425,0.38522549686886476,234
0.128,-0.07683057320698577,0.3780521900693912,234
0.132,-0.04695852296001839,0.3709824946552829,234
0.136,-0.008804760379142842,0.36560498509664235,234
0.14,0.03281354004570887,0.3654536873682226,234
0.14400000000000002,0.0724698159634897,0.3720350761147907,234
0.148,0.10584484250501977,0.3826387074213994,234
0.152,0.13062795017113457,0.392582056094918,234
0.156,0.14702889256889948,0.3981864539970298,234
0.16,0.1562884824889649,0.3961853785259179,234
0.164,0.15847812185531454,0.38300111777384666,234
0.168,0.1530408778539423,0.35792144246875746,234
0.17200000000000001,0.14097461606410044,0.32519638403448087,234
0.176,0.12541058904237837,0.2912877316444221,234
0.18,0.11022481743808953,0.2617146496834379,234
0.184,0.09835095332933422,0.24009623148709905,234
0.188,0.09080395965023862,0.22803608769377662,234
0.192,0.0869780548582144,0.2253886184521547,234
