configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,stlsq_threshold,n_frequencies,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
11,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,27,32,84.375,0.21603774279356003,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[349.36317757266687, 64.34695827403901, -567.3525408255191, -91.38416210932468, 347.55743488864454, 26.957221450936068, -140.99207330877334, 0.0], [282.6418551115519, 25.13216075883913, -444.8669782405546, 0.0, 363.8417045565387, -30.878083773529966, -205.52296132886698, 5.990621685405773], [203.42474398817785, 2.4188808936221324, -365.6163704306463, 19.283702897316203, 453.5044363170003, 0.0, -287.9561731734629, -21.41661545077434], [141.79461683250437, 0.0, -355.1759201905638, 18.831351621497042, 578.9444219998655, 0.0, -354.46829171515407, -17.391880942162405]]",(x0)' =  349.363 sin(1 x0) +  64.347 cos(1 x0) + -567.353 sin(1 x1) + -91.384 cos(1 x1) +  347.557 sin(1 x2) +  26.957 cos(1 x2) + -140.992 sin(1 x3) | (x1)' =  282.642 sin(1 x0) +  25.132 cos(1 x0) + -444.867 sin(1 x1) +  363.842 sin(1 x2) + -30.878 cos(1 x2) + -205.523 sin(1 x3) +  5.991 cos(1 x3) | (x2)' =  203.425 sin(1 x0) +  2.419 cos(1 x0) + -365.616 sin(1 x1) +  19.284 cos(1 x1) +  453.504 sin(1 x2) + -287.956 sin(1 x3) + -21.417 cos(1 x3) | (x3)' =  141.795 sin(1 x0) + -355.176 sin(1 x1) +  18.831 cos(1 x1) +  578.944 sin(1 x2) + -354.468 sin(1 x3) + -17.392 cos(1 x3)
12,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,26,32,81.25,0.21991137228906155,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[383.590523869253, 16.380542384862828, -659.4289782242209, 0.0, 437.9778690637424, -17.431991372106097, -172.61973703194911, 0.0], [318.7848045019905, 21.957317693508255, -551.166727554018, 0.0, 471.39173295511245, -26.27861594388673, -242.6076619448511, 4.519968426507276], [241.67623269323374, 0.7770407065619842, -476.6287864223025, 18.924906029735865, 563.616831059779, 0.0, -325.57503931460616, -19.469667855309833], [176.00273093172333, 0.0, -453.1600361833779, 17.053702910613023, 679.4320907725302, 0.0, -392.2104979343028, -15.86595595585605]]",(x0)' =  383.591 sin(1 x0) +  16.381 cos(1 x0) + -659.429 sin(1 x1) +  437.978 sin(1 x2) + -17.432 cos(1 x2) + -172.620 sin(1 x3) | (x1)' =  318.785 sin(1 x0) +  21.957 cos(1 x0) + -551.167 sin(1 x1) +  471.392 sin(1 x2) + -26.279 cos(1 x2) + -242.608 sin(1 x3) +  4.520 cos(1 x3) | (x2)' =  241.676 sin(1 x0) +  0.777 cos(1 x0) + -476.629 sin(1 x1) +  18.925 cos(1 x1) +  563.617 sin(1 x2) + -325.575 sin(1 x3) + -19.470 cos(1 x3) | (x3)' =  176.003 sin(1 x0) + -453.160 sin(1 x1) +  17.054 cos(1 x1) +  679.432 sin(1 x2) + -392.210 sin(1 x3) + -15.866 cos(1 x3)
13,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,2,8.0,24.0,0,0.0,finite_difference,success,,26,32,81.25,0.20901168696582317,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[123.48857268385927, 19.60214282118185, -156.20344090466725, -27.0390939554309, 20.278946998809985, 0.0, -1.0754428731718486, 7.19708220176724], [86.69473986254586, 13.894073619399684, -18.371009076911772, 0.0, -53.518172233496045, -13.698919847186584, -17.345254038609124, 0.0], [17.518848734709525, 0.0, 50.99610683937028, 13.760835985299703, 22.37726949407568, 0.0, -89.0331099978808, -13.517747732542462], [2.772456233871308, -8.338225975805143, -23.766051833443957, 0.0, 158.43205815593132, 27.35591559566274, -123.91404733375452, -19.018251687194002]]",(x0)' =  123.489 sin(1 x0) +  19.602 cos(1 x0) + -156.203 sin(1 x1) + -27.039 cos(1 x1) +  20.279 sin(1 x2) + -1.075 sin(1 x3) +  7.197 cos(1 x3) | (x1)' =  86.695 sin(1 x0) +  13.894 cos(1 x0) + -18.371 sin(1 x1) + -53.518 sin(1 x2) + -13.699 cos(1 x2) + -17.345 sin(1 x3) | (x2)' =  17.519 sin(1 x0) +  50.996 sin(1 x1) +  13.761 cos(1 x1) +  22.377 sin(1 x2) + -89.033 sin(1 x3) + -13.518 cos(1 x3) | (x3)' =  2.772 sin(1 x0) + -8.338 cos(1 x0) + -23.766 sin(1 x1) +  158.432 sin(1 x2) +  27.356 cos(1 x2) + -123.914 sin(1 x3) + -19.018 cos(1 x3)
14,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,26,32,81.25,0.21692455559968948,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[123.80352776297805, 19.545268268924858, -156.20228060714004, -26.923844663066486, 19.96401659310406, 0.0, -0.9577588941192433, 7.152594649536567], [86.91375933209238, 13.717565935157069, -19.415870979116214, 0.0, -52.08011458829993, -13.525157894560024, -17.999185819031986, 0.0], [18.15349597145037, 0.0, 49.593736322290965, 13.589026457400173, 23.3985844294224, 0.0, -89.2393991045895, -13.347306951893568], [2.7129091943802477, -8.250782869879046, -23.62093118130386, 0.0, 158.6246916642019, 27.13771000989365, -124.31618327756892, -18.8930086653598]]",(x0)' =  123.804 sin(1 x0) +  19.545 cos(1 x0) + -156.202 sin(1 x1) + -26.924 cos(1 x1) +  19.964 sin(1 x2) + -0.958 sin(1 x3) +  7.153 cos(1 x3) | (x1)' =  86.914 sin(1 x0) +  13.718 cos(1 x0) + -19.416 sin(1 x1) + -52.080 sin(1 x2) + -13.525 cos(1 x2) + -17.999 sin(1 x3) | (x2)' =  18.153 sin(1 x0) +  49.594 sin(1 x1) +  13.589 cos(1 x1) +  23.399 sin(1 x2) + -89.239 sin(1 x3) + -13.347 cos(1 x3) | (x3)' =  2.713 sin(1 x0) + -8.251 cos(1 x0) + -23.621 sin(1 x1) +  158.625 sin(1 x2) +  27.138 cos(1 x2) + -124.316 sin(1 x3) + -18.893 cos(1 x3)
15,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,28,32,87.5,0.22405948489904404,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[127.58792471755419, 24.73531367262346, -158.30422103507507, -40.082840871054294, 19.392477894008813, 16.843212703127346, -0.9739262643298652, -1.623972026094496], [89.38164957211488, 11.957035190564241, -30.39519467316398, 0.0, -37.56008315643162, -11.787725682207956, -24.292981178434705, 0.0], [24.24185939134587, 0.0, 35.48480581134063, 11.892641718432412, 34.10668168417546, 0.0, -91.58447648439821, -11.670620090080817], [3.021137965919396, -4.1384205462907575, -23.814448286922936, -6.478623708495111, 161.3945403545382, 30.386154071967308, -128.33106642091414, -19.800378686864388]]",(x0)' =  127.588 sin(1 x0) +  24.735 cos(1 x0) + -158.304 sin(1 x1) + -40.083 cos(1 x1) +  19.392 sin(1 x2) +  16.843 cos(1 x2) + -0.974 sin(1 x3) + -1.624 cos(1 x3) | (x1)' =  89.382 sin(1 x0) +  11.957 cos(1 x0) + -30.395 sin(1 x1) + -37.560 sin(1 x2) + -11.788 cos(1 x2) + -24.293 sin(1 x3) | (x2)' =  24.242 sin(1 x0) +  35.485 sin(1 x1) +  11.893 cos(1 x1) +  34.107 sin(1 x2) + -91.584 sin(1 x3) + -11.671 cos(1 x3) | (x3)' =  3.021 sin(1 x0) + -4.138 cos(1 x0) + -23.814 sin(1 x1) + -6.479 cos(1 x1) +  161.395 sin(1 x2) +  30.386 cos(1 x2) + -128.331 sin(1 x3) + -19.800 cos(1 x3)
16,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,5,20.0,60.0,0,0.0,finite_difference,success,,14,32,43.75,0.18561888672411442,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[22.26870904777865, 0.0, -56.678762473482514, 0.0, 14.378704076206514, 0.0, 7.158280476557621, 0.0], [46.079217422070876, 0.0, 0.0, 0.0, -51.23563955327314, 0.0, 8.374710689845625, 0.0], [-8.121997326542171, 0.0, 51.00443694089225, 0.0, 0.0, 0.0, -46.244489266729374, 0.0], [-7.056900057639655, 0.0, -14.221224132784249, 0.0, 56.49417071015322, 0.0, -22.256597751347183, 0.0]]",(x0)' =  22.269 sin(1 x0) + -56.679 sin(1 x1) +  14.379 sin(1 x2) +  7.158 sin(1 x3) | (x1)' =  46.079 sin(1 x0) + -51.236 sin(1 x2) +  8.375 sin(1 x3) | (x2)' = -8.122 sin(1 x0) +  51.004 sin(1 x1) + -46.244 sin(1 x3) | (x3)' = -7.057 sin(1 x0) + -14.221 sin(1 x1) +  56.494 sin(1 x2) + -22.257 sin(1 x3)
17,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,14,32,43.75,0.20652677491307259,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[22.60097311086943, 0.0, -57.15679349495821, 0.0, 14.75868382072766, 0.0, 6.957494997001915, 0.0], [46.16115103210355, 0.0, 0.0, 0.0, -51.45606131168586, 0.0, 8.563372118440887, 0.0], [-8.303225048311155, 0.0, 51.21590513695461, 0.0, 0.0, 0.0, -46.33185225096435, 0.0], [-6.857137887761439, 0.0, -14.594019492838973, 0.0, 56.959476810776316, 0.0, -22.58314468653789, 0.0]]",(x0)' =  22.601 sin(1 x0) + -57.157 sin(1 x1) +  14.759 sin(1 x2) +  6.957 sin(1 x3) | (x1)' =  46.161 sin(1 x0) + -51.456 sin(1 x2) +  8.563 sin(1 x3) | (x2)' = -8.303 sin(1 x0) +  51.216 sin(1 x1) + -46.332 sin(1 x3) | (x3)' = -6.857 sin(1 x0) + -14.594 sin(1 x1) +  56.959 sin(1 x2) + -22.583 sin(1 x3)
18,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,14,32,43.75,0.19482233934104443,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)""]","[[26.121383138322717, 0.0, -61.733670492777534, 0.0, 18.40933556846613, 0.0, 4.8587881864858735, 0.0], [46.50008839440456, 0.0, 0.0, 0.0, -52.96887051129414, 0.0, 10.025418809870903, 0.0], [-9.713055392454399, 0.0, 52.66318823317969, 0.0, 0.0, 0.0, -46.70358608326308, 0.0], [-4.768460715982569, 0.0, -18.18843073623437, 0.0, 61.45132989972478, 0.0, -26.06249603458915, 0.0]]",(x0)' =  26.121 sin(1 x0) + -61.734 sin(1 x1) +  18.409 sin(1 x2) +  4.859 sin(1 x3) | (x1)' =  46.500 sin(1 x0) + -52.969 sin(1 x2) +  10.025 sin(1 x3) | (x2)' = -9.713 sin(1 x0) +  52.663 sin(1 x1) + -46.704 sin(1 x3) | (x3)' = -4.768 sin(1 x0) + -18.188 sin(1 x1) +  61.451 sin(1 x2) + -26.062 sin(1 x3)
19,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,6,1,4.0,20.0,0,0.0,finite_difference,success,,57,72,79.16666666666667,0.3963121622800827,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)"", ""sin(1 x4)"", ""cos(1 x4)"", ""sin(1 x5)"", ""cos(1 x5)""]","[[428.56523969886655, 29.616621512958513, -872.3303322137647, 0.0, 869.7732364313895, -66.69190709429587, -622.2019468139193, 38.960016125360646, 217.7723827993496, 0.0, -29.970008757509692, -2.0169211901262085], [146.61435007063628, 25.78362117026702, 0.0, 0.0, -289.9457910105504, -31.797308371029395, 360.2171100625495, 6.206359097681578, -300.22439421972825, 0.0, 78.64332626960726, 0.0], [120.75271105364439, 2.2143316191174423, -67.36038026499271, 20.82302556614601, 0.0, 0.0, 45.17267217209315, -25.139877267153466, -75.75670342147333, 2.393400691086137, -23.97009031743295, 0.0], [49.22992088462731, 0.0, -25.03700204441635, 1.4523713575536674, 133.0687406187234, 21.617815483438083, -184.7738281121175, 0.0, 183.33340526399297, -24.788182054331415, -155.43726129011185, 2.013635808475881], [-76.52835378235588, -31.56802378659624, 296.7852175538341, 62.282964372976444, -363.3926272310292, -42.5098504920867, 295.97602230976884, 32.006541039715735, 0.0, 0.0, -148.5558574084441, -20.465239917664327], [38.955196191016974, -7.0963019407933725, -244.351353699167, 0.0, 659.7790890780188, -9.61553169280471, -907.3425415038229, 39.36846113016669, 897.3739250728248, 0.0, -436.15029673159387, -22.568005223962924]]",(x0)' =  428.565 sin(1 x0) +  29.617 cos(1 x0) + -872.330 sin(1 x1) +  869.773 sin(1 x2) + -66.692 cos(1 x2) + -622.202 sin(1 x3) +  38.960 cos(1 x3) +  217.772 sin(1 x4) + -29.970 sin(1 x5) + -2.017 cos(1 x5) | (x1)' =  146.614 sin(1 x0) +  25.784 cos(1 x0) + -289.946 sin(1 x2) + -31.797 cos(1 x2) +  360.217 sin(1 x3) +  6.206 cos(1 x3) + -300.224 sin(1 x4) +  78.643 sin(1 x5) | (x2)' =  120.753 sin(1 x0) +  2.214 cos(1 x0) + -67.360 sin(1 x1) +  20.823 cos(1 x1) +  45.173 sin(1 x3) + -25.140 cos(1 x3) + -75.757 sin(1 x4) +  2.393 cos(1 x4) + -23.970 sin(1 x5) | (x3)' =  49.230 sin(1 x0) + -25.037 sin(1 x1) +  1.452 cos(1 x1) +  133.069 sin(1 x2) +  21.618 cos(1 x2) + -184.774 sin(1 x3) +  183.333 sin(1 x4) + -24.788 cos(1 x4) + -155.437 sin(1 x5) +  2.014 cos(1 x5) | (x4)' = -76.528 sin(1 x0) + -31.568 cos(1 x0) +  296.785 sin(1 x1) +  62.283 cos(1 x1) + -363.393 sin(1 x2) + -42.510 cos(1 x2) +  295.976 sin(1 x3) +  32.007 cos(1 x3) + -148.556 sin(1 x5) + -20.465 cos(1 x5) | (x5)' =  38.955 sin(1 x0) + -7.096 cos(1 x0) + -244.351 sin(1 x1) +  659.779 sin(1 x2) + -9.616 cos(1 x2) + -907.343 sin(1 x3) +  39.368 cos(1 x3) +  897.374 sin(1 x4) + -436.150 sin(1 x5) + -22.568 cos(1 x5)
20,35.0,-0.0007537510658310451,36.85636440218341,1000.0,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,57,72,79.16666666666667,0.41191137582063675,"[""sin(1 x0)"", ""cos(1 x0)"", ""sin(1 x1)"", ""cos(1 x1)"", ""sin(1 x2)"", ""cos(1 x2)"", ""sin(1 x3)"", ""cos(1 x3)"", ""sin(1 x4)"", ""cos(1 x4)"", ""sin(1 x5)"", ""cos(1 x5)""]","[[435.01800000689246, 29.444723732402608, -893.549232254103, 0.0, 899.0432250820852, -66.19653379828827, -642.5868943991222, 38.60744578181258, 224.67119997937502, 0.0, -30.873177752765077, -1.979477257968326], [147.62186140098618, 25.497730210314213, 0.0, 0.0, -297.4166731206813, -31.431172126104713, 373.71311064078617, 6.123638380207187, -309.37761136063176, 0.0, 80.79920016858728, 0.0], [122.45333515160873, 2.1380597205112952, -70.58439032539277, 20.63773841048895, 0.0, 0.0, 47.61822677433716, -24.806141080978477, -76.0841450164528, 2.316145214406269, -24.566674773330465, 0.0], [51.25203691741016, 0.0, -30.3750735443567, 1.3424793880506798, 140.79052409210453, 21.487594292252854, -195.19355720201847, 0.0, 192.63698775854365, -24.48484012398347, -158.720826689664, 1.9455300853240358], [-78.64913494518221, -31.66462148298281, 305.82748056585666, 62.81142996239909, -376.81433517391116, -43.181214500530764, 303.4749640558386, 32.02505732206283, 0.0, 0.0, -149.5893190030933, -20.23620872819697], [40.01182225261515, -7.082676399164013, -251.7399945900863, 0.0, 680.9524895224674, -9.32791951119717, -937.66149256967, 38.903323284054665, 919.5783931035567, 0.0, -442.99968013601585, -22.40813152002386]]",(x0)' =  435.018 sin(1 x0) +  29.445 cos(1 x0) + -893.549 sin(1 x1) +  899.043 sin(1 x2) + -66.197 cos(1 x2) + -642.587 sin(1 x3) +  38.607 cos(1 x3) +  224.671 sin(1 x4) + -30.873 sin(1 x5) + -1.979 cos(1 x5) | (x1)' =  147.622 sin(1 x0) +  25.498 cos(1 x0) + -297.417 sin(1 x2) + -31.431 cos(1 x2) +  373.713 sin(1 x3) +  6.124 cos(1 x3) + -309.378 sin(1 x4) +  80.799 sin(1 x5) | (x2)' =  122.453 sin(1 x0) +  2.138 cos(1 x0) + -70.584 sin(1 x1) +  20.638 cos(1 x1) +  47.618 sin(1 x3) + -24.806 cos(1 x3) + -76.084 sin(1 x4) +  2.316 cos(1 x4) + -24.567 sin(1 x5) | (x3)' =  51.252 sin(1 x0) + -30.375 sin(1 x1) +  1.342 cos(1 x1) +  140.791 sin(1 x2) +  21.488 cos(1 x2) + -195.194 sin(1 x3) +  192.637 sin(1 x4) + -24.485 cos(1 x4) + -158.721 sin(1 x5) +  1.946 cos(1 x5) | (x4)' = -78.649 sin(1 x0) + -31.665 cos(1 x0) +  305.827 sin(1 x1) +  62.811 cos(1 x1) + -376.814 sin(1 x2) + -43.181 cos(1 x2) +  303.475 sin(1 x3) +  32.025 cos(1 x3) + -149.589 sin(1 x5) + -20.236 cos(1 x5) | (x5)' =  40.012 sin(1 x0) + -7.083 cos(1 x0) + -251.740 sin(1 x1) +  680.952 sin(1 x2) + -9.328 cos(1 x2) + -937.661 sin(1 x3) +  38.903 cos(1 x3) +  919.578 sin(1 x4) + -443.000 sin(1 x5) + -22.408 cos(1 x5)
