configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,optimizer,stlsq_threshold,alpha,nu,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,80.0,,,stlsq,50000.0,0.05,1.0,2,2,1,4.0,4.0,0,0.0,finite_difference,success,,8,12,66.66666666666667,1.5177023280411959,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[0.0, 197.37460712429507, -206.41634374922413, 0.0350451627391525, 0.0, -0.00859989708812835], [0.0, 206.04575744925373, -197.0073510216766, -0.01794664830772252, 0.0, -0.009928103567908606]]",(x0)' =  197.375 x0 + -206.416 x1 +  0.035 x0^2 + -0.009 x1^2 | (x1)' =  206.046 x0 + -197.007 x1 + -0.018 x0^2 + -0.010 x1^2
2,80.0,,,stlsq,50000.0,0.05,1.0,2,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,8,12,66.66666666666667,0.1415506973862648,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[0.0, 212.46085799525184, -220.57782082923288, 0.04395341399671806, 0.0, -0.019795085478569757], [0.0, 220.26481285869482, -212.15167681645212, -0.0038145217057816198, 0.0, -0.021255277069167466]]",(x0)' =  212.461 x0 + -220.578 x1 +  0.044 x0^2 + -0.020 x1^2 | (x1)' =  220.265 x0 + -212.152 x1 + -0.004 x0^2 + -0.021 x1^2
3,80.0,,,stlsq,50000.0,0.05,1.0,2,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,8,12,66.66666666666667,0.1366527583450079,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[0.0, 231.24171138313892, -237.15624529475073, 0.021635982343782962, 0.0, -0.005406920051067514], [0.0, 237.29026404420964, -231.3823367833831, 0.02027384940698831, 0.0, -0.03585019458909932]]",(x0)' =  231.242 x0 + -237.156 x1 +  0.022 x0^2 + -0.005 x1^2 | (x1)' =  237.290 x0 + -231.382 x1 +  0.020 x0^2 + -0.036 x1^2
4,80.0,,,stlsq,50000.0,0.05,1.0,2,2,2,8.0,8.0,0,0.0,finite_difference,success,,4,12,33.333333333333336,0.1080800611525774,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[0.0, 81.89456721732647, -95.37696876811502, 0.0, 0.0, 0.0], [0.0, 95.37847874707711, -81.8957955649984, 0.0, 0.0, 0.0]]",(x0)' =  81.895 x0 + -95.377 x1 | (x1)' =  95.378 x0 + -81.896 x1
5,80.0,,,stlsq,50000.0,0.05,1.0,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,4,12,33.333333333333336,0.12575557082891464,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[0.0, 90.44370457222674, -103.62698967999525, 0.0, 0.0, 0.0], [0.0, 103.61945279637467, -90.43118283094364, 0.0, 0.0, 0.0]]",(x0)' =  90.444 x0 + -103.627 x1 | (x1)' =  103.619 x0 + -90.431 x1
6,80.0,,,stlsq,50000.0,0.05,1.0,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,12,33.333333333333336,0.1260033082216978,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[0.0, 105.29285477225993, -116.07268067327566, 0.0, 0.0, 0.0], [0.0, 116.01032247498249, -105.22602244484995, 0.0, 0.0, 0.0]]",(x0)' =  105.293 x0 + -116.073 x1 | (x1)' =  116.010 x0 + -105.226 x1
7,80.0,,,stlsq,50000.0,0.05,1.0,2,2,5,20.0,20.0,0,0.0,finite_difference,success,,6,12,50.0,0.09991102665662766,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[0.0, 18.261412850055223, -32.46911866009664, 0.0, 0.0, 0.0], [0.0, 33.25985262256698, -18.44834972022663, 0.09640467045963494, -0.13705756504233726, 0.0]]",(x0)' =  18.261 x0 + -32.469 x1 | (x1)' =  33.260 x0 + -18.448 x1 +  0.096 x0^2 + -0.137 x0 x1
8,80.0,,,stlsq,50000.0,0.05,1.0,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,6,12,50.0,0.11474972404539585,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[0.0, 18.594624461031664, -32.71155670075316, 0.0, 0.0, 0.0], [0.0, 33.46302450041527, -18.76506921405825, 0.09487339943359216, -0.13494945317223844, 0.0]]",(x0)' =  18.595 x0 + -32.712 x1 | (x1)' =  33.463 x0 + -18.765 x1 +  0.095 x0^2 + -0.135 x0 x1
9,80.0,,,stlsq,50000.0,0.05,1.0,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,4,12,33.333333333333336,0.10998538322746754,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[0.0, 22.620378155282733, -37.72804884230708, 0.0, 0.0, 0.0], [0.0, 37.74359200914654, -22.650867314798376, 0.0, 0.0, 0.0]]",(x0)' =  22.620 x0 + -37.728 x1 | (x1)' =  37.744 x0 + -22.651 x1
10,80.0,,,stlsq,50000.0,0.05,1.0,2,4,1,4.0,12.0,0,0.0,finite_difference,success,,20,60,33.333333333333336,0.39753951132297516,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2""]","[[0.0, 259.9821526531649, -375.01910304289146, 167.4695288547271, -59.817417537163145, 0.0030058165608426047, 0.0, 0.0, 0.0, 0.01698903901645628, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 125.04192954639281, 0.0, -125.10091620400986, 0.05611538763904506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.03972373025796703, 125.0607870549679, 0.0, -125.02683618882136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 59.94230853066964, -166.84720008715766, 373.9345564711093, -259.66438921267513, 0.019795976390831638, 0.0, 0.0, 0.0, 0.0, 0.04231054482777388, 0.0, -0.09259006388896798, 0.0, 0.014073212138197675]]",(x0)' =  259.982 x0 + -375.019 x1 +  167.470 x2 + -59.817 x3 +  0.003 x0^2 +  0.017 x1^2 | (x1)' =  125.042 x0 + -125.101 x2 +  0.056 x3 | (x2)' = -0.040 x0 +  125.061 x1 + -125.027 x3 | (x3)' =  59.942 x0 + -166.847 x1 +  373.935 x2 + -259.664 x3 +  0.020 x0^2 +  0.042 x1 x2 + -0.093 x2^2 +  0.014 x3^2
