configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,nonzero_terms,subthreshold_count,fit_n_iterations,fit_converged,equations,n_trials,n_completed,n_failed,mean_trajectory_rmse,mean_x0_correlation,mean_max_amplitude_ratio,mean_collapse_std_ratio,mean_psd_similarity,mean_distribution_ks
47,3,35.0,4,1,5,0.05,1.0,20,61,1,5,True,(x0)' =  433.883 x0 + -730.433 x1 +  403.029 x2 + -107.666 x3 + -13.623 x0^2 +  54.890 x0 x1 + -42.748 x0 x2 +  15.821 x0 x3 + -37.067 x1^2 +  35.260 x1 x2 + -17.293 x1 x3 +  8.053 x2 x3 + -3.326 x3^2 + -3.273 x0^2 x1 +  12.159 x0^2 x2 + -22.069 x0^2 x3 +  81.750 x0 x1 x3 + -44.711 x0 x2^2 + -9.668 x0 x2 x3 + -0.393 x0 x3^2 + -1.765 x1^2 x2 + -105.887 x1^2 x3 +  66.549 x1 x2^2 +  87.289 x1 x2 x3 + -17.665 x1 x3^2 + -44.755 x2^3 +  2.524 x2 x3^2 | (x1)' =  125.010 x0 + -125.010 x2 | (x2)' =  125.009 x1 + -125.007 x3 | (x3)' =  106.571 x0 + -399.629 x1 +  727.200 x2 + -432.973 x3 +  106.477 x0^2 + -572.364 x0 x1 +  567.478 x0 x2 + -206.737 x0 x3 +  762.460 x1^2 + -1512.312 x1 x2 +  555.206 x1 x3 +  751.790 x2^2 + -553.137 x2 x3 +  101.147 x3^2 +  17.045 x0^3 + -67.004 x0^2 x1 +  80.007 x0^2 x2 + -38.880 x0^2 x3 + -114.729 x0 x1 x2 +  103.897 x0 x1 x3 +  143.062 x0 x2^2 + -185.576 x0 x2 x3 +  53.398 x0 x3^2 +  175.096 x1^3 + -376.459 x1^2 x2 +  59.946 x1^2 x3 +  221.321 x1 x2^2 + -35.081 x1 x3^2 + -47.951 x2^3 +  11.825 x2 x3^2,9,9,0,1.2249147573759327,0.027350819419990402,0.6326359559451773,0.8286949502325565,0.1717051581893187,0.1851851851851852
47,3,35.0,4,1,5,0.05,1.0,150,61,1,5,True,(x0)' =  433.883 x0 + -730.433 x1 +  403.029 x2 + -107.666 x3 + -13.623 x0^2 +  54.890 x0 x1 + -42.748 x0 x2 +  15.821 x0 x3 + -37.067 x1^2 +  35.260 x1 x2 + -17.293 x1 x3 +  8.053 x2 x3 + -3.326 x3^2 + -3.273 x0^2 x1 +  12.159 x0^2 x2 + -22.069 x0^2 x3 +  81.750 x0 x1 x3 + -44.711 x0 x2^2 + -9.668 x0 x2 x3 + -0.393 x0 x3^2 + -1.765 x1^2 x2 + -105.887 x1^2 x3 +  66.549 x1 x2^2 +  87.289 x1 x2 x3 + -17.665 x1 x3^2 + -44.755 x2^3 +  2.524 x2 x3^2 | (x1)' =  125.010 x0 + -125.010 x2 | (x2)' =  125.009 x1 + -125.007 x3 | (x3)' =  106.571 x0 + -399.629 x1 +  727.200 x2 + -432.973 x3 +  106.477 x0^2 + -572.364 x0 x1 +  567.478 x0 x2 + -206.737 x0 x3 +  762.460 x1^2 + -1512.312 x1 x2 +  555.206 x1 x3 +  751.790 x2^2 + -553.137 x2 x3 +  101.147 x3^2 +  17.045 x0^3 + -67.004 x0^2 x1 +  80.007 x0^2 x2 + -38.880 x0^2 x3 + -114.729 x0 x1 x2 +  103.897 x0 x1 x3 +  143.062 x0 x2^2 + -185.576 x0 x2 x3 +  53.398 x0 x3^2 +  175.096 x1^3 + -376.459 x1^2 x2 +  59.946 x1^2 x3 +  221.321 x1 x2^2 + -35.081 x1 x3^2 + -47.951 x2^3 +  11.825 x2 x3^2,9,9,0,1.2249147573759327,0.027350819419990402,0.6326359559451773,0.8286949502325565,0.1717051581893187,0.1851851851851852
47,3,35.0,4,1,5,0.0,1.0,20,110,20,5,True,(x0)' =  433.905 x0 + -730.600 x1 +  403.328 x2 + -107.820 x3 + -112.145 x0^2 +  617.807 x0 x1 + -618.961 x0 x2 +  226.612 x0 x3 + -837.039 x1^2 +  1665.538 x1 x2 + -611.594 x1 x3 + -826.451 x2^2 +  607.774 x2 x3 + -111.546 x3^2 + -14.421 x0^3 +  51.966 x0^2 x1 + -19.196 x0^2 x2 + -10.129 x0^2 x3 + -21.997 x0 x1^2 + -7.249 x0 x1 x2 +  64.733 x0 x1 x3 + -40.241 x0 x2^2 +  9.059 x0 x2 x3 + -5.750 x0 x3^2 + -53.477 x1^3 +  113.603 x1^2 x2 + -98.246 x1^2 x3 +  62.914 x1 x2^2 + -10.744 x1 x2 x3 +  11.487 x1 x3^2 + -100.193 x2^3 +  107.230 x2^2 x3 + -44.764 x2 x3^2 +  5.497 x3^3 | (x1)' =  125.007 x0 + -125.007 x2 +  0.264 x0^3 + -0.633 x0^2 x1 + -0.096 x0^2 x2 + -0.944 x0^2 x3 +  0.394 x0 x1^2 +  0.324 x0 x1 x2 +  5.494 x0 x1 x3 + -0.629 x0 x2^2 + -4.502 x0 x2 x3 +  1.494 x0 x3^2 + -0.181 x1^3 + -1.062 x1^2 x2 + -6.451 x1^2 x3 +  5.613 x1 x2^2 +  6.088 x1 x2 x3 + -2.147 x1 x3^2 + -5.134 x2^3 +  2.802 x2^2 x3 + -0.894 x2 x3^2 +  0.200 x3^3 | (x2)' =  125.008 x1 + -125.007 x3 +  0.677 x0^2 x2 +  0.226 x0^2 x3 + -0.942 x0 x1^2 + -0.521 x0 x1 x2 + -2.598 x0 x1 x3 +  0.918 x0 x2^2 +  2.156 x0 x2 x3 + -0.855 x0 x3^2 +  1.511 x1^3 + -0.674 x1^2 x2 +  3.669 x1^2 x3 + -3.574 x1 x2^2 + -3.192 x1 x2 x3 +  1.319 x1 x3^2 +  3.336 x2^3 + -1.896 x2^2 x3 +  0.600 x2 x3^2 + -0.159 x3^3 | (x3)' =  106.650 x0 + -399.845 x1 +  727.418 x2 + -433.054 x3 +  105.995 x0^2 + -570.394 x0 x1 +  566.257 x0 x2 + -206.550 x0 x3 +  760.616 x1^2 + -1510.578 x1 x2 +  555.261 x1 x3 +  751.871 x2^2 + -553.884 x2 x3 +  101.413 x3^2 +  11.342 x0^3 + -39.255 x0^2 x1 +  66.533 x0^2 x2 + -36.904 x0^2 x3 + -27.959 x0 x1^2 + -125.348 x0 x1 x2 +  118.692 x0 x1 x3 +  174.511 x0 x2^2 + -213.461 x0 x2 x3 +  58.197 x0 x3^2 +  161.424 x1^3 + -262.331 x1^2 x2 +  11.074 x1^2 x3 +  55.457 x1 x2^2 +  117.988 x1 x2 x3 + -52.626 x1 x3^2 +  16.924 x2^3 + -60.285 x2^2 x3 +  26.375 x2 x3^2 + -0.430 x3^3,9,9,0,1.1924701055800917,0.029552804370790515,0.6240510094406628,0.7641709586375905,0.17280650209125215,0.17831004657351962
47,3,35.0,4,1,5,0.0,1.0,150,110,20,5,True,(x0)' =  433.905 x0 + -730.600 x1 +  403.328 x2 + -107.820 x3 + -112.145 x0^2 +  617.807 x0 x1 + -618.961 x0 x2 +  226.612 x0 x3 + -837.039 x1^2 +  1665.538 x1 x2 + -611.594 x1 x3 + -826.451 x2^2 +  607.774 x2 x3 + -111.546 x3^2 + -14.421 x0^3 +  51.966 x0^2 x1 + -19.196 x0^2 x2 + -10.129 x0^2 x3 + -21.997 x0 x1^2 + -7.249 x0 x1 x2 +  64.733 x0 x1 x3 + -40.241 x0 x2^2 +  9.059 x0 x2 x3 + -5.750 x0 x3^2 + -53.477 x1^3 +  113.603 x1^2 x2 + -98.246 x1^2 x3 +  62.914 x1 x2^2 + -10.744 x1 x2 x3 +  11.487 x1 x3^2 + -100.193 x2^3 +  107.230 x2^2 x3 + -44.764 x2 x3^2 +  5.497 x3^3 | (x1)' =  125.007 x0 + -125.007 x2 +  0.264 x0^3 + -0.633 x0^2 x1 + -0.096 x0^2 x2 + -0.944 x0^2 x3 +  0.394 x0 x1^2 +  0.324 x0 x1 x2 +  5.494 x0 x1 x3 + -0.629 x0 x2^2 + -4.502 x0 x2 x3 +  1.494 x0 x3^2 + -0.181 x1^3 + -1.062 x1^2 x2 + -6.451 x1^2 x3 +  5.613 x1 x2^2 +  6.088 x1 x2 x3 + -2.147 x1 x3^2 + -5.134 x2^3 +  2.802 x2^2 x3 + -0.894 x2 x3^2 +  0.200 x3^3 | (x2)' =  125.008 x1 + -125.007 x3 +  0.677 x0^2 x2 +  0.226 x0^2 x3 + -0.942 x0 x1^2 + -0.521 x0 x1 x2 + -2.598 x0 x1 x3 +  0.918 x0 x2^2 +  2.156 x0 x2 x3 + -0.855 x0 x3^2 +  1.511 x1^3 + -0.674 x1^2 x2 +  3.669 x1^2 x3 + -3.574 x1 x2^2 + -3.192 x1 x2 x3 +  1.319 x1 x3^2 +  3.336 x2^3 + -1.896 x2^2 x3 +  0.600 x2 x3^2 + -0.159 x3^3 | (x3)' =  106.650 x0 + -399.845 x1 +  727.418 x2 + -433.054 x3 +  105.995 x0^2 + -570.394 x0 x1 +  566.257 x0 x2 + -206.550 x0 x3 +  760.616 x1^2 + -1510.578 x1 x2 +  555.261 x1 x3 +  751.871 x2^2 + -553.884 x2 x3 +  101.413 x3^2 +  11.342 x0^3 + -39.255 x0^2 x1 +  66.533 x0^2 x2 + -36.904 x0^2 x3 + -27.959 x0 x1^2 + -125.348 x0 x1 x2 +  118.692 x0 x1 x3 +  174.511 x0 x2^2 + -213.461 x0 x2 x3 +  58.197 x0 x3^2 +  161.424 x1^3 + -262.331 x1^2 x2 +  11.074 x1^2 x3 +  55.457 x1 x2^2 +  117.988 x1 x2 x3 + -52.626 x1 x3^2 +  16.924 x2^3 + -60.285 x2^2 x3 +  26.375 x2 x3^2 + -0.430 x3^3,9,9,0,1.1924701055800917,0.029552804370790515,0.6240510094406628,0.7641709586375905,0.17280650209125215,0.17831004657351962
