configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,trial_id,requested_horizon_s,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
47,3,35.0,4,1,5,0.05,1.0,20,4,14.076,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
47,3,35.0,4,1,5,0.05,1.0,150,4,14.076,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
47,3,35.0,4,1,5,0.0,1.0,20,4,14.076,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
47,3,35.0,4,1,5,0.0,1.0,150,4,14.076,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
47,3,35.0,4,1,5,0.05,1.0,20,1088,14.188,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
47,3,35.0,4,1,5,0.05,1.0,150,1088,14.188,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
47,3,35.0,4,1,5,0.0,1.0,20,1088,14.188,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
47,3,35.0,4,1,5,0.0,1.0,150,1088,14.188,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
47,3,35.0,4,1,5,0.05,1.0,20,622,14.184000000000001,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
47,3,35.0,4,1,5,0.05,1.0,150,622,14.184000000000001,False,simulation exceeded 90 wall-clock seconds (hard subprocess kill),0.0,nan,nan,nan,nan,nan,nan
