configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
119,7,35.0,4,1,5,0.05,1.0,20,4,False,integration error: simulation exceeded 30 wall-clock seconds,0.2889441438132672,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,150,4,False,integration error: simulation exceeded 30 wall-clock seconds,0.28771091703886165,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,20,4,False,integration error: simulation exceeded 30 wall-clock seconds,0.30703945200802446,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,150,4,False,integration error: simulation exceeded 30 wall-clock seconds,0.31206492487734355,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,20,1088,False,integration error: simulation exceeded 30 wall-clock seconds,0.2652665344155679,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,150,1088,False,integration error: simulation exceeded 30 wall-clock seconds,0.26476983820267685,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,20,1088,False,integration error: simulation exceeded 30 wall-clock seconds,0.106772457260444,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,150,1088,False,integration error: simulation exceeded 30 wall-clock seconds,0.10677352665362001,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,20,622,False,integration error: simulation exceeded 30 wall-clock seconds,0.19408034496089716,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,150,622,False,integration error: simulation exceeded 30 wall-clock seconds,0.19352356347061261,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,20,622,False,integration error: simulation exceeded 30 wall-clock seconds,0.1454250965847892,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,150,622,False,integration error: simulation exceeded 30 wall-clock seconds,0.1472820213709588,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,20,620,False,integration error: simulation exceeded 30 wall-clock seconds,0.27638093591820856,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,150,620,False,integration error: simulation exceeded 30 wall-clock seconds,0.2754938509044052,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,20,620,False,integration error: simulation exceeded 30 wall-clock seconds,0.2874089961119325,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,150,620,False,integration error: simulation exceeded 30 wall-clock seconds,0.2885450313285811,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,20,2,False,integration error: simulation exceeded 30 wall-clock seconds,0.26254053929767657,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,150,2,False,integration error: simulation exceeded 30 wall-clock seconds,0.2651544746637672,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,20,2,False,integration error: simulation exceeded 30 wall-clock seconds,0.12354515195811852,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,150,2,False,integration error: simulation exceeded 30 wall-clock seconds,0.12354515195811852,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,20,3,False,integration error: simulation exceeded 30 wall-clock seconds,0.2314833694531576,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.05,1.0,150,3,False,integration error: simulation exceeded 30 wall-clock seconds,0.23217864970715904,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,20,3,False,integration error: simulation exceeded 30 wall-clock seconds,0.16569309962040998,nan,nan,nan,nan,nan,nan
119,7,35.0,4,1,5,0.0,1.0,150,3,False,integration error: simulation exceeded 30 wall-clock seconds,0.16569198060299484,nan,nan,nan,nan,nan,nan
