scope,degree,lowpass_hz,configurations,all_9_completed_count,all_9_completed_fraction,simulation_attempts,completed_simulations,simulation_completion_fraction,mean_reached_fraction
overall,all,35.0,108,67,0.6203703703703703,972,757,0.7788065843621399,0.8474730089076988
overall,all,80.0,108,65,0.6018518518518519,972,743,0.76440329218107,0.8380051591878325
degree,1,35.0,36,36,1.0,324,324,1.0,1.0
degree,1,80.0,36,36,1.0,324,324,1.0,1.0
degree,2,35.0,36,19,0.5277777777777778,324,274,0.845679012345679,0.9088000956970033
degree,2,80.0,36,15,0.4166666666666667,324,225,0.6944444444444444,0.812394044497708
degree,3,35.0,36,12,0.3333333333333333,324,159,0.49074074074074076,0.6336189310260933
degree,3,80.0,36,14,0.3888888888888889,324,194,0.5987654320987654,0.701621433065789
