degree,n_delays,delay_samples,smooth_window_samples,test_trial_id,completed_35hz,completed_80hz,reached_fraction_35hz,reached_fraction_80hz,reached_fraction_difference_80_minus_35
1,4,5,9,622,True,True,1.0,1.0,0.0
1,4,5,9,778,True,True,1.0,1.0,0.0
1,4,5,9,1088,True,True,1.0,1.0,0.0
1,4,5,9,1244,True,True,1.0,1.0,0.0
1,6,1,0,2,True,True,1.0,1.0,0.0
1,6,1,0,3,True,True,1.0,1.0,0.0
1,6,1,0,4,True,True,1.0,1.0,0.0
1,6,1,0,312,True,True,1.0,1.0,0.0
1,6,1,0,620,True,True,1.0,1.0,0.0
1,6,1,0,622,True,True,1.0,1.0,0.0
1,6,1,0,778,True,True,1.0,1.0,0.0
1,6,1,0,1088,True,True,1.0,1.0,0.0
1,6,1,0,1244,True,True,1.0,1.0,0.0
1,6,1,5,2,True,True,1.0,1.0,0.0
1,6,1,5,3,True,True,1.0,1.0,0.0
1,6,1,5,4,True,True,1.0,1.0,0.0
1,6,1,5,312,True,True,1.0,1.0,0.0
1,6,1,5,620,True,True,1.0,1.0,0.0
1,6,1,5,622,True,True,1.0,1.0,0.0
1,6,1,5,778,True,True,1.0,1.0,0.0
1,6,1,5,1088,True,True,1.0,1.0,0.0
1,6,1,5,1244,True,True,1.0,1.0,0.0
1,6,1,9,2,True,True,1.0,1.0,0.0
1,6,1,9,3,True,True,1.0,1.0,0.0
1,6,1,9,4,True,True,1.0,1.0,0.0
1,6,1,9,312,True,True,1.0,1.0,0.0
1,6,1,9,620,True,True,1.0,1.0,0.0
1,6,1,9,622,True,True,1.0,1.0,0.0
1,6,1,9,778,True,True,1.0,1.0,0.0
1,6,1,9,1088,True,True,1.0,1.0,0.0
1,6,1,9,1244,True,True,1.0,1.0,0.0
1,6,2,0,2,True,True,1.0,1.0,0.0
1,6,2,0,3,True,True,1.0,1.0,0.0
1,6,2,0,4,True,True,1.0,1.0,0.0
1,6,2,0,312,True,True,1.0,1.0,0.0
1,6,2,0,620,True,True,1.0,1.0,0.0
1,6,2,0,622,True,True,1.0,1.0,0.0
1,6,2,0,778,True,True,1.0,1.0,0.0
1,6,2,0,1088,True,True,1.0,1.0,0.0
1,6,2,0,1244,True,True,1.0,1.0,0.0
1,6,2,5,2,True,True,1.0,1.0,0.0
1,6,2,5,3,True,True,1.0,1.0,0.0
1,6,2,5,4,True,True,1.0,1.0,0.0
1,6,2,5,312,True,True,1.0,1.0,0.0
1,6,2,5,620,True,True,1.0,1.0,0.0
1,6,2,5,622,True,True,1.0,1.0,0.0
1,6,2,5,778,True,True,1.0,1.0,0.0
1,6,2,5,1088,True,True,1.0,1.0,0.0
1,6,2,5,1244,True,True,1.0,1.0,0.0
1,6,2,9,2,True,True,1.0,1.0,0.0
1,6,2,9,3,True,True,1.0,1.0,0.0
1,6,2,9,4,True,True,1.0,1.0,0.0
1,6,2,9,312,True,True,1.0,1.0,0.0
1,6,2,9,620,True,True,1.0,1.0,0.0
1,6,2,9,622,True,True,1.0,1.0,0.0
1,6,2,9,778,True,True,1.0,1.0,0.0
1,6,2,9,1088,True,True,1.0,1.0,0.0
1,6,2,9,1244,True,True,1.0,1.0,0.0
1,6,5,0,2,True,True,1.0,1.0,0.0
1,6,5,0,3,True,True,1.0,1.0,0.0
1,6,5,0,4,True,True,1.0,1.0,0.0
1,6,5,0,312,True,True,1.0,1.0,0.0
1,6,5,0,620,True,True,1.0,1.0,0.0
1,6,5,0,622,True,True,1.0,1.0,0.0
1,6,5,0,778,True,True,1.0,1.0,0.0
1,6,5,0,1088,True,True,1.0,1.0,0.0
1,6,5,0,1244,True,True,1.0,1.0,0.0
1,6,5,5,2,True,True,1.0,1.0,0.0
1,6,5,5,3,True,True,1.0,1.0,0.0
1,6,5,5,4,True,True,1.0,1.0,0.0
1,6,5,5,312,True,True,1.0,1.0,0.0
1,6,5,5,620,True,True,1.0,1.0,0.0
1,6,5,5,622,True,True,1.0,1.0,0.0
1,6,5,5,778,True,True,1.0,1.0,0.0
1,6,5,5,1088,True,True,1.0,1.0,0.0
1,6,5,5,1244,True,True,1.0,1.0,0.0
1,6,5,9,2,True,True,1.0,1.0,0.0
1,6,5,9,3,True,True,1.0,1.0,0.0
1,6,5,9,4,True,True,1.0,1.0,0.0
1,6,5,9,312,True,True,1.0,1.0,0.0
1,6,5,9,620,True,True,1.0,1.0,0.0
1,6,5,9,622,True,True,1.0,1.0,0.0
1,6,5,9,778,True,True,1.0,1.0,0.0
1,6,5,9,1088,True,True,1.0,1.0,0.0
1,6,5,9,1244,True,True,1.0,1.0,0.0
1,8,1,0,2,True,True,1.0,1.0,0.0
1,8,1,0,3,True,True,1.0,1.0,0.0
1,8,1,0,4,True,True,1.0,1.0,0.0
1,8,1,0,312,True,True,1.0,1.0,0.0
1,8,1,0,620,True,True,1.0,1.0,0.0
1,8,1,0,622,True,True,1.0,1.0,0.0
1,8,1,0,778,True,True,1.0,1.0,0.0
1,8,1,0,1088,True,True,1.0,1.0,0.0
1,8,1,0,1244,True,True,1.0,1.0,0.0
1,8,1,5,2,True,True,1.0,1.0,0.0
1,8,1,5,3,True,True,1.0,1.0,0.0
1,8,1,5,4,True,True,1.0,1.0,0.0
1,8,1,5,312,True,True,1.0,1.0,0.0
1,8,1,5,620,True,True,1.0,1.0,0.0
1,8,1,5,622,True,True,1.0,1.0,0.0
1,8,1,5,778,True,True,1.0,1.0,0.0
1,8,1,5,1088,True,True,1.0,1.0,0.0
1,8,1,5,1244,True,True,1.0,1.0,0.0
1,8,1,9,2,True,True,1.0,1.0,0.0
1,8,1,9,3,True,True,1.0,1.0,0.0
1,8,1,9,4,True,True,1.0,1.0,0.0
1,8,1,9,312,True,True,1.0,1.0,0.0
1,8,1,9,620,True,True,1.0,1.0,0.0
1,8,1,9,622,True,True,1.0,1.0,0.0
1,8,1,9,778,True,True,1.0,1.0,0.0
1,8,1,9,1088,True,True,1.0,1.0,0.0
1,8,1,9,1244,True,True,1.0,1.0,0.0
1,8,2,0,2,True,True,1.0,1.0,0.0
1,8,2,0,3,True,True,1.0,1.0,0.0
1,8,2,0,4,True,True,1.0,1.0,0.0
1,8,2,0,312,True,True,1.0,1.0,0.0
1,8,2,0,620,True,True,1.0,1.0,0.0
1,8,2,0,622,True,True,1.0,1.0,0.0
1,8,2,0,778,True,True,1.0,1.0,0.0
1,8,2,0,1088,True,True,1.0,1.0,0.0
1,8,2,0,1244,True,True,1.0,1.0,0.0
1,8,2,5,2,True,True,1.0,1.0,0.0
1,8,2,5,3,True,True,1.0,1.0,0.0
1,8,2,5,4,True,True,1.0,1.0,0.0
1,8,2,5,312,True,True,1.0,1.0,0.0
1,8,2,5,620,True,True,1.0,1.0,0.0
1,8,2,5,622,True,True,1.0,1.0,0.0
1,8,2,5,778,True,True,1.0,1.0,0.0
1,8,2,5,1088,True,True,1.0,1.0,0.0
1,8,2,5,1244,True,True,1.0,1.0,0.0
1,8,2,9,2,True,True,1.0,1.0,0.0
1,8,2,9,3,True,True,1.0,1.0,0.0
1,8,2,9,4,True,True,1.0,1.0,0.0
1,8,2,9,312,True,True,1.0,1.0,0.0
1,8,2,9,620,True,True,1.0,1.0,0.0
1,8,2,9,622,True,True,1.0,1.0,0.0
1,8,2,9,778,True,True,1.0,1.0,0.0
1,8,2,9,1088,True,True,1.0,1.0,0.0
1,8,2,9,1244,True,True,1.0,1.0,0.0
1,8,5,0,2,True,True,1.0,1.0,0.0
1,8,5,0,3,True,True,1.0,1.0,0.0
1,8,5,0,4,True,True,1.0,1.0,0.0
1,8,5,0,312,True,True,1.0,1.0,0.0
1,8,5,0,620,True,True,1.0,1.0,0.0
1,8,5,0,622,True,True,1.0,1.0,0.0
1,8,5,0,778,True,True,1.0,1.0,0.0
1,8,5,0,1088,True,True,1.0,1.0,0.0
1,8,5,0,1244,True,True,1.0,1.0,0.0
1,8,5,5,2,True,True,1.0,1.0,0.0
1,8,5,5,3,True,True,1.0,1.0,0.0
1,8,5,5,4,True,True,1.0,1.0,0.0
1,8,5,5,312,True,True,1.0,1.0,0.0
1,8,5,5,620,True,True,1.0,1.0,0.0
1,8,5,5,622,True,True,1.0,1.0,0.0
1,8,5,5,778,True,True,1.0,1.0,0.0
1,8,5,5,1088,True,True,1.0,1.0,0.0
1,8,5,5,1244,True,True,1.0,1.0,0.0
1,8,5,9,2,True,True,1.0,1.0,0.0
1,8,5,9,3,True,True,1.0,1.0,0.0
1,8,5,9,4,True,True,1.0,1.0,0.0
1,8,5,9,312,True,True,1.0,1.0,0.0
1,8,5,9,620,True,True,1.0,1.0,0.0
1,8,5,9,622,True,True,1.0,1.0,0.0
1,8,5,9,778,True,True,1.0,1.0,0.0
1,8,5,9,1088,True,True,1.0,1.0,0.0
1,8,5,9,1244,True,True,1.0,1.0,0.0
2,2,1,0,2,True,False,1.0,0.47926896029956007,-0.5207310397004399
2,2,1,0,3,True,True,1.0,1.0,0.0
2,2,1,0,4,True,True,1.0,1.0,0.0
2,2,1,0,312,True,True,1.0,1.0,0.0
2,2,1,0,620,True,True,1.0,1.0,0.0
2,2,1,0,622,True,False,1.0,0.182503938850889,-0.817496061149111
2,2,1,0,778,True,True,1.0,1.0,0.0
2,2,1,0,1088,True,True,1.0,1.0,0.0
2,2,1,0,1244,True,True,1.0,1.0,0.0
2,2,1,5,2,True,False,1.0,0.5796231887175074,-0.4203768112824926
2,2,1,5,3,True,True,1.0,1.0,0.0
2,2,1,5,4,True,True,1.0,1.0,0.0
2,2,1,5,312,True,True,1.0,1.0,0.0
2,2,1,5,620,True,True,1.0,1.0,0.0
2,2,1,5,622,True,False,1.0,0.15732291731809073,-0.8426770826819092
2,2,1,5,778,True,True,1.0,1.0,0.0
2,2,1,5,1088,True,True,1.0,1.0,0.0
2,2,1,5,1244,True,True,1.0,1.0,0.0
2,2,1,9,2,True,True,1.0,1.0,0.0
2,2,1,9,3,True,True,1.0,1.0,0.0
2,2,1,9,4,True,True,1.0,1.0,0.0
2,2,1,9,312,True,True,1.0,1.0,0.0
2,2,1,9,620,True,True,1.0,1.0,0.0
2,2,1,9,622,True,True,1.0,1.0,0.0
2,2,1,9,778,True,True,1.0,1.0,0.0
2,2,1,9,1088,True,True,1.0,1.0,0.0
2,2,1,9,1244,True,True,1.0,1.0,0.0
2,2,2,0,2,True,False,1.0,0.7709413117719793,-0.22905868822802067
2,2,2,0,3,True,True,1.0,1.0,0.0
2,2,2,0,4,True,True,1.0,1.0,0.0
2,2,2,0,312,True,True,1.0,1.0,0.0
2,2,2,0,620,True,True,1.0,1.0,0.0
2,2,2,0,622,True,True,1.0,1.0,0.0
2,2,2,0,778,True,True,1.0,1.0,0.0
2,2,2,0,1088,True,True,1.0,1.0,0.0
2,2,2,0,1244,True,True,1.0,1.0,0.0
2,2,2,5,2,True,False,1.0,0.8860376102203429,-0.11396238977965711
2,2,2,5,3,True,True,1.0,1.0,0.0
2,2,2,5,4,True,True,1.0,1.0,0.0
2,2,2,5,312,True,True,1.0,1.0,0.0
2,2,2,5,620,True,True,1.0,1.0,0.0
2,2,2,5,622,True,True,1.0,1.0,0.0
2,2,2,5,778,True,True,1.0,1.0,0.0
2,2,2,5,1088,True,True,1.0,1.0,0.0
2,2,2,5,1244,True,True,1.0,1.0,0.0
2,2,2,9,2,True,True,1.0,1.0,0.0
2,2,2,9,3,True,True,1.0,1.0,0.0
2,2,2,9,4,True,True,1.0,1.0,0.0
2,2,2,9,312,True,True,1.0,1.0,0.0
2,2,2,9,620,True,True,1.0,1.0,0.0
2,2,2,9,622,True,True,1.0,1.0,0.0
2,2,2,9,778,True,True,1.0,1.0,0.0
2,2,2,9,1088,True,True,1.0,1.0,0.0
2,2,2,9,1244,True,True,1.0,1.0,0.0
2,2,5,0,2,True,True,1.0,1.0,0.0
2,2,5,0,3,True,True,1.0,1.0,0.0
2,2,5,0,4,True,True,1.0,1.0,0.0
2,2,5,0,312,True,True,1.0,1.0,0.0
2,2,5,0,620,True,True,1.0,1.0,0.0
2,2,5,0,622,True,True,1.0,1.0,0.0
2,2,5,0,778,True,True,1.0,1.0,0.0
2,2,5,0,1088,True,True,1.0,1.0,0.0
2,2,5,0,1244,True,True,1.0,1.0,0.0
2,2,5,5,2,True,True,1.0,1.0,0.0
2,2,5,5,3,True,True,1.0,1.0,0.0
2,2,5,5,4,True,True,1.0,1.0,0.0
2,2,5,5,312,True,True,1.0,1.0,0.0
2,2,5,5,620,True,True,1.0,1.0,0.0
2,2,5,5,622,True,True,1.0,1.0,0.0
2,2,5,5,778,True,True,1.0,1.0,0.0
2,2,5,5,1088,True,True,1.0,1.0,0.0
2,2,5,5,1244,True,True,1.0,1.0,0.0
2,2,5,9,2,True,True,1.0,1.0,0.0
2,2,5,9,3,True,True,1.0,1.0,0.0
2,2,5,9,4,True,True,1.0,1.0,0.0
2,2,5,9,312,True,True,1.0,1.0,0.0
2,2,5,9,620,True,True,1.0,1.0,0.0
2,2,5,9,622,True,True,1.0,1.0,0.0
2,2,5,9,778,True,True,1.0,1.0,0.0
2,2,5,9,1088,True,True,1.0,1.0,0.0
2,2,5,9,1244,True,True,1.0,1.0,0.0
2,4,1,0,2,True,False,1.0,0.5568136814430619,-0.44318631855693813
2,4,1,0,3,True,False,1.0,0.7984072824567723,-0.20159271754322772
2,4,1,0,4,True,False,1.0,0.15706659749605162,-0.8429334025039483
2,4,1,0,312,True,False,1.0,0.610944020305439,-0.38905597969456096
2,4,1,0,620,True,True,1.0,1.0,0.0
2,4,1,0,622,True,False,1.0,0.1725822582974397,-0.8274177417025603
2,4,1,0,778,True,True,1.0,1.0,0.0
2,4,1,0,1088,True,True,1.0,1.0,0.0
2,4,1,0,1244,True,False,1.0,0.4161857661648799,-0.5838142338351201
2,4,1,5,2,True,False,1.0,0.5112394453825908,-0.4887605546174092
2,4,1,5,3,True,False,1.0,0.6801054900375851,-0.31989450996241486
2,4,1,5,4,True,False,1.0,0.0766571154106093,-0.9233428845893907
2,4,1,5,312,True,False,1.0,0.5624088824435134,-0.4375911175564866
2,4,1,5,620,True,True,1.0,1.0,0.0
2,4,1,5,622,True,False,1.0,0.06807267440896775,-0.9319273255910323
2,4,1,5,778,True,False,1.0,0.2637764962543831,-0.7362235037456168
2,4,1,5,1088,True,False,1.0,0.9571549641359044,-0.042845035864095604
2,4,1,5,1244,True,False,1.0,0.6124094804118942,-0.38759051958810575
2,4,1,9,2,True,False,1.0,0.32285969182250124,-0.6771403081774987
2,4,1,9,3,True,False,1.0,0.3261125085278342,-0.6738874914721658
2,4,1,9,4,True,False,1.0,0.12244274438043427,-0.8775572556195658
2,4,1,9,312,True,False,1.0,0.3221975955582002,-0.6778024044417998
2,4,1,9,620,True,False,1.0,0.28469975539641157,-0.7153002446035884
2,4,1,9,622,True,False,1.0,0.07194069831762048,-0.9280593016823795
2,4,1,9,778,True,False,1.0,0.2365263752163247,-0.7634736247836753
2,4,1,9,1088,True,False,1.0,0.20913983902334404,-0.7908601609766559
