lowpass_hz,degree,n_delays,delay_samples,configuration_smooth_0,configuration_smooth_5,configuration_smooth_9,coefficient_count,max_variance,max_standard_deviation,max_variance_equation_index,max_variance_feature_index,max_variance_feature_name,mean_coefficient_at_max_variance,mean_elementwise_variance,relative_rms_variability,mean_pairwise_cosine_similarity,minimum_pairwise_cosine_similarity
80.0,1,2,1,109,110,111,6,194.4030626366907,13.942849874996528,0,1,x0,213.3468692647068,117.64155167824333,0.061150620750180726,0.9999750520048535,0.9999512424643319
80.0,1,2,2,112,113,114,6,93.45165526817816,9.667039633113033,0,1,x0,92.54370940694155,55.103345011292994,0.09186125037249537,0.9998041689767293,0.999629047176934
80.0,1,2,5,115,116,117,6,5.894596571588369,2.427879027379323,1,1,x0,34.31286229776577,3.277241695276571,0.07911653856528073,0.9997667416872845,0.9995934216500039
80.0,1,4,1,118,119,120,20,4491.7124133822645,67.02023883411835,0,2,x1,-462.2710480256889,697.801966391896,0.13407100064322808,0.9965463886646879,0.994265551071489
80.0,1,4,2,121,122,123,20,2010.741427017085,44.841291540466194,0,2,x1,-158.98686077282267,373.6600960990613,0.2619537997013071,0.9674495415323235,0.9366416182191807
80.0,1,4,5,124,125,126,20,16.81397273670186,4.100484451464468,0,2,x1,-42.14300403016019,4.038076860034633,0.09214231279937306,0.9978041049153626,0.9964334019363174
80.0,1,6,1,127,128,129,42,17803.586778497134,133.4300819849,5,4,x3,-554.8973438908603,2218.8836347047486,0.19882130584493896,0.992095898401919,0.9875219219560372
80.0,1,6,2,130,131,132,42,1866.3745805522497,43.20155761719998,5,5,x4,157.89867378194688,182.29893418040407,0.2288129359526792,0.9580275852297561,0.9332675191718063
80.0,1,6,5,133,134,135,42,17.946648773574093,4.236348518898568,0,2,x1,-42.33960016522903,3.330218576640355,0.09509287991719172,0.9975813017025658,0.9960964617073211
80.0,1,8,1,136,137,138,72,60264.40137963847,245.48808806057875,0,4,x3,-800.9956695266777,5607.9506948842445,0.27065760992899063,0.9835477901858947,0.9794838744361418
80.0,1,8,2,139,140,141,72,2366.928212842147,48.651086450789016,7,7,x6,161.70701299215213,234.87853730410825,0.29766604425040744,0.9162010976246376,0.878491429258119
80.0,1,8,5,142,143,144,72,18.189542383280614,4.264919973842488,0,2,x1,-42.39133069913157,2.6990901309442603,0.09559975148769516,0.9976014821436836,0.9961321631227242
80.0,2,2,1,145,146,147,12,195.22358939385603,13.972243534731852,1,2,x1,-213.5507865607536,69.61723552093643,0.066171085130768,0.9985722221388734,0.9972834772167479
80.0,2,2,2,148,149,150,12,190.75916584874562,13.811559138951171,0,0,1,-53.9104940610444,45.526651090912054,0.11217159390385106,0.9874730282248562,0.9766982894371179
80.0,2,2,5,151,152,153,12,181.6338707454688,13.477161078857401,1,0,1,-10.471492142930373,20.97278604759318,0.20648948690662802,0.9386868983291011,0.9017809782748636
80.0,2,4,1,154,155,156,60,4406.057845895269,66.37814283252635,0,2,x1,-460.3019879620335,238.73054829228832,0.1360756801373087,0.9945355975845303,0.9904048601785617
80.0,2,4,2,157,158,159,60,2012.356944030993,44.859301644486095,0,2,x1,-157.72579884831566,154.3503853051834,0.2773876362390646,0.92906293940724,0.8634516683305524
80.0,2,4,5,160,161,162,60,345.531933592393,18.588489276764612,2,0,1,-28.03692414371041,14.785772974009392,0.24390478279270195,0.9164976780543173,0.8629025994420317
80.0,2,6,1,163,164,165,168,17667.85346785287,132.92047798534608,5,4,x3,-552.2665993647041,578.7578588462501,0.20343155377089972,0.9894964131187035,0.9830909865111495
80.0,2,6,2,166,167,168,168,1849.212480977442,43.00247063806267,5,5,x4,156.27202323591277,57.81648484440897,0.24829176347717283,0.9305807543224257,0.8808516319148488
80.0,2,6,5,169,170,171,168,397.87371231502124,19.94677197731556,4,0,1,-28.97013578412016,9.193978208848675,0.2719176221117556,0.8969689854168327,0.8298548628037682
80.0,2,8,1,172,173,174,360,59703.494339983336,244.34298504353126,0,4,x3,-796.7768126272127,1262.3208704395604,0.2878685955198687,0.9728406546377494,0.9666081336226805
80.0,2,8,2,175,176,177,360,2385.230848426682,48.838825215464404,7,7,x6,160.38415604133436,52.71474982651621,0.30698476776375827,0.8969850275152549,0.8410847768409492
80.0,2,8,5,178,179,180,360,384.256634606867,19.602465013535085,6,0,1,-29.041195106737987,6.136555120699308,0.27752140093483124,0.8929441557347126,0.8221822020875232
80.0,3,2,1,181,182,183,20,204.62551032553324,14.304737338571906,0,1,x0,213.7415724690509,41.471719245726334,0.06599152288484829,0.999124497346477,0.9983166490533374
80.0,3,2,2,184,185,186,20,137.32191619007526,11.718443420099584,0,0,1,-34.312550262969104,24.237765480089973,0.10866175976677073,0.9917524680478037,0.9844936719669719
80.0,3,2,5,187,188,189,20,177.63185136938293,13.327859969604383,1,0,1,-38.14384852487262,12.589511434720054,0.21434050002203064,0.9368391951053718,0.8982361964243676
80.0,3,4,1,190,191,192,140,4597.410363190947,67.80420608775643,3,3,x2,459.0771999722008,103.12688387221621,0.13686438641547607,0.9955395951453542,0.9924450793146851
80.0,3,4,2,193,194,195,140,2182.4937724915744,46.71716785606309,3,3,x2,156.81095859501576,66.8760597833896,0.2830333975849122,0.934340273821038,0.8739264742282753
80.0,3,4,5,196,197,198,140,302.5221650407237,17.39316431937339,2,0,1,-25.352133928783203,5.972884471819878,0.2470106257277196,0.9143728035969034,0.8580593197561444
80.0,3,6,1,199,200,201,504,17900.36571873285,133.79224835069053,0,3,x2,553.6405100075737,193.6152519263322,0.2042473693287984,0.9895890374547403,0.9839380524527963
80.0,3,6,2,202,203,204,504,1967.2051662482672,44.353186652688976,5,5,x4,155.3721836977079,18.97261601068258,0.2481574568844043,0.9341367157211605,0.8885127539556769
80.0,3,6,5,205,206,207,504,374.8931536809391,19.36215777440467,4,0,1,-25.523786301407203,2.914696948271921,0.27426063370427356,0.8953663706111169,0.8253615545769039
80.0,3,8,1,208,209,210,1320,61409.36944421945,247.8091391458746,0,4,x3,-795.8783259833782,336.33441853620803,0.2871015434751336,0.9756106297873673,0.9692860787068669
80.0,3,8,2,211,212,213,1320,2555.282182542698,50.549799035631175,7,7,x6,159.6325386170422,15.257806657690493,0.31635426540376527,0.8943555838112912,0.8379428142131712
80.0,3,8,5,214,215,216,1320,421.90875089299294,20.540417495586425,6,0,1,-27.933718274135998,1.6766604718331726,0.2860011265007056,0.886686698168524,0.8101300217156515
