configuration_index,lowpass_hz,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
43,35.0,2,2,5,20.0,20.0,0,0.0,finite_difference,12,12,100.0,0.11542982049286366,9,9,0,1.0,True,,True
44,35.0,2,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.12649847380816936,9,9,0,1.0,True,,True
45,35.0,2,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.12909654714167118,9,9,0,1.0,True,,True
46,35.0,2,4,1,4.0,12.0,0,0.0,finite_difference,60,60,100.0,0.4748212192207575,9,9,0,1.0,True,,True
47,35.0,2,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.45690485276281834,9,9,0,1.0,True,,True
48,35.0,2,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.4787253551185131,9,9,0,1.0,True,,True
49,35.0,2,4,2,8.0,24.0,0,0.0,finite_difference,60,60,100.0,0.4632017705589533,9,9,0,1.0,True,,True
50,35.0,2,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.45644758827984333,9,9,0,1.0,True,,True
51,35.0,2,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.4396824836730957,9,9,0,1.0,True,,True
52,35.0,2,4,5,20.0,60.0,0,0.0,finite_difference,60,60,100.0,0.4771673046052456,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
53,35.0,2,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.4644815642386675,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
54,35.0,2,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,60,60,100.0,0.4402343835681677,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
55,35.0,2,6,1,4.0,20.0,0,0.0,finite_difference,168,168,100.0,1.929959861561656,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
56,35.0,2,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,168,168,100.0,1.3432954512536526,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
57,35.0,2,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,168,168,100.0,1.3572714440524578,9,9,0,1.0,True,,True
58,35.0,2,6,2,8.0,40.0,0,0.0,finite_difference,168,168,100.0,1.4137024879455566,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
59,35.0,2,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,168,168,100.0,1.3958078362047672,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
60,35.0,2,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,168,168,100.0,1.3450341876596212,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
61,35.0,2,6,5,20.0,100.0,0,0.0,finite_difference,168,168,100.0,1.2913594283163548,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
62,35.0,2,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,168,168,100.0,1.4594701621681452,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
63,35.0,2,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,168,168,100.0,1.3484772257506847,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
64,35.0,2,8,1,4.0,28.0,0,0.0,finite_difference,360,360,100.0,5.463045950978994,9,0,9,0.0,False,integration error: model derivative became non-finite,True
65,35.0,2,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,360,360,100.0,4.988644417375326,9,0,9,0.0,False,integration error: model derivative became non-finite,True
66,35.0,2,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,360,360,100.0,5.353007877245545,9,0,9,0.0,False,integration error: model derivative became non-finite,True
67,35.0,2,8,2,8.0,56.0,0,0.0,finite_difference,360,360,100.0,5.181689228862524,9,9,0,1.0,True,,True
68,35.0,2,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,360,360,100.0,5.583781810477376,9,9,0,1.0,True,,True
69,35.0,2,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,360,360,100.0,5.039448253810406,9,9,0,1.0,True,,True
70,35.0,2,8,5,20.0,140.0,0,0.0,finite_difference,360,360,100.0,4.98807149939239,9,6,3,0.6666666666666666,False,integration error: model derivative became non-finite,True
71,35.0,2,8,5,20.0,140.0,5,20.0,smoothed_finite_difference_savgol_order_3,360,360,100.0,5.197180762887001,9,6,3,0.6666666666666666,False,integration error: model derivative became non-finite,True
72,35.0,2,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,360,360,100.0,5.374249063432217,9,5,4,0.5555555555555556,False,integration error: model derivative became non-finite,True
73,35.0,3,2,1,4.0,4.0,0,0.0,finite_difference,20,20,100.0,0.7753340881317854,9,9,0,1.0,True,,True
74,35.0,3,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.21016048826277256,9,9,0,1.0,True,,True
75,35.0,3,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.19933758489787579,9,9,0,1.0,True,,True
76,35.0,3,2,2,8.0,8.0,0,0.0,finite_difference,20,20,100.0,0.19641784206032753,9,9,0,1.0,True,,True
77,35.0,3,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.19750547595322132,9,9,0,1.0,True,,True
78,35.0,3,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.1918416991829872,9,9,0,1.0,True,,True
79,35.0,3,2,5,20.0,20.0,0,0.0,finite_difference,20,20,100.0,0.19197147339582443,9,9,0,1.0,True,,True
80,35.0,3,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.18143935315310955,9,9,0,1.0,True,,True
81,35.0,3,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,20,20,100.0,0.184995973482728,9,9,0,1.0,True,,True
82,35.0,3,4,1,4.0,12.0,0,0.0,finite_difference,140,140,100.0,1.6331625301390886,9,9,0,1.0,True,,True
83,35.0,3,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,140,140,100.0,1.3687720689922571,9,9,0,1.0,True,,True
84,35.0,3,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,140,140,100.0,1.5007788818329573,9,9,0,1.0,True,,True
85,35.0,3,4,2,8.0,24.0,0,0.0,finite_difference,140,140,100.0,1.2895548231899738,9,0,9,0.0,False,integration error: model derivative became non-finite,True
86,35.0,3,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,140,140,100.0,1.473185820505023,9,0,9,0.0,False,integration error: model derivative became non-finite,True
87,35.0,3,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,140,140,100.0,1.4779828656464815,9,0,9,0.0,False,integration error: model derivative became non-finite,True
88,35.0,3,4,5,20.0,60.0,0,0.0,finite_difference,140,140,100.0,1.5672966167330742,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
89,35.0,3,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,140,140,100.0,1.3448852468281984,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
90,35.0,3,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,140,140,100.0,1.4246434457600117,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
91,35.0,3,6,1,4.0,20.0,0,0.0,finite_difference,504,504,100.0,9.998469527810812,9,0,9,0.0,False,integration error: model derivative became non-finite,True
92,35.0,3,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,504,504,100.0,10.134420009329915,9,0,9,0.0,False,integration error: model derivative became non-finite,True
93,35.0,3,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,504,504,100.0,10.010824790224433,9,0,9,0.0,False,integration error: model derivative became non-finite,True
94,35.0,3,6,2,8.0,40.0,0,0.0,finite_difference,504,504,100.0,10.472882524132729,9,3,6,0.3333333333333333,False,integration error: model derivative became non-finite,True
95,35.0,3,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,504,504,100.0,9.999727884307504,9,4,5,0.4444444444444444,False,integration error: model derivative became non-finite,True
96,35.0,3,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,504,504,100.0,9.262014463543892,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
97,35.0,3,6,5,20.0,100.0,0,0.0,finite_difference,504,504,100.0,8.991970336064696,9,1,8,0.1111111111111111,False,integration error: model derivative became non-finite,True
98,35.0,3,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,504,504,100.0,7.82896282710135,9,1,8,0.1111111111111111,False,integration error: model derivative became non-finite,True
99,35.0,3,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,504,504,100.0,8.846153303980827,9,3,6,0.3333333333333333,False,integration error: model derivative became non-finite,True
100,35.0,3,8,1,4.0,28.0,0,0.0,finite_difference,1320,1320,100.0,26.42432938888669,9,0,9,0.0,False,integration error: model derivative became non-finite,True
101,35.0,3,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,1320,1320,100.0,26.805168353021145,9,0,9,0.0,False,integration error: model derivative became non-finite,True
102,35.0,3,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,1320,1320,100.0,24.219507195055485,9,0,9,0.0,False,integration error: model derivative became non-finite,True
103,35.0,3,8,2,8.0,56.0,0,0.0,finite_difference,1320,1320,100.0,29.47683287411928,9,2,7,0.2222222222222222,False,integration error: model derivative became non-finite,True
104,35.0,3,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,1320,1320,100.0,36.1634784899652,9,2,7,0.2222222222222222,False,integration error: model derivative became non-finite,True
