configuration_index,test_trial_id,window_index,window_start_s,window_duration_s,simulation_status,failure_reason,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
269,4,0,0.0,1.996,success,,1.996,104.33335969410837,3469,500,12.864777158176059,500,27.50679512223769,28.26549274530635
269,4,1,2.0,1.996,success,,1.996,92.00485665164888,3055,500,7.87968476544893,500,33.65908611706512,33.73071578046692
269,4,2,4.0,1.996,success,,1.996,69.6334648411721,2319,500,9.68503812919882,500,31.227404935745202,31.166133581374524
269,4,3,6.0,1.996,success,,1.996,125.53290304169059,4195,500,29.562836052834655,500,39.92810821369597,41.038902748056465
269,4,4,8.0,1.996,success,,1.996,124.27459283545613,4152,500,24.660847216069392,500,35.46060598477105,37.113729631050816
269,4,5,10.0,1.996,success,,1.996,114.68745717406273,3836,500,18.931719164874732,500,32.62217789182501,33.890463336656296
269,4,6,12.0,1.996,success,,1.996,89.79626931250095,3008,500,25.49093232955785,500,38.79440475551642,37.594852768045406
269,4,7,14.0,0.028,success,,0.028,1.9425940737128258,65,8,4.274180695923855,8,23.17289805177308,13.004928144379614
269,1088,0,0.0,1.996,success,,1.996,120.00466151535511,4016,500,20.256423800539206,500,48.577482211508034,49.43272078869278
269,1088,1,2.0,1.996,success,,1.996,106.31004845164716,3563,500,18.140090673241136,500,39.27231240302463,41.05838640294931
269,1088,2,4.0,1.996,success,,1.996,67.28955469466746,2219,500,14.10667893192553,500,39.365106955129434,39.28482101555942
269,1088,3,6.0,1.996,success,,1.996,116.17647537589073,3875,500,24.54066171444887,500,41.83687638402929,42.88136599156536
269,1088,4,8.0,1.996,failed,integration error: model derivative became non-finite,1.6555786165834998,304.3457078821957,10150,0,,0,,
269,1088,5,10.0,1.996,success,,1.996,97.50193906016648,3235,500,11.3709035019652,500,44.81733687338576,44.772877974346564
269,1088,6,12.0,1.996,success,,1.996,124.01437801867723,4135,500,30.218896209113307,500,42.23131414249655,46.16962886919266
269,1088,7,14.0,0.14,success,,0.14,8.33032812178135,279,36,24.29509998850649,36,28.61193152047715,29.733090160188294
269,622,0,0.0,1.996,success,,1.996,121.0416535269469,4059,500,21.909274438364783,500,44.392544559238964,45.4654037488045
269,622,1,2.0,1.996,failed,integration error: model derivative became non-finite,0.4634265253270201,205.72546393796802,6903,0,,0,,
269,622,2,4.0,1.996,success,,1.996,112.47927416488528,3802,500,26.36976788377026,500,43.07226492419835,43.33510780849961
269,622,3,6.0,1.996,failed,integration error: model derivative became non-finite,1.8734714573998323,370.18253718689084,12539,0,,0,,
269,622,4,8.0,1.996,success,,1.996,88.10706236958504,2983,500,11.859915814908687,500,35.554472621862075,35.51940285851583
269,622,5,10.0,1.996,success,,1.996,113.00734578818083,3811,500,27.30890103342427,500,43.8386144313216,44.5187543811124
269,622,6,12.0,1.996,success,,1.996,112.42997329868376,3790,500,20.606602077771676,500,43.33800601962483,44.05471021091702
269,622,7,14.0,0.136,success,,0.136,5.212479265406728,176,35,51.10171840440149,35,20.514797690428598,23.728734265901366
269,620,0,0.0,1.996,success,,1.996,107.83383890427649,3639,500,15.090885912399438,500,39.58363336727261,37.58452047541565
269,620,1,2.0,1.996,success,,1.996,106.5891662016511,3570,500,28.43091666248281,500,54.446618074553236,51.0425309918325
269,620,2,4.0,1.996,success,,1.996,92.42235101573169,3117,500,35.880919126633046,500,55.76045111294561,55.71970335175003
269,620,3,6.0,1.996,success,,1.996,118.29841713793576,3998,500,39.57636805684574,500,48.69622737225986,50.37841664057171
269,620,4,8.0,1.996,success,,1.996,121.47510171495378,4111,500,21.162776917567914,500,45.88833152616549,46.98738647761861
269,620,5,10.0,1.996,success,,1.996,119.81209951266646,4032,500,24.623729577283154,500,60.58984772842913,61.63092774431764
269,620,6,12.0,1.996,success,,1.996,79.93172519281507,2692,500,11.939022584096756,500,36.574123879098906,36.702348059627354
269,620,7,14.0,0.136,success,,0.136,6.205554628744721,209,35,25.373981581601015,35,29.117456531744438,23.88611844867137
