-2.8337729,4.2328358,2.1375048,4.4881177
-1.1688355,-26.934101,-8.587842,6.9716702
0.96210468,5.8860679,-36.183529,7.2884417
-4.0619574,-12.779834,1.0201353,8.5782824
-7.1094761,-2.9661336,-2.0198081,-21.389853
21.768404,19.287592,2.7129397,7.0820789
-16.104752,-28.552982,4.401227,10.040549
2.7691896,17.320038,-14.649365,8.2203894
-15.596433,8.4044571,-6.3794551,-2.0581355
17.310926,19.377092,-9.9981833,4.4203477
-23.301914,8.6069775,39.97546,15.188008
5.558372,-2.267241,2.5770569,5.3281174
-2.4460912,-16.913456,3.7798781,3.9053597
-4.6097727,-9.0202589,-3.3744309,-7.4987597
3.7879677,-1.9110819,-6.6607122,0.79012489
