9.2704811,-6.0829072,7.197504,0
2.866137,0,-8.3540516,-7.4548922
-5.976706,13.173249,-0,0
7.9224219,6.9399967,14.037269,-30.453665
7.5172253,-10.70971,5.596735,0
11.762447,6.5574136,23.840658,40.093094
-9.9090948,-12.766818,-20.498241,-0
-11.514827,-2.7607884,-10.040281,20.324594
-2.8250108,5.1019998,9.612669,9.2585812
-0,-16.79785,3.625627,-8.1992826
9.9598494,3.1098771,-0,-23.154991
-6.3411965,16.575996,7.812499,8.5188236
21.17695,0,3.7434626,-12.43974
-17.940968,11.23766,4.677784,11.715744
-13.56255,-3.5938034,-17.382084,9.1726818
