scope,degree,matched_configuration_pairs,configuration_wins_35hz,configuration_wins_80hz,configuration_ties,mean_completed_trial_difference_80_minus_35,all9_35hz_only,all9_80hz_only,all9_discordance_exact_p,matched_trial_pairs,trial_completion_35hz_only,trial_completion_80hz_only,trial_completion_discordance_exact_p,mean_reached_fraction_difference_80_minus_35
overall,all,108,20,26,62,0.05555555555555555,13,9,0.5234670639038086,972,82,88,0.7014821003407139,-0.0027928880405899497
degree,1,36,0,0,36,0.0,0,0,1.0,324,0,0,1.0,0.0
degree,2,36,13,9,14,-0.7222222222222222,10,5,0.30175781249999994,324,51,25,0.0038362357516146263,-0.07331202244027872
degree,3,36,7,17,12,0.8888888888888888,3,4,1.0,324,31,63,0.001261386598131299,0.06493335831850891
