configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,optimizer,stlsq_threshold,alpha,nu,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
15,35.0,,,sr3,0.1,0.05,1.0,2,2,2,8.0,8.0,0,0.0,finite_difference,success,,6,12,50.0,0.0874249842017889,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-36.856015250506225, 106.04627555496607, -117.54662023197854, -0.0, 0.0, -0.0], [26.074650608733567, 117.65156918097563, -106.10910395242833, 0.0, -0.0, 0.0]]",(x0)' = -36.856 1 +  106.046 x0 + -117.547 x1 | (x1)' =  26.075 1 +  117.652 x0 + -106.109 x1
16,35.0,,,sr3,0.1,0.05,10.0,2,2,2,8.0,8.0,0,0.0,finite_difference,success,,6,12,50.0,0.08572039846330881,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-36.85601524545482, 106.04627555496907, -117.54662023200783, -0.0, 0.0, -0.0], [26.0746506010863, 117.65156918097892, -106.10910395239188, 0.0, -0.0, 0.0]]",(x0)' = -36.856 1 +  106.046 x0 + -117.547 x1 | (x1)' =  26.075 1 +  117.652 x0 + -106.109 x1
17,35.0,,,sr3,0.1,0.05,0.01,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,12,12,100.0,0.09094165172427893,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-36.070766157038165, 106.31501418605484, -117.705336683856, -0.045930611357691865, 0.1558500983347116, -0.06854492823253076], [25.76008917676127, 117.80782822410646, -106.3784948633105, 0.1196297869532163, -0.22476105877734032, 0.06474166502134701]]",(x0)' = -36.071 1 +  106.315 x0 + -117.705 x1 + -0.046 x0^2 +  0.156 x0 x1 + -0.069 x1^2 | (x1)' =  25.760 1 +  117.808 x0 + -106.378 x1 +  0.120 x0^2 + -0.225 x0 x1 +  0.065 x1^2
18,35.0,,,sr3,0.1,0.05,0.1,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,8,12,66.66666666666667,0.09592861216515303,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-36.070766173531986, 106.31501418602677, -117.70533668375077, -0.0, 0.15585009821041154, -0.0], [25.760089203240994, 117.80782822406735, -106.37849486339525, 0.0, -0.22476105857786796, 0.0]]",(x0)' = -36.071 1 +  106.315 x0 + -117.705 x1 +  0.156 x0 x1 | (x1)' =  25.760 1 +  117.808 x0 + -106.378 x1 + -0.225 x0 x1
19,35.0,,,sr3,0.1,0.05,1.0,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,6,12,50.0,0.09647980239242315,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-36.07076616276969, 106.31501418605042, -117.70533668382211, -0.0, 0.0, -0.0], [25.76008918529679, 117.80782822410488, -106.37849486335266, 0.0, -0.0, 0.0]]",(x0)' = -36.071 1 +  106.315 x0 + -117.705 x1 | (x1)' =  25.760 1 +  117.808 x0 + -106.378 x1
20,35.0,,,sr3,0.1,0.05,10.0,2,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,6,12,50.0,0.09478292427957058,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-36.0707661576118, 106.31501418605455, -117.70533668385276, -0.0, 0.0, -0.0], [25.76008917761506, 117.80782822410644, -106.37849486331486, 0.0, -0.0, 0.0]]",(x0)' = -36.071 1 +  106.315 x0 + -117.705 x1 | (x1)' =  25.760 1 +  117.808 x0 + -106.378 x1
21,35.0,,,sr3,0.1,0.05,0.01,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,12,12,100.0,0.09715008456259966,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-29.548434626370454, 108.68326476557631, -119.00737908294276, -0.05323159252738044, 0.1512917550157166, -0.06304037281292617], [22.523186773766685, 119.080916672212, -108.7362282110431, 0.10986726852475964, -0.19810151873431156, 0.054482324301671034]]",(x0)' = -29.548 1 +  108.683 x0 + -119.007 x1 + -0.053 x0^2 +  0.151 x0 x1 + -0.063 x1^2 | (x1)' =  22.523 1 +  119.081 x0 + -108.736 x1 +  0.110 x0^2 + -0.198 x0 x1 +  0.054 x1^2
22,35.0,,,sr3,0.1,0.05,0.1,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,8,12,66.66666666666667,0.09784430358558893,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-29.54843464601022, 108.68326476552035, -119.00737908280658, -0.0, 0.15129175484709376, -0.0], [22.523186801460458, 119.08091667222665, -108.73622821117085, 0.0, -0.1981015184966049, 0.0]]",(x0)' = -29.548 1 +  108.683 x0 + -119.007 x1 +  0.151 x0 x1 | (x1)' =  22.523 1 +  119.081 x0 + -108.736 x1 + -0.198 x0 x1
23,35.0,,,sr3,0.1,0.05,1.0,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,6,12,50.0,0.09993087220937014,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-29.548434633047272, 108.68326476555869, -119.00737908289538, -0.0, 0.0, -0.0], [22.523186782706414, 119.0809166722287, -108.73622821109959, 0.0, -0.0, 0.0]]",(x0)' = -29.548 1 +  108.683 x0 + -119.007 x1 | (x1)' =  22.523 1 +  119.081 x0 + -108.736 x1
24,35.0,,,sr3,0.1,0.05,10.0,2,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,6,12,50.0,0.09840089734643698,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2""]","[[-29.548434627038596, 108.68326476557452, -119.00737908293799, -0.0, 0.0, -0.0], [22.52318677466068, 119.08091667221363, -108.7362282110487, 0.0, -0.0, 0.0]]",(x0)' = -29.548 1 +  108.683 x0 + -119.007 x1 | (x1)' =  22.523 1 +  119.081 x0 + -108.736 x1
