configuration_index,lowpass_hz,stlsq_threshold,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
1,80.0,100.0,5,2,1,4.0,4.0,0,0.0,finite_difference,success,,41,42,97.61904761904762,1.7228278424590826,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3"", ""x0^4"", ""x0^3 x1"", ""x0^2 x1^2"", ""x0 x1^3"", ""x1^4"", ""x0^5"", ""x0^4 x1"", ""x0^3 x1^2"", ""x0^2 x1^3"", ""x0 x1^4"", ""x1^5""]","[[-26.891474668194103, 195.85516578584182, -206.40380096591383, -0.15745569042937904, 0.36958527015560105, -0.18183264073204636, 0.0020401944437365457, -0.010949303501490704, 0.01602321349658288, -0.006568189779978961, 1.6479976049522326e-05, 3.33076991676497e-05, -0.00016835607372504843, 0.00016727070173745177, -4.8833902905885365e-05, 6.170335416284533e-08, 1.3291153287845889e-06, -6.233696729452274e-06, 9.989024824569518e-06, -6.919752769819955e-06, 1.7593595919552104e-06], [18.323978127874206, 208.06136595500135, -197.66705528155626, 0.27482617401325915, -0.5663938150981287, 0.25869009680935634, -0.0007529770278645193, 0.006837587689681494, -0.012503518102406888, 0.005887825921462707, -3.67285816123623e-05, 6.938035351257151e-05, 0.0, -5.994193830791566e-05, 2.7204750951981384e-05, -3.2535828635007075e-07, 2.001150995931524e-07, 3.083704686684354e-06, -6.964931062455116e-06, 5.545505976575246e-06, -1.5236030966408096e-06]]",(x0)' = -26.891 1 +  195.855 x0 + -206.404 x1 + -0.157 x0^2 +  0.370 x0 x1 + -0.182 x1^2 +  0.002 x0^3 + -0.011 x0^2 x1 +  0.016 x0 x1^2 + -0.007 x1^3 | (x1)' =  18.324 1 +  208.061 x0 + -197.667 x1 +  0.275 x0^2 + -0.566 x0 x1 +  0.259 x1^2 + -0.001 x0^3 +  0.007 x0^2 x1 + -0.013 x0 x1^2 +  0.006 x1^3
2,80.0,100.0,5,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,42,42,100.0,0.39191024005413055,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3"", ""x0^4"", ""x0^3 x1"", ""x0^2 x1^2"", ""x0 x1^3"", ""x1^4"", ""x0^5"", ""x0^4 x1"", ""x0^3 x1^2"", ""x0^2 x1^3"", ""x0 x1^4"", ""x1^5""]","[[-23.27488288865754, 211.17161770716535, -220.67754681768415, -0.17440851816069508, 0.4119757800881543, -0.21088063823566996, 0.0020644590581190463, -0.011395509518841532, 0.01687378751196874, -0.00703206862952959, 2.0384906141585418e-05, 4.7445902363454483e-05, -0.00022692901782871464, 0.0002269239646778185, -6.79249624701809e-05, 7.90064412225272e-09, 2.1015420264674346e-06, -8.731225027023172e-06, 1.3329942003499431e-05, -8.940941950532965e-06, 2.219318156473374e-06], [11.9358223098712, 222.26074618595473, -212.77933519507923, 0.35234019899189994, -0.6889280869043987, 0.3069707933500445, -0.001406546450326438, 0.008422028855481656, -0.01359291968395293, 0.006081428287669333, -3.1788236228076835e-05, 3.008711526746112e-06, 0.0001563446825344399, -0.00019348159779772155, 6.59876920877885e-05, -1.7075285334481315e-07, -1.3024565892366148e-06, 7.33900156778192e-06, -1.2143002192079585e-05, 8.370617273172895e-06, -2.0799292692080816e-06]]",(x0)' = -23.275 1 +  211.172 x0 + -220.678 x1 + -0.174 x0^2 +  0.412 x0 x1 + -0.211 x1^2 +  0.002 x0^3 + -0.011 x0^2 x1 +  0.017 x0 x1^2 + -0.007 x1^3 | (x1)' =  11.936 1 +  222.261 x0 + -212.779 x1 +  0.352 x0^2 + -0.689 x0 x1 +  0.307 x1^2 + -0.001 x0^3 +  0.008 x0^2 x1 + -0.014 x0 x1^2 +  0.006 x1^3
3,80.0,100.0,5,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,42,42,100.0,0.37577387876808643,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3"", ""x0^4"", ""x0^3 x1"", ""x0^2 x1^2"", ""x0 x1^3"", ""x1^4"", ""x0^5"", ""x0^4 x1"", ""x0^3 x1^2"", ""x0^2 x1^3"", ""x0 x1^4"", ""x1^5""]","[[-10.44956463835489, 230.91608770653656, -238.10822123438842, -0.27563618930020817, 0.5675736999418267, -0.2737715341790174, -0.0026071293248085443, 0.002918243872984725, 0.0026296302881153606, -0.0024963623299699895, 0.00010640533720768393, -0.0002550152929643957, 0.0001568185096923113, 2.456645696710956e-05, -3.286321771039632e-05, 2.356988641662175e-06, -7.831777962185556e-06, 7.335583321576368e-06, 9.038208341133027e-07, -4.309889126935531e-06, 1.5341607327355413e-06], [7.4967913768325865, 238.9281329809395, -231.842485025842, 0.3348725546327763, -0.618924524843011, 0.26572445302883463, -0.0026198325503791957, 0.014229773867807674, -0.021036663067509145, 0.009003331264613456, 2.5402516654325908e-05, -0.00026099716872503244, 0.0006014439886366059, -0.0005208562554492413, 0.0001551675668863722, 4.7250455657463804e-07, -5.11619849453073e-06, 1.4978464072981721e-05, -1.8708845573082484e-05, 1.0603897878515773e-05, -2.2193096762446625e-06]]",(x0)' = -10.450 1 +  230.916 x0 + -238.108 x1 + -0.276 x0^2 +  0.568 x0 x1 + -0.274 x1^2 + -0.003 x0^3 +  0.003 x0^2 x1 +  0.003 x0 x1^2 + -0.002 x1^3 | (x1)' =  7.497 1 +  238.928 x0 + -231.842 x1 +  0.335 x0^2 + -0.619 x0 x1 +  0.266 x1^2 + -0.003 x0^3 +  0.014 x0^2 x1 + -0.021 x0 x1^2 +  0.009 x1^3 +  0.001 x0^2 x1^2 + -0.001 x0 x1^3
4,80.0,100.0,5,2,2,8.0,8.0,0,0.0,finite_difference,success,,42,42,100.0,0.3643522225320339,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3"", ""x0^4"", ""x0^3 x1"", ""x0^2 x1^2"", ""x0 x1^3"", ""x1^4"", ""x0^5"", ""x0^4 x1"", ""x0^3 x1^2"", ""x0^2 x1^3"", ""x0 x1^4"", ""x1^5""]","[[-51.7845778645474, 80.73779494849713, -96.89216420932662, -0.010398303074961862, 0.11900129562186743, -0.059922870336854665, 6.916117947058376e-05, -0.0018678689531475702, 0.004280888797105103, -0.0015669430778974642, -4.290579244878394e-06, 3.856686309475846e-05, -7.680474544134294e-05, 4.900160834580483e-05, -7.019948906837061e-06, -4.4498300156274464e-08, 1.6752796778581785e-07, -4.6903743172343106e-07, 7.972591113958803e-07, -6.571960344604719e-07, 1.8276090603589544e-07], [25.491145725552947, 97.88224276562856, -81.79882634831286, 0.12912750161410735, -0.27919412792275583, 0.09525164357040812, -0.00010471139539688793, 0.0014313738662862462, -0.003932060308606366, 0.0017184567516344855, -2.513819610976394e-06, -1.518933927175469e-05, 5.3675886804325574e-05, -4.856355770632087e-05, 1.3126146208594776e-05, 8.37540661493428e-09, -3.170301804861505e-08, 3.5408666981444616e-07, -7.845874521387647e-07, 6.297185177411947e-07, -1.5321229293261214e-07]]",(x0)' = -51.785 1 +  80.738 x0 + -96.892 x1 + -0.010 x0^2 +  0.119 x0 x1 + -0.060 x1^2 + -0.002 x0^2 x1 +  0.004 x0 x1^2 + -0.002 x1^3 | (x1)' =  25.491 1 +  97.882 x0 + -81.799 x1 +  0.129 x0^2 + -0.279 x0 x1 +  0.095 x1^2 +  0.001 x0^2 x1 + -0.004 x0 x1^2 +  0.002 x1^3
5,80.0,100.0,5,2,2,8.0,8.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,42,42,100.0,0.3707569446414709,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3"", ""x0^4"", ""x0^3 x1"", ""x0^2 x1^2"", ""x0 x1^3"", ""x1^4"", ""x0^5"", ""x0^4 x1"", ""x0^3 x1^2"", ""x0^2 x1^3"", ""x0 x1^4"", ""x1^5""]","[[-44.94876985957565, 89.4481680956584, -105.31368097478817, -0.03433489510203833, 0.16558879898760973, -0.08399705699908663, -0.00011405295843184056, -0.001486495482257502, 0.004147374894169717, -0.001630521359553091, 3.230246344444058e-06, 1.6688023960101373e-05, -5.8018609036236346e-05, 4.691250083072968e-05, -9.279400802772999e-06, 6.619479477513559e-10, -7.774633966120043e-09, -2.1842322463886347e-07, 6.181910398220105e-07, -5.825980393735784e-07, 1.6651168375122496e-07], [18.441799589649193, 106.33191403206348, -90.46392511890717, 0.16484068123974405, -0.33388855769907494, 0.11698689575943352, -0.00019627933312920694, 0.0018515662397666983, -0.004462653254432427, 0.0019175727454653559, -3.859537258509677e-06, -1.7139798648520404e-05, 6.297196053140857e-05, -5.5968779011706606e-05, 1.4612234007901032e-05, 2.587251326108358e-09, -7.455030918059526e-08, 5.713497515055114e-07, -1.1031385307514462e-06, 8.131795038332919e-07, -1.873585267835359e-07]]",(x0)' = -44.949 1 +  89.448 x0 + -105.314 x1 + -0.034 x0^2 +  0.166 x0 x1 + -0.084 x1^2 + -0.001 x0^2 x1 +  0.004 x0 x1^2 + -0.002 x1^3 | (x1)' =  18.442 1 +  106.332 x0 + -90.464 x1 +  0.165 x0^2 + -0.334 x0 x1 +  0.117 x1^2 +  0.002 x0^2 x1 + -0.004 x0 x1^2 +  0.002 x1^3
6,80.0,100.0,5,2,2,8.0,8.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,42,42,100.0,0.37067775800824165,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3"", ""x0^4"", ""x0^3 x1"", ""x0^2 x1^2"", ""x0 x1^3"", ""x1^4"", ""x0^5"", ""x0^4 x1"", ""x0^3 x1^2"", ""x0^2 x1^3"", ""x0 x1^4"", ""x1^5""]","[[-21.982963079990608, 104.379305338153, -117.69002657585493, -0.10966990694281224, 0.2599890838840582, -0.1145556425957241, -0.0010836473595294287, 0.0010793553133261974, 0.0022203773729701625, -0.0013698082650286801, 1.9223078311415074e-05, -3.0301448760773686e-05, -1.5597611959248158e-05, 4.1985451167822e-05, -1.5713609688180828e-05, 1.8691417164051344e-07, -5.803377948510289e-07, 3.029033347449465e-07, 4.919907405301446e-07, -5.559505256125713e-07, 1.3381346729971063e-07], [12.93072131150086, 118.09218073137855, -104.88915977868685, 0.1826777936012814, -0.320725934194869, 0.103204559886161, 0.00036474339520556256, 0.0015591068555906836, -0.005129777956995846, 0.0023804064374511043, -1.6078865407862143e-05, 9.926330600573636e-06, 5.064847024589517e-05, -6.623007650735363e-05, 2.2236978950777645e-05, -1.2499298773604944e-07, 1.6613779077337711e-07, 5.276169429600915e-07, -1.1494491242653808e-06, 7.137213132112176e-07, -1.1334953291953428e-07]]",(x0)' = -21.983 1 +  104.379 x0 + -117.690 x1 + -0.110 x0^2 +  0.260 x0 x1 + -0.115 x1^2 + -0.001 x0^3 +  0.001 x0^2 x1 +  0.002 x0 x1^2 + -0.001 x1^3 | (x1)' =  12.931 1 +  118.092 x0 + -104.889 x1 +  0.183 x0^2 + -0.321 x0 x1 +  0.103 x1^2 +  0.002 x0^2 x1 + -0.005 x0 x1^2 +  0.002 x1^3
7,80.0,100.0,5,2,5,20.0,20.0,0,0.0,finite_difference,success,,42,42,100.0,0.363265635445714,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3"", ""x0^4"", ""x0^3 x1"", ""x0^2 x1^2"", ""x0 x1^3"", ""x1^4"", ""x0^5"", ""x0^4 x1"", ""x0^3 x1^2"", ""x0^2 x1^3"", ""x0 x1^4"", ""x1^5""]","[[-26.97038375950965, 16.589697340151112, -35.20195852502027, 0.016125618922560644, 0.037229768060060814, -0.030214545164782607, -0.00033202006654135645, 0.0011266675471125088, 0.0010762686654634719, -0.00032052837569052745, 2.262773162952153e-06, -9.455545381317911e-06, 9.11058872973032e-06, -2.590296369298985e-06, 8.723667671788123e-07, 1.3014177028008367e-08, -3.625605943486171e-08, -1.704452801725092e-09, 1.8646778326514208e-08, -5.5750261279125156e-08, 2.012840268304363e-08], [-39.170648108604276, 35.85395758383836, -16.713859593786392, 0.12403185967239648, -0.12285620006343202, -0.019861315776825865, 0.00023161261056117501, -0.0009167617274872025, -0.001136627739023662, 0.00022795447494743025, -2.706821534139851e-06, -2.057253435127158e-06, 7.52625721876412e-06, -3.8074163831909174e-06, 1.4712341976069083e-06, -3.004384986523458e-08, 6.67376407962439e-08, 5.8233107163775455e-08, -1.1909210598518525e-07, 5.189739393868228e-08, 1.024956137049683e-08]]",(x0)' = -26.970 1 +  16.590 x0 + -35.202 x1 +  0.016 x0^2 +  0.037 x0 x1 + -0.030 x1^2 +  0.001 x0^2 x1 +  0.001 x0 x1^2 | (x1)' = -39.171 1 +  35.854 x0 + -16.714 x1 +  0.124 x0^2 + -0.123 x0 x1 + -0.020 x1^2 + -0.001 x0^2 x1 + -0.001 x0 x1^2
8,80.0,100.0,5,2,5,20.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,42,42,100.0,0.37035115621984005,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3"", ""x0^4"", ""x0^3 x1"", ""x0^2 x1^2"", ""x0 x1^3"", ""x1^4"", ""x0^5"", ""x0^4 x1"", ""x0^3 x1^2"", ""x0^2 x1^3"", ""x0 x1^4"", ""x1^5""]","[[-25.492115942021563, 16.89996435492184, -35.49033807254532, 0.015927590712482363, 0.04010518083576491, -0.03240432840559056, -0.0003213500132625032, 0.0011198141093468842, 0.001091390060089956, -0.0003194106833738926, 2.2545226404571214e-06, -9.473108049078135e-06, 8.966074963048793e-06, -2.617651826170435e-06, 9.69762039244034e-07, 1.1025320885943362e-08, -3.4491615368636106e-08, -2.2846495943163e-09, 2.5517744824752442e-08, -6.319532735518224e-08, 2.1326763507627262e-08], [-36.529332130979626, 36.0165100495806, -17.01986798468508, 0.12176864258279001, -0.1213487109807578, -0.01914129503799665, 0.000267910822247574, -0.000862646857451432, -0.0012396120198581127, 0.0002470106951106208, -2.754213843518264e-06, -1.7920890528737956e-06, 7.582480641787248e-06, -4.067519082745973e-06, 1.4670345379756097e-06, -3.2373690387208555e-08, 6.57879765262972e-08, 5.972104261223004e-08, -1.1742863752755468e-07, 5.298964694628893e-08, 9.472157833860525e-09]]",(x0)' = -25.492 1 +  16.900 x0 + -35.490 x1 +  0.016 x0^2 +  0.040 x0 x1 + -0.032 x1^2 +  0.001 x0^2 x1 +  0.001 x0 x1^2 | (x1)' = -36.529 1 +  36.017 x0 + -17.020 x1 +  0.122 x0^2 + -0.121 x0 x1 + -0.019 x1^2 + -0.001 x0^2 x1 + -0.001 x0 x1^2
9,80.0,100.0,5,2,5,20.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,42,42,100.0,0.37469019554555416,"[""1"", ""x0"", ""x1"", ""x0^2"", ""x0 x1"", ""x1^2"", ""x0^3"", ""x0^2 x1"", ""x0 x1^2"", ""x1^3"", ""x0^4"", ""x0^3 x1"", ""x0^2 x1^2"", ""x0 x1^3"", ""x1^4"", ""x0^5"", ""x0^4 x1"", ""x0^3 x1^2"", ""x0^2 x1^3"", ""x0 x1^4"", ""x1^5""]","[[-17.087873827146062, 20.560826767425404, -40.74463666835996, 0.00030960380470865115, 0.07326074077009548, -0.04099177113696964, -0.00029537882944299796, 0.0012124577679011401, 0.0011809021403080522, -0.00034972505296096727, 2.5684228567329797e-06, -8.057927084356287e-06, 4.730481361334773e-06, -8.940088784079365e-07, 1.0578488838474112e-06, -2.8953297721187527e-10, -3.7636163371043414e-08, 2.345058873738811e-08, 3.8795730523058335e-08, -9.754888610506699e-08, 2.9038373032774184e-08], [-9.42073381182838, 40.797270964701504, -20.63988920682085, 0.09324546018556913, -0.09828876471932993, -0.01901015714049193, 0.00037991419588316876, -0.0007436156435555971, -0.0016246154201546292, 0.000297485775649417, -3.1703222901950113e-06, -5.697953758946974e-07, 8.767544792152996e-06, -5.60673108578398e-06, 1.1908081323511008e-06, -3.6161169755489577e-08, 8.44169451147618e-08, -1.6869933664027416e-08, -3.044454461365788e-08, 3.479330886443554e-08, 5.939134500269395e-09]]",(x0)' = -17.088 1 +  20.561 x0 + -40.745 x1 +  0.073 x0 x1 + -0.041 x1^2 +  0.001 x0^2 x1 +  0.001 x0 x1^2 | (x1)' = -9.421 1 +  40.797 x0 + -20.640 x1 +  0.093 x0^2 + -0.098 x0 x1 + -0.019 x1^2 + -0.001 x0^2 x1 + -0.002 x0 x1^2
